Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Volvorøveren,ab,1,10.0,10/17/2023,10/17/2023,true,2.376,Documentary, Crime
Klar til rummission - med Andreas Mogensen,ab,1,10.0,6/19/2023,6/19/2023,true,0.6,Documentary
Volvorøveren,ab,1,10.0,10/17/2023,10/17/2023,true,4.774,Documentary, Crime
Di Gi Charat Nyo!,ab,3,7.667,4/6/2003,6/22/2003,false,8.824,Animation
Hime-chan's Ribbon,ab,1,7.0,10/2/1992,12/3/1993,false,12.672,Animation
Maghrido,ab,0,0.0,4/15/2021,4/15/2021,false,0.6,
梁小龙版,ab,0,0.0,7/7/1977,7/7/1977,false,1.376,
Klasztorne smaki,ab,0,0.0,9/30/2020,12/23/2020,true,0.6,Reality
Speed Detective,ab,0,0.0,11/20/2014,9/4/2015,false,0.6,Mystery, Crime, Comedy
BuBu ChaCha,ab,0,0.0,4/29/1999,11/1/2001,false,5.349,Animation
民王番外篇：贝原秘书与六怪客,ab,0,0.0,4/22/2016,5/27/2016,true,0.671,
Bursts,ab,0,0.0,,1/1/2015,true,0.6,
Planine,ab,0,0.0,10/4/2023,11/8/2023,true,1.349,
