Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Magda Louw,af,1,10.0,1/2/2023,3/27/2023,true,1.005,Comedy
Die Real Housewives van Pretoria,af,1,10.0,10/13/2022,1/12/2023,true,1.872,Reality
Vlug Na Egipte,af,2,9.5,1/13/2015,7/7/2015,true,2.401,Drama
Alles Malan,af,2,9.0,7/9/2019,2/22/2022,true,1.537,Drama, Family
Fynskrif,af,1,9.0,7/10/2018,7/7/2020,false,2.996,Drama
Dinge Van 'n Kind,af,1,9.0,5/10/2022,7/12/2022,true,3.006,Drama
Projek Dina,af,1,9.0,1/14/2020,7/11/2023,true,2.678,Drama
Net Mens,af,1,9.0,1/22/2023,4/30/2023,true,1.4,Documentary
Sterlopers,af,1,9.0,4/15/2014,6/29/2016,false,6.26,Drama
Nêrens, Noord-Kaap,af,1,9.0,8/31/2021,11/23/2021,true,1.6,Drama
Net Mens,af,1,9.0,1/22/2023,4/30/2023,true,2.66,Documentary
Supersterre,af,1,9.0,8/25/2006,6/11/2010,false,0.6,Reality
Nêrens, Noord-Kaap,af,1,9.0,8/31/2021,11/23/2021,true,0.632,Drama
Vetkoekpaleis,af,1,9.0,6/5/1996,8/25/1997,false,5.743,Comedy, Family
Diepe Waters,af,1,9.0,10/3/2022,10/3/2023,true,250.484,Soap
Dit Wat Stom Is,af,1,9.0,7/14/2005,10/6/2005,false,2.039,Drama
Wie's Jou Poppie?,af,1,9.0,7/12/2017,1/4/2019,true,1.666,Reality
Hester & Ester Bester,af,1,9.0,4/14/2007,1/22/2009,false,1.045,Comedy
Republiek van Zoid Afrika,af,1,9.0,7/10/2014,7/9/2020,false,3.119,Talk
Hartklop,af,1,9.0,7/18/2023,10/3/2023,true,16.592,Drama
Erfsondes,af,1,9.0,7/3/2007,12/5/2017,false,6.27,Drama
Huisgenoot: Ware Lewensdramas,af,1,9.0,7/27/2017,10/2/2023,true,8.059,Documentary
Orkney Snork Nie,af,1,9.0,5/10/1989,10/14/1992,false,5.453,Comedy
Musiek Roulette,af,1,9.0,8/8/2014,3/31/2022,true,0.6,Reality
Tydelik Terminaal,af,1,9.0,10/30/2019,1/22/2020,false,0.883,Drama
Nêrens, Noord-Kaap,af,1,9.0,8/31/2021,11/23/2021,true,1.855,Drama
Nêrens, Noord-Kaap,af,1,9.0,8/31/2021,11/23/2021,true,0.754,Drama
Supersterre,af,1,9.0,8/25/2006,6/11/2010,false,0.0,Reality
Net Mens,af,1,9.0,1/22/2023,4/30/2023,true,2.075,Documentary
Trompoppie,af,1,9.0,12/7/2023,12/21/2023,true,15.65,Drama
Die Real Housewives van die Wynlande,af,2,8.5,4/20/2023,7/20/2023,true,1.776,Reality
Arsenaal,af,1,8.0,4/25/2002,6/27/2002,false,1.588,Drama, Crime
Amalia,af,1,8.0,4/14/2005,7/4/2006,true,0.0,Drama
Die Brug,af,1,8.0,10/26/2023,10/26/2023,true,22.163,Reality
Minki,af,1,8.0,1/16/2019,8/7/2023,true,1.96,Talk
Amalia,af,1,8.0,4/14/2005,7/4/2006,true,2.076,Drama
Afgrond,af,1,8.0,2/17/2021,4/21/2021,true,0.611,Drama
Die Kontrak,af,1,8.0,9/19/2018,10/1/2023,true,9.011,Reality
Die Byl,af,1,8.0,7/12/2016,3/20/2022,false,2.932,Crime, Mystery, Drama
Die Boekklub,af,1,8.0,1/12/2016,4/20/2021,true,6.899,Drama
Fishy Fêshuns,af,1,8.0,1/1/1999,12/24/2004,true,0.6,Comedy
Amalia,af,1,8.0,4/14/2005,7/4/2006,true,0.872,Drama
Devilsdorp,af,2,7.0,7/29/2021,7/29/2021,false,0.6,Documentary
Egoli: Place of Gold,af,2,7.0,4/6/1992,3/26/2010,false,133.997,Soap
Iemand Om Lief Te Hê,af,1,7.0,7/20/1999,11/23/1999,true,0.84,Drama
Noot vir Noot,af,1,7.0,7/27/1991,9/27/2023,true,7.409,Reality
Hougaard: Die Liefling van Loftus,af,1,7.0,10/25/2023,11/1/2023,true,5.196,Documentary
Sara se Geheim,af,1,7.0,4/11/2017,4/9/2020,false,1.557,Drama
Hougaard: Die Liefling van Loftus,af,1,7.0,10/25/2023,11/15/2023,true,13.104,Documentary
Lui Maar Op, Belinda,af,1,7.0,7/8/2019,6/26/2023,true,1.975,Comedy
