Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
حاير طاير,am,1,10.0,12/8/1999,9/1/2008,false,0.6,
Salamat Abu Al Banat,am,1,10.0,4/20/2020,3/31/2023,true,3.109,Comedy, Drama
The World's Most Famous Tales,am,2,9.0,10/4/1995,10/4/1995,false,9.461,Action & Adventure, Animation
The Chief of Merchants' Daughter,am,1,9.0,6/19/2015,6/19/2015,false,0.6,Drama
مسيرتي: جورج وسوف,am,1,9.0,11/16/2021,1/18/2022,true,0.6,Documentary
خرزة زرقا,am,2,8.5,7/10/2013,7/10/2013,false,0.654,
كف ودفوف,am,3,8.0,9/4/2021,9/4/2021,true,1.257,
El Mal We El Banon,am,1,8.0,,7/19/1995,true,0.87,
الزعيم,am,1,8.0,8/1/2011,8/1/2011,false,0.623,
Sit Al-Hosn,am,3,7.7,7/23/2022,7/23/2022,false,0.6,Crime, Mystery, Drama
الشك,am,2,7.0,6/13/2020,7/12/2020,false,0.6,Crime, Drama
Safe Zone,am,1,7.0,2/5/2023,2/5/2023,true,0.7,Drama
غربة البن,am,1,6.0,9/1/2019,9/1/2020,false,0.0,Drama
البريئة,am,1,4.0,9/26/2021,9/26/2021,false,0.6,
Yoyo,am,1,2.0,1/1/2017,12/10/2017,false,2.162,
أبو حنيفة النعمان,am,0,0.0,1/10/1997,1/10/1997,true,0.841,
ستوديو 21,am,0,0.0,4/13/2021,4/13/2021,true,0.6,
أهل الراية,am,0,0.0,5/1/2008,5/1/2008,true,0.6,Drama
الفراجنة كامل,am,0,0.0,4/24/2020,4/24/2020,false,1.224,Action & Adventure, Animation
سما عالية,am,0,0.0,4/13/2021,5/12/2021,true,0.6,Drama
الشحرورة,am,0,0.0,8/1/2011,8/1/2011,true,1.21,
The Building,am,0,0.0,12/12/2020,2/13/2021,true,0.6,Comedy
مفتاح صول,am,0,0.0,11/14/2021,11/14/2021,true,0.6,
العتاوية,am,0,0.0,7/13/1980,7/13/1980,true,0.6,
بيت جدي,am,0,0.0,9/1/2008,9/1/2008,true,0.6,Drama
Zemen,am,0,0.0,3/10/2019,3/10/2019,true,0.6,
Kaleem Allah,am,0,0.0,5/5/2019,11/13/2020,false,0.6,Drama, Animation, Kids
Bou Habash,am,0,0.0,1/8/1996,1/8/1996,true,0.6,
باب الحارة 11 (حارة الصالحية),am,0,0.0,4/13/2021,5/12/2021,true,0.613,Drama
Hayat,am,0,0.0,10/30/2021,10/30/2021,true,0.616,
The Prophet Adam,am,0,0.0,4/12/2021,11/1/2021,false,0.616,Animation, Kids, Family, Drama
حي السيده زينب,am,0,0.0,10/9/2021,10/9/2021,true,0.6,
ستانداب سكتش,am,0,0.0,11/21/2021,11/21/2021,true,1.153,
Little Chef,am,0,0.0,11/1/2021,11/1/2021,true,0.6,
يا أنا يا جدو,am,0,0.0,4/24/2020,4/24/2020,true,0.6,
إمام الدعاة,am,0,0.0,11/5/2002,12/4/2002,false,0.682,Documentary, Drama, Family
Customs de légende,am,0,0.0,,,true,0.6,Documentary
صانع الأحلام,am,0,0.0,5/6/2019,5/6/2019,true,0.6,
كرميل,am,0,0.0,5/27/2017,5/27/2017,false,0.886,
home masks,am,0,0.0,4/24/2020,4/12/2021,true,0.946,
ابو العروسة ابو العروسة,am,0,0.0,,3/1/2022,true,0.6,
نبض مؤقت,am,0,0.0,4/13/2021,5/12/2021,true,1.164,Drama
حين رأت,am,0,0.0,4/13/2021,5/12/2021,true,0.866,Drama
The Cave,am,0,0.0,2/22/2021,2/11/2022,true,1.126,Action & Adventure, Mystery
طاقة حب,am,0,0.0,1/23/2020,3/22/2020,false,2.764,Drama
زوج تحت الإقامة الجبرية,am,0,0.0,4/13/2021,5/12/2021,true,0.6,Comedy, Drama
زمن البرغوث,am,0,0.0,7/20/2012,8/24/2012,true,0.6,Drama
ديستوبيا,am,0,0.0,10/4/2022,10/4/2022,true,0.6,Drama
