Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Lost village,ar,6,10.0,8/7/2008,9/9/2010,false,1.448,Comedy, Family
Al Kherbah,ar,5,10.0,8/1/2011,8/30/2011,false,1.721,Comedy, Drama
Khan Al Thahab,ar,3,10.0,3/23/2023,4/21/2023,true,3.197,Drama
HOME,ar,2,10.0,4/2/2022,5/1/2022,true,1.037,Drama, Mystery
The Slippery Path,ar,2,10.0,9/16/1977,9/28/1977,false,0.6,Comedy, Drama
Choufli Hal,ar,2,10.0,10/4/2005,11/5/2008,false,6.625,Comedy, Family, Reality
توب شيف,ar,2,10.0,9/21/2016,12/7/2022,true,4.313,Family
Kings of Sects,ar,2,10.0,10/4/2005,11/2/2005,false,2.377,War & Politics, Drama
Kidnap,ar,2,10.0,8/13/2021,9/24/2021,false,1.097,Reality, Drama, Mystery
Ramez Gab Min El Akher,ar,2,10.0,3/11/2024,4/4/2024,true,2060.789,Comedy
Bidding the World Farewell,ar,2,10.0,4/29/1987,9/2/1987,false,2.744,Comedy, Drama
Saladin,ar,2,10.0,12/18/2009,12/18/2009,false,1.634,Animation, Kids
Men of Honor,ar,2,10.0,8/14/2011,8/14/2011,false,0.84,
احلام السنين,ar,2,10.0,2/19/2020,2/19/2020,false,1.174,Drama
Crystal,ar,2,10.0,7/2/2023,9/3/2023,true,28.565,Drama
Ghazal's Flesh,ar,2,10.0,4/11/2021,5/10/2021,false,2.469,Drama
Umm Badeela,ar,2,10.0,4/13/2021,5/10/2021,false,1.251,Drama, Reality
The Four Seasons,ar,2,10.0,12/8/1999,12/14/2002,false,1.019,Drama, Family
God Father,ar,2,10.0,,4/19/2018,true,0.658,
Devil's Advocate,ar,2,10.0,7/13/2023,7/13/2023,false,3.853,Drama, Crime
مسلسل المؤسس عثمان مدبلج,ar,1,10.0,,,true,0.6,
Ruqaya and Sabika,ar,1,10.0,5/10/1986,5/16/1986,false,1.16,Comedy
Between Your Hands,ar,1,10.0,10/4/2021,10/4/2021,true,0.645,
هارون الرشيد,ar,1,10.0,1/10/1997,1/10/1997,true,0.6,
اختيار إجباري,ar,1,10.0,1/15/2017,1/15/2017,true,0.631,Action & Adventure
The Children of Halal,ar,1,10.0,5/6/2019,6/4/2019,true,0.6,Drama
Bogy and Tamtam,ar,1,10.0,4/14/1983,4/14/1983,false,0.698,Animation, Action & Adventure, Kids, Family
Fear Doors,ar,1,10.0,6/18/2011,9/24/2011,false,1.71,
Freej,ar,1,10.0,9/23/2006,7/23/2013,false,1.96,Animation
Less Than Ordinary,ar,1,10.0,1/18/2023,2/1/2023,true,0.797,Drama
Innocence,ar,1,10.0,4/2/2022,4/4/2022,false,1.483,Drama, Family, Soap
DNA,ar,1,10.0,12/11/2020,2/12/2021,false,1.815,Drama
The Best Ma Tash,ar,1,10.0,3/23/2020,3/30/2020,false,0.667,Comedy
Captain Azzouz,ar,1,10.0,5/17/2018,5/17/2018,true,0.6,
الرهائن,ar,1,10.0,1/7/2022,1/7/2022,true,0.6,
الطفل و المحتل,ar,1,10.0,9/16/2011,9/16/2011,false,0.6,
Rise of the Witches,ar,1,10.0,8/31/2023,8/31/2023,true,2.673,Drama, Action & Adventure, Sci-Fi & Fantasy
Ramez the Sea Shark,ar,1,10.0,6/28/2014,7/27/2014,false,0.6,
Raised in His Wealth,ar,1,10.0,9/13/2007,4/10/2008,false,1.789,
ولاية بطيخ,ar,1,10.0,4/1/2016,4/1/2016,false,0.6,
عيال نوف,ar,1,10.0,6/18/2022,10/29/2022,true,0.6,Drama
Siyaasat,ar,1,10.0,6/4/2014,6/4/2014,true,1.686,Drama
لخة,ar,1,10.0,5/6/2019,5/21/2019,false,0.6,Comedy
قطاع الطرق,ar,1,10.0,9/8/2015,9/8/2015,true,0.6,
النهر الثالث,ar,1,10.0,2/2/2019,2/2/2019,false,0.6,Talk
A Husband's Diary,ar,1,10.0,3/23/2023,4/6/2023,false,4.621,Drama
balón  كونتكست,ar,1,10.0,5/16/2020,4/22/2021,true,0.64,
Battalion 101,ar,1,10.0,3/23/2023,8/3/2023,true,2.468,Drama, War & Politics
The Red Zone,ar,1,10.0,4/13/2021,4/13/2021,false,0.722,Drama, Mystery
التيتي جابي القطار,ar,1,10.0,6/1/2013,6/1/2013,false,0.6,
