Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Viza za budućnost,bs,1,10.0,,,false,0.6,Comedy
Tender,bs,1,10.0,12/31/2022,1/21/2023,true,1.4,Comedy
Crazy, Confused, Normal,bs,4,8.5,10/2/2007,11/5/2021,true,126.545,Comedy
On the Edge of Reason,bs,1,7.0,12/17/2022,1/22/2023,true,1.526,Comedy
Dream Team,bs,1,7.0,,3/5/2024,true,22.418,
Kotlina,bs,1,6.5,9/26/2022,10/17/2022,true,0.992,Mystery, Action & Adventure, Drama
Good Morning Neighbors,bs,1,5.0,1/13/2019,5/2/2021,true,0.935,Comedy, Drama
Kaljave gume,bs,1,1.0,2/13/2021,2/13/2021,true,0.6,
Bogu iza nogu,bs,1,1.0,10/12/2021,10/12/2021,true,0.903,
Nadreality Show,bs,0,0.0,,,true,0.6,
Sumnjiva lica,bs,0,0.0,,10/10/2016,true,0.6,Comedy
Kad Sam Bio Vojnik,bs,0,0.0,,,true,0.6,
Kazneni Prostor,bs,0,0.0,12/7/2002,12/7/2002,true,0.6,
Gorcilo - Jesi li to dosao da me vidis,bs,0,0.0,,1/9/2015,true,0.6,
Dolina Sunca,bs,0,0.0,9/21/2009,9/21/2009,true,0.6,
Folk,bs,0,0.0,11/11/2012,11/11/2012,true,1.343,
I Know Your Soul,bs,0,0.0,8/30/2023,8/30/2023,true,1.785,Drama
Tunel,bs,0,0.0,11/11/2023,11/12/2023,true,1.96,
Drugo Stanje,bs,0,0.0,2/11/2006,2/11/2006,true,1.342,
Gore dole,bs,0,0.0,3/23/1997,3/23/1997,true,0.6,
Memoirs of the Milic Family,bs,0,0.0,10/20/1990,3/2/1991,false,0.6,
Kriza,bs,0,0.0,3/21/2013,2/12/2014,true,0.6,
Sleepover at Hilmija's,bs,0,0.0,1/2/2018,1/2/2019,true,7.274,Comedy
Time of the Gypsies,bs,0,0.0,,,false,2.049,Drama
Ne diraj mi mamu,bs,0,0.0,10/22/2018,11/12/2018,true,0.6,Comedy
The Two Worlds Are Different,bs,0,0.0,4/2/2011,7/2/2011,true,1.588,Comedy
Viza za buducnost,bs,0,0.0,9/22/2002,9/27/2023,true,21.993,Comedy, Drama, Family
Covik I po,bs,0,0.0,10/13/1974,12/15/1974,true,0.6,Comedy, Drama
Drim Tim,bs,0,0.0,,1/23/2024,true,3.842,
