Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Blood-Stained Intrigue,cn,2,10.0,8/11/1986,10/3/1986,false,3.379,Action & Adventure, Drama
Men Don't Cry,cn,2,10.0,10/8/2007,10/28/2007,false,0.97,Comedy, Drama
Ghetto Justice,cn,2,10.0,5/30/2011,8/27/2012,false,3.331,Drama, Comedy
Ladies Of The House,cn,2,10.0,1/11/1982,1/22/1982,false,1.812,Drama, Comedy
You Only Live Twice,cn,2,10.0,3/22/1982,4/16/1982,false,5.174,Sci-Fi & Fantasy, Comedy
Forensic Heroes V,cn,2,10.0,10/26/2022,11/30/2022,false,14.152,Crime, Mystery
Wishful Living,cn,2,10.0,6/3/2019,6/14/2019,false,1.012,Documentary, Reality
外来媳妇本地郎,cn,2,10.0,11/4/2000,5/19/2002,false,6.096,Comedy, Drama, Family
Get on a Flat,cn,2,10.0,10/17/2022,11/11/2022,false,3.278,Family, Comedy
The Foundation,cn,2,10.0,2/6/1984,3/1/1984,false,4.139,Drama, Action & Adventure
Here We Go Again,cn,1,10.0,10/7/2019,10/18/2019,false,1.382,Reality, Documentary
Brutally Young,cn,1,10.0,4/20/2020,6/24/2022,false,6.867,Crime, Mystery
To Love With Love,cn,1,10.0,6/1/1995,6/28/1995,false,0.828,Family
Holland Fun,cn,1,10.0,7/21/2019,8/25/2019,false,0.632,Documentary, Reality
Hipster Tour - Iceland,cn,1,10.0,10/18/2021,10/27/2021,false,1.6,Reality, Documentary
Hipster Tour - Scandinavia,cn,1,10.0,7/1/2019,11/11/2019,false,1.4,Reality, Documentary
Inspiring Journeys,cn,1,10.0,5/28/2018,4/26/2020,false,0.6,Documentary, Reality
Solo World,cn,1,10.0,8/31/2020,10/26/2020,false,2.129,Documentary, Reality
Helen Osaka,cn,1,10.0,1/28/2018,2/4/2018,false,0.669,Reality
The New Heavenly Sword and Dragon Sabre,cn,1,10.0,11/3/1986,12/26/1986,false,6.243,
A Bride for a Ride,cn,1,10.0,9/7/2009,10/5/2009,false,2.376,Comedy
Behind Silk Curtains,cn,1,10.0,4/11/1988,4/15/1988,false,2.626,
Seoul Searching,cn,1,10.0,1/5/2015,1/16/2015,false,0.625,Reality, Documentary
Super Trio Maximus,cn,1,10.0,5/26/2013,12/22/2013,false,1.602,Reality, Comedy
Pilgrimage of Wealth,cn,1,10.0,4/15/2013,4/26/2013,false,1.4,Documentary, Reality
Super Trio Game Master,cn,1,10.0,4/25/2010,10/31/2010,false,1.357,Reality, Comedy
Pilgrimage of Wealth 2,cn,1,10.0,8/26/2013,9/6/2013,false,0.629,Documentary, Reality
Super Trio Supreme,cn,1,10.0,3/30/2008,2/1/2009,false,2.061,Reality, Comedy
File Of Justice,cn,1,10.0,4/20/1992,5/9/1997,false,8.626,Drama, Mystery
Open Mind,cn,1,10.0,6/21/2022,10/5/2022,false,0.91,Documentary, Reality, News
Movie Buff Championship,cn,1,10.0,12/20/1995,8/7/1996,false,3.454,Reality, Comedy
The Super Trio Show,cn,1,10.0,10/11/1998,4/4/1999,false,2.59,Reality, Comedy
The Super Trio Mega Show,cn,1,10.0,9/5/1999,2/21/2000,false,1.628,Reality, Comedy
Super Trio Show (Sr.2),cn,1,10.0,10/29/2000,2/25/2001,false,1.206,Reality, Comedy
Hipster Tour - Olympic Winter Games Beijing 2022,cn,1,10.0,2/3/2022,2/4/2022,false,1.307,Reality, Documentary
Sidewalk Scientist (Sr.7),cn,1,10.0,12/14/2019,6/7/2020,false,1.492,Reality, Comedy
Being Rich,cn,1,10.0,9/10/1990,9/21/1990,false,1.161,
A Trio Delights,cn,1,10.0,8/11/2002,11/30/2002,false,0.689,Reality, Comedy
Narcotics Heroes,cn,1,10.0,7/26/2023,8/24/2023,true,9.49,Crime, Drama
Movie Buff Championship (Sr.2),cn,1,10.0,5/28/1997,10/22/1997,false,1.806,Reality, Comedy
Battle of the Senses,cn,1,10.0,2/19/2012,6/10/2012,false,4.426,Reality, Comedy
The Super Trio Continues...,cn,1,10.0,9/26/2004,7/3/2005,false,1.297,Reality, Comedy
A Journey Called Life,cn,1,10.0,3/31/2008,4/25/2008,false,4.608,Drama
Glittering Moments,cn,1,10.0,4/4/1994,4/15/1994,false,1.897,
The Spirit of Love,cn,1,10.0,9/9/1993,10/6/1993,false,2.675,Sci-Fi & Fantasy, Comedy
Armed Reaction 2021,cn,1,10.0,1/25/2021,3/5/2021,false,5.344,Drama, Crime, Comedy
Kido Q,cn,1,10.0,5/21/2004,11/5/2004,true,0.6,
Justice Bao: The First Year,cn,1,10.0,7/22/2019,8/30/2019,false,3.336,Drama
Being Twins,cn,1,10.0,11/30/1992,12/25/1992,false,1.306,Comedy
Top Cop,cn,1,10.0,9/13/1993,10/8/1993,false,5.082,
