Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Slunečná,cs,5,10.0,1/11/2020,2/22/2022,false,12.167,
Polosvět,cs,1,10.0,1/13/2022,2/17/2022,true,0.6,Documentary, Crime
Superšéf: 24 hodin do pekla a zpět,cs,1,10.0,2/7/2020,2/28/2020,true,0.6,Reality
O skřítku Racochejlovi,cs,1,10.0,12/24/1997,2/8/2015,false,1.4,Animation, Kids
Stardance XI ...kolem dokola,cs,1,10.0,10/17/2021,12/17/2021,true,3.842,Reality
Zvláštní znamení touha,cs,1,10.0,9/2/2015,11/25/2015,false,1.522,Documentary
Krajem čapích hnízd,cs,1,10.0,1/1/2011,1/1/2011,false,0.6,
Povídání o mamince a tatínkovi,cs,1,10.0,3/23/2016,3/29/2016,false,0.6,Animation, Kids
Zakázaný Bůh,cs,1,10.0,1/7/2021,4/8/2021,true,0.684,Documentary
Dream Team – Mistři dílny,cs,1,10.0,1/10/2022,2/28/2022,true,1.046,Reality
Chaloupka na vršku,cs,1,10.0,12/12/2008,4/19/2022,false,0.85,Animation, Kids
Comedy Club,cs,1,10.0,4/25/2016,2/20/2023,true,6.993,Comedy
TaJeMno,cs,1,10.0,9/20/2018,1/13/2021,true,0.6,Documentary, Mystery
Náměstíčko,cs,1,10.0,9/6/2004,11/8/2004,false,2.087,Comedy, Drama
Tajuplný podzemní svět,cs,1,10.0,1/1/2017,1/1/2017,true,0.6,Documentary
Honza a beránek,cs,1,10.0,12/9/2020,12/15/2020,true,1.138,Animation, Kids, Family
Druhý dech,cs,1,10.0,10/1/1989,11/12/1989,false,2.612,Drama
Třicet návratů,cs,1,10.0,10/14/1999,5/4/2000,false,1.96,Documentary
V karavanu po Česku,cs,1,10.0,1/7/2021,2/24/2022,true,0.921,Documentary
Labyrint světa a ráj srdce,cs,1,10.0,11/15/2020,12/16/2020,false,1.559,Animation, Family
Ochránce,cs,1,10.0,9/5/2021,11/7/2021,true,3.192,Crime, Drama
Možná přijde i... Kaiser a Lábus,cs,1,10.0,1/1/1979,1/1/2010,false,2.731,Comedy
Co tomu říkáte, pane Werich?,cs,1,10.0,6/28/1968,8/18/1968,false,0.621,
Vydrýsek,cs,1,10.0,1/5/2003,1/17/2003,false,0.958,Kids
Sestřičky,cs,1,10.0,8/29/2020,6/23/2021,true,16.807,Drama
Dáma a Král,cs,3,9.7,10/22/2017,6/16/2022,true,6.15,Crime
Taková normální rodinka,cs,5,9.4,3/13/1971,8/25/1972,false,1.104,Comedy
Devadesátky,cs,7,9.0,1/9/2022,2/13/2022,true,1.616,Crime
Osada,cs,3,9.0,9/3/2021,9/29/2023,true,11.914,Comedy
Jan Hus,cs,2,9.0,5/29/2015,5/31/2015,false,3.443,Drama
O zvířátkách pana Krbce,cs,2,9.0,12/27/1980,1/8/1981,false,0.9,Kids, Animation
Soukromé pasti,cs,2,9.0,9/10/2008,10/2/2011,false,4.039,Drama
Magický Činoherní klub,cs,1,9.0,9/11/2015,10/16/2015,false,0.625,Documentary
Legendy kriminalistiky,cs,1,9.0,1/9/2017,10/31/2022,true,0.778,Documentary, Crime
Konec velkých prázdnin,cs,1,9.0,1/1/1996,1/1/1996,false,1.293,
Zrádci,cs,1,9.0,2/23/2020,3/29/2020,false,1.355,Crime
Přítelkyně z domu smutku,cs,1,9.0,1/1/1992,1/1/1992,false,2.531,Drama
Pan profesor,cs,1,9.0,9/9/2021,11/3/2022,true,1.151,Comedy
Das Phänomen Bruno Gröning,cs,1,9.0,10/3/2003,10/17/2003,true,0.6,Documentary
Rande s fyzikou,cs,1,9.0,3/16/2020,4/1/2020,true,0.6,Documentary
Historie.cs,cs,1,9.0,9/3/2007,4/17/2021,true,2.902,Talk
Hop nebo trop,cs,1,9.0,1/2/2005,11/30/2008,false,2.988,Comedy, Comedy, Action & Adventure, Family
Vzduch je naše moře,cs,1,9.0,1/6/2003,8/11/2003,false,0.662,Documentary
Three kings,cs,1,9.0,1/1/1998,1/1/1998,false,1.758,Drama
Co teď a co potom?,cs,0,9.0,1/1/1991,1/1/1991,false,1.96,Drama
The Tales of Bumblebees,cs,4,8.9,12/23/1984,12/30/1994,false,0.99,Animation, Kids
Četnické humoresky,cs,6,8.8,1/4/2001,11/23/2007,false,2.583,Comedy, Crime
Dobrodružství kriminalistiky,cs,4,8.8,11/11/1989,1/1/1992,false,1.4,Drama, Crime
Dynastie Nováků,cs,2,8.8,10/23/1982,12/26/1982,false,2.271,Comedy, Family
Okresní přebor,cs,5,8.7,9/6/2010,12/20/2010,false,1.719,Comedy
