Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
35 Days,cy,2,8.5,3/23/2014,5/31/2020,false,2.717,Mystery, Drama
The Museum,cy,4,8.25,5/30/2021,7/4/2021,true,4.504,Drama, Crime
Bang,cy,6,8.0,9/10/2017,3/29/2020,true,3.251,Drama, Crime
People of the Valley,cy,1,8.0,10/16/1974,2/2/2023,true,1.095,Drama, Soap
Hinterland,cy,74,7.384,10/29/2013,12/18/2016,false,17.618,Crime, Drama, Mystery
Hidden,cy,26,7.231,1/7/2018,11/14/2021,false,9.196,Crime, Drama, Mystery
Keeping Faith,cy,29,7.138,11/5/2017,12/6/2020,false,9.322,Mystery, Drama
SuperTed,cy,23,7.087,10/4/1983,2/6/1986,false,5.27,Animation
Bregus,cy,1,7.0,3/21/2021,4/25/2021,true,1.363,Drama
Fireman Sam,cy,26,6.5,11/17/1987,7/7/2023,true,68.143,Kids, Animation, Comedy
The Light in the Hall,cy,8,6.2,5/15/2022,6/12/2022,false,4.855,Drama
Alys,cy,1,2.0,1/23/2011,12/30/2012,false,1.4,
Iolo's Wild October,cy,0,0.0,10/2/2021,10/30/2021,false,0.6,
Taith Iolo a Pws i St Kilda,cy,0,0.0,12/21/2014,12/21/2014,false,0.6,
Sgorio,cy,0,0.0,,,true,0.6,
Asra,cy,0,0.0,,6/18/2018,true,0.6,Kids
First Minister in a Pandemic,cy,0,0.0,3/7/2021,3/7/2021,false,0.979,Documentary
Persona,cy,0,0.0,7/8/2022,7/22/2022,true,0.633,Drama
Butterfly Breath,cy,0,0.0,9/9/2019,9/29/2019,true,0.6,
Gwaith/Cartref,cy,0,0.0,9/18/2011,1/11/2017,false,1.096,
C'mon Midffîld!,cy,0,0.0,,,true,1.736,
Bwyd Epic Chris,cy,0,0.0,11/2/2018,2/4/2021,true,0.887,Documentary
Wawffactor,cy,0,0.0,,,false,0.6,
Fflam,cy,0,0.0,2/10/2021,2/10/2021,true,0.955,
Pen Talar,cy,0,0.0,9/12/2010,11/7/2010,false,0.6,
Cowbois ac Injans,cy,0,0.0,,,false,0.6,Drama
Rough Cut,cy,0,0.0,10/2/2022,11/6/2022,true,3.72,Drama
Caerdydd,cy,0,0.0,1/11/2006,2/24/2006,false,0.935,Drama
Y Pris,cy,0,0.0,,,false,0.6,Drama
Living a Lie,cy,0,0.0,1/3/2016,1/17/2016,false,0.6,
