Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Steel Buddies,de,8,10.0,9/22/2014,12/13/2022,true,28.232,Reality
Binny and the Ghost,de,4,10.0,3/23/2013,5/15/2016,false,4.22,Sci-Fi & Fantasy, Comedy
Babeck,de,3,10.0,12/17/1968,12/29/1968,false,1.718,Drama
Fascht e Familie,de,3,10.0,11/4/1994,10/29/1999,false,5.596,Comedy
Ein Kapitel für sich,de,2,10.0,12/26/1979,1/1/1980,false,1.079,Drama
ARD Crime Time,de,2,10.0,2/27/2020,8/30/2023,true,2.654,Documentary
Im Namen des Gesetzes,de,2,10.0,9/13/1994,10/30/2008,false,13.419,Crime
Techno House Deutschland,de,2,10.0,7/31/2022,8/1/2022,true,0.6,Documentary
Wir sind das Volk - Liebe kennt keine Grenzen,de,2,10.0,10/6/2008,10/7/2008,false,1.318,Drama
Königlich Bayerisches Amtsgericht,de,2,10.0,1/13/1969,1/23/1972,false,3.412,Comedy
Die Kirche bleibt im Dorf,de,2,10.0,4/15/2013,1/1/2018,false,2.076,Comedy
Hannes und der Bürgermeister,de,2,10.0,1/1/1985,11/26/2020,true,3.246,Comedy
Kino Plus,de,2,10.0,2/14/2014,6/1/2023,true,164.052,
München 7,de,2,10.0,10/24/2004,11/9/2016,false,10.702,Comedy, Crime
Horvathslos,de,2,10.0,11/20/2013,11/30/2016,false,1.103,Comedy
Löffel, Messer, Gäbel,de,2,10.0,4/13/2016,8/26/2022,true,6.885,Comedy, Reality
Mittendrin - Flughafen Frankfurt,de,2,10.0,1/23/2019,5/31/2023,true,4.332,Documentary
Piggeldy & Frederick,de,2,10.0,1/1/1975,1/1/1975,false,0.637,Animation, Family, Kids
Die Knickerbocker-Bande,de,2,10.0,11/22/1997,2/14/1998,false,2.23,Family
Berliner Weiße mit Schuß,de,2,10.0,9/23/1984,4/14/1994,false,3.216,Drama, Comedy
Comedystreet XXL,de,1,10.0,7/21/2009,7/30/2011,false,0.629,Comedy
Rockpalast,de,1,10.0,10/4/1974,1/29/1986,true,2.404,Reality
Blind Date,de,1,10.0,5/20/2001,5/20/2005,true,1.4,
Nesthocker – Familie zu verschenken,de,1,10.0,1/11/2000,5/28/2002,false,3.45,Family
Tele-Gym,de,1,10.0,11/9/2006,6/3/2021,true,0.6,
Ein Herz für Kinder,de,1,10.0,11/3/1998,12/7/2019,true,6.238,Talk
Universe of the Oceans with Frank Schätzing,de,1,10.0,10/9/2010,10/23/2010,false,0.681,Documentary
Die Kids von Berlin,de,1,10.0,10/29/1997,1/28/1998,false,2.454,Family
Die Toten von Salzburg,de,1,10.0,3/2/2016,1/6/2023,true,3.105,Crime
Gegen den Wind,de,1,10.0,1/11/1995,2/8/1999,false,4.034,Drama, Action & Adventure
Li-La-Launebär,de,1,10.0,2/5/1989,2/5/1989,true,1.96,Kids
Trudes Tier,de,1,10.0,4/27/2014,6/10/2022,true,7.871,Animation, Kids
Universum: Die Kanarischen Inseln,de,1,10.0,1/1/2016,1/8/2016,true,0.6,Documentary
Die Nervensäge,de,1,10.0,9/12/1985,12/23/1986,false,1.764,Comedy
Bianca - Wege zum Glück,de,1,10.0,11/1/2004,10/6/2005,false,9.708,Drama
wXw Shotgun,de,1,10.0,,5/23/2018,true,0.634,
303 – The Series,de,1,10.0,8/22/2021,8/22/2021,false,0.857,Comedy, Drama
Geliebte Feinde – Die Deutschen und die Franzosen,de,1,10.0,12/2/2013,12/13/2013,true,0.684,Documentary
Prinz und Bottel,de,1,10.0,4/4/2010,4/10/2010,false,1.526,Drama, Family
Bits und so,de,1,10.0,10/21/2006,3/1/2007,true,0.6,
Die Kinder vom Alstertal,de,1,10.0,12/7/1998,12/17/2004,false,1.235,Family
Roter Stahl - Der Panzer-Clan,de,1,10.0,8/27/2019,10/1/2019,true,0.967,Documentary
Lasko – Die Faust Gottes,de,1,10.0,6/18/2009,12/16/2010,false,5.073,Action & Adventure
Geil! – So treibt’s Österreich,de,1,10.0,3/11/2021,3/17/2022,true,1.523,Reality, Documentary
SK Kölsch,de,1,10.0,1/11/1999,8/16/2006,false,7.052,Crime
Unsere schönsten Jahre,de,1,10.0,9/1/1983,10/12/1985,false,5.376,Family
Till Eulenspiegel,de,1,10.0,12/25/2014,12/26/2014,false,1.816,Family, Action & Adventure
Ein Fall für die Erdmännchen,de,1,10.0,11/19/2017,11/30/2022,true,1.756,Kids
Sitzheizung gibt’s nicht,de,1,10.0,8/10/2017,9/14/2017,false,0.633,Comedy
Väter der Klamotte,de,1,10.0,10/5/1973,5/31/1986,false,0.6,Comedy
