Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Mother and Son,el,2,10.0,1/1/2002,6/25/2002,false,2.138,
Τυφλόμυγα,el,1,10.0,2/13/2007,2/13/2007,false,1.4,Drama
Παραμύθι... Αλλιώς,el,1,10.0,5/5/2017,10/28/2017,false,1.414,Comedy
Οι Μάγισσες Της Σμύρνης,el,1,10.0,10/6/2005,4/27/2006,true,1.547,Drama
Pagidevmenoi,el,1,10.0,9/19/2022,11/15/2022,true,7.143,Drama, Crime
Ανίσχυρα Ψεύδη,el,1,10.0,1/1/1999,1/1/1999,false,0.871,Drama
The Notary,el,1,10.0,10/5/1979,10/5/1979,false,0.643,Drama
Murders on the Belfry,el,1,10.0,10/20/2023,10/27/2023,true,7.835,Comedy, Crime
Ακυβέρνητες Πολιτείες,el,1,10.0,1/11/1985,1/11/1985,false,0.84,Drama
Στο Γηροκομείο με τον Ηλία Ψινάκη,el,1,10.0,12/9/2021,2/11/2022,true,0.6,
Έρωτας Μετά,el,1,10.0,9/16/2019,6/17/2020,true,13.226,Drama, Mystery, Crime
Μόλις Χθες,el,1,10.0,9/27/2021,7/18/2022,true,2.272,Drama
Η Αγάπη Άργησε Μια Μέρα,el,1,10.0,11/3/1997,11/3/1997,false,1.588,Drama
ΚΡΑ,el,1,10.0,10/1/2008,10/1/2008,false,0.622,Comedy
Couples That Made History,el,1,10.0,2/14/2020,4/10/2020,false,1.474,Documentary
Malista, Chef!,el,1,10.0,3/14/2016,6/6/2016,false,1.294,Comedy
[Κ12] Φως Στο Τούνελ,el,1,10.0,10/15/2022,10/15/2022,true,1.174,Crime, Talk
Πρόσωπα,el,1,10.0,11/5/2022,1/21/2023,false,0.695,Documentary
Camping,el,1,10.0,9/21/2020,10/6/2021,true,0.6,
Αυτή η Νύχτα Μένει,el,1,10.0,10/10/2022,7/9/2023,true,4.3,Drama, Crime
ANNE-ΜΗΤΕΡΑ,el,1,10.0,10/25/2016,10/25/2016,true,0.6,
An imoun plousios,el,1,10.0,9/16/2019,5/29/2020,false,1.4,Comedy
Σκορπιός,el,1,10.0,3/13/1995,6/5/1995,true,1.4,Crime
Οι Δικηγόροι της Αθήνας,el,1,10.0,10/7/1994,10/7/1994,false,1.198,Drama
ΠΙΣΩ ΑΠΟ ΤΑ ΚΑΓΚΕΛΑ,el,1,10.0,,,true,0.6,
Murders on the Belfry,el,1,10.0,10/20/2023,11/3/2023,true,23.33,Comedy, Crime
Gnosi S' Afton,el,1,10.0,11/7/2019,11/17/2022,true,0.6,Documentary, Crime
Mama's Cake,el,5,9.6,10/15/2020,6/23/2022,false,2.442,Family, Comedy
Μηχανή του Χρόνου,el,3,9.5,3/4/2005,3/6/2023,true,6.363,History, Documentary
Murders on the Belfry,el,2,9.5,10/20/2023,11/10/2023,true,11.399,Comedy, Crime
Συμπέθεροι Απ' Τα Τίρανα,el,2,9.5,10/15/2021,3/18/2022,true,3.085,Comedy, Family
Music Box,el,3,9.3,11/4/2020,6/28/2023,true,1.738,Family, Talk
Sasmos,el,3,9.0,9/6/2021,11/24/2022,true,13.632,Drama
Βελούδο από μετάξι,el,2,9.0,9/24/2004,9/24/2004,false,0.66,Comedy
Κανείς Δε Λέει Σ' Αγαπώ,el,2,9.0,9/30/2004,9/30/2004,false,1.577,Comedy
Και Οι Παντρεμένοι Έχουν Ψυχή,el,2,9.0,10/7/1997,6/22/2000,false,1.341,Comedy
Survivor Greece,el,2,9.0,9/1/2003,9/28/2003,false,0.6,Action & Adventure, Reality
Αέρινες Σιωπές,el,1,9.0,1/1/2000,1/1/2000,true,2.314,Drama
About Freedom: 200 Years Since the Greek Revolution,el,1,9.0,3/25/2021,4/15/2021,false,1.39,Documentary
Μυστικά & Λάθη,el,1,9.0,10/2/2003,2/19/2004,false,1.22,Drama
Όσο έχω εσένα,el,1,9.0,9/23/2018,9/23/2018,false,1.234,Comedy
Έλλη και Άννα,el,1,9.0,10/4/1995,10/4/1995,false,0.6,Comedy
Επιφάνεια,el,1,9.0,10/4/2001,3/14/2002,false,2.325,Drama
Για την καρδιά ενός αγγέλου,el,1,9.0,1/25/2007,1/25/2007,false,1.4,Drama
Σπίτι είναι...,el,1,9.0,9/30/2019,3/26/2020,false,1.503,Comedy
Ιωάννα της καρδιάς,el,1,9.0,1/1/2006,1/1/2006,false,3.454,Drama
Μη Φοβάσαι τη Φωτιά,el,1,9.0,5/31/1994,5/31/1994,false,1.142,Drama
Ο Παραμυθάς,el,1,9.0,1/1/2009,1/1/2009,false,0.6,
Χορεύοντας στη σιωπή,el,1,9.0,9/30/2002,9/30/2002,false,0.999,Drama
...Ύστερα Ήρθαν οι Μέλισσες,el,1,9.0,1/24/2000,1/24/2000,false,0.694,Drama
