Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Scooby-Doo!: Behind the Scenes,en,34,10.0,1/1/1998,2/19/1998,false,5.165,Family, Animation, Action & Adventure, Kids, Comedy, Mystery
Tyler Perry's Zatima,en,19,10.0,9/21/2022,9/7/2023,true,9.992,Comedy, Drama
Delirium,en,11,10.0,6/20/2014,6/20/2014,true,6.278,Drama, Action & Adventure
Dog's Most Wanted,en,11,10.0,9/4/2019,11/6/2019,true,0.947,
Driven,en,9,10.0,,,false,0.86,
Dateline on ID,en,9,10.0,,8/29/2017,true,1.524,Crime, Drama
Teen Choice Awards,en,8,10.0,8/1/1999,8/11/2019,true,0.6,Comedy, Family, Kids
Ghost Hunters: TAPS Returns,en,7,10.0,10/31/2021,5/25/2023,true,2.148,Mystery, Drama
Scooby Doo! Mystery Cases,en,6,10.0,1/25/2018,2/1/2020,true,2.81,Kids, Family, Animation
Sweet Home Sextuplets,en,5,10.0,9/18/2018,10/27/2020,true,1.621,Reality
Scott the Woz,en,5,10.0,12/7/2021,2/8/2022,false,2.353,Comedy
The Wonderland Murders,en,5,10.0,6/5/2018,8/21/2019,true,2.03,Crime, Documentary
Zoom,en,5,10.0,1/4/1999,1/4/1999,false,14.843,
The History of Rock 'n' Roll,en,5,10.0,3/8/1995,5/8/1995,false,2.607,Documentary
Young MacGyver,en,5,10.0,1/1/2003,1/1/2003,true,7.186,Action & Adventure
Cuts,en,5,10.0,2/14/2005,5/11/2006,false,7.423,Comedy
The Heights,en,5,10.0,2/22/2019,10/1/2020,true,18.041,Drama
Curiosity Shop,en,4,10.0,9/11/1971,9/11/1971,false,1.604,Kids, Family, Comedy
Akkara Kazhchakal,en,4,10.0,,,false,7.328,Comedy
In Touch with Dr. Charles Stanley,en,4,10.0,,,false,0.6,
My Crazy Ex,en,4,10.0,4/1/2015,10/2/2017,true,6.7,Drama, Comedy
90 Day Fiancé: Love in Paradise,en,4,10.0,7/18/2021,7/3/2023,true,3.534,Reality
Rock Me Baby,en,4,10.0,9/16/2003,5/25/2004,false,33.556,Comedy
Radio Disney Music Awards,en,4,10.0,4/27/2013,6/16/2019,false,7.039,Kids, Family
USA High,en,4,10.0,8/4/1997,6/10/1999,false,14.168,Drama, Mystery
Moonshiners: Master Distiller,en,4,10.0,3/3/2020,3/15/2023,true,3.268,Reality
Billboard Music Awards,en,3,10.0,5/1/1989,5/15/2022,true,60.092,Music, Reality
T.I. & Tiny: Friends & Family Hustle,en,3,10.0,10/22/2018,6/29/2020,true,1.4,Reality
Say Yes to the Dress: Bridesmaids,en,3,10.0,7/8/2011,8/23/2013,true,0.6,Reality
$100 Makeover,en,3,10.0,6/19/2010,8/21/2010,false,1.288,
Act Your Age,en,3,10.0,3/4/2023,7/29/2023,true,11.126,
The Life Of A Creator,en,3,10.0,3/22/2021,3/22/2021,true,1.881,Talk
Married to Jonas,en,3,10.0,8/19/2012,5/26/2013,false,1.41,Reality
Mega Man: Fully Charged,en,3,10.0,8/5/2018,5/23/2019,false,12.323,
In Search of Monsters,en,3,10.0,4/11/2019,6/6/2019,false,1.499,Documentary
Secrets of the Castle,en,3,10.0,11/18/2014,12/17/2014,false,1.29,Documentary
MTV Undressed,en,3,10.0,8/16/2017,8/30/2017,false,1.93,Reality
Lindsay Lohan's Beach Club,en,3,10.0,1/7/2019,3/25/2019,false,1.835,Reality
Ghost Finders,en,3,10.0,11/19/2011,9/13/2017,true,0.6,
Psychedelica,en,3,10.0,1/15/2018,4/26/2021,true,2.198,Documentary
Moville Mysteries,en,3,10.0,9/7/2002,5/14/2003,false,1.591,Mystery, Sci-Fi & Fantasy, War & Politics
Love & Marriage: DC,en,3,10.0,5/14/2022,3/25/2023,true,1.4,
These Woods Are Haunted,en,3,10.0,7/8/2018,11/12/2021,true,1.897,
The Underground Kings,en,3,10.0,1/1/2014,2/12/2014,false,1.419,Crime, Mystery, Action & Adventure
Murder Comes Home,en,3,10.0,1/28/2020,3/3/2020,true,0.925,
Adventures from the Book of Virtues,en,3,10.0,9/2/1996,12/17/2000,false,7.853,Animation, Kids
Brat Loves Judy,en,3,10.0,8/6/2021,6/1/2023,true,1.455,Reality
EXO's Showtime,en,3,10.0,11/28/2013,2/13/2014,false,1.8,Comedy, Reality
Japan with Sue Perkins,en,3,10.0,9/18/2019,9/25/2019,false,1.804,Documentary
WWE Confidential,en,3,10.0,5/25/2002,4/24/2004,false,7.048,Action & Adventure, Documentary, Drama
