Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
LOL: Last One Laughing Colombia,es,9,10.0,8/10/2023,8/24/2023,true,45.015,Reality, Comedy
Art Attack: Challenge Mode,es,4,10.0,7/24/2023,7/26/2023,true,8.191,Reality
8 Days: To the Moon and Back,es,2,10.0,7/3/2019,7/3/2019,false,1.399,Documentary
Odisea Burbujas,es,2,10.0,7/5/1981,7/5/1981,false,0.6,Comedy, Family, Kids, Sci-Fi & Fantasy
Bichos Raros,es,2,10.0,3/3/2018,10/3/2018,false,1.765,Comedy, Drama
Séptima puerta,es,2,10.0,8/17/2004,1/10/2005,false,3.205,Mystery
Spanish National Team, Strength of the Group,es,2,10.0,10/19/2021,10/19/2021,true,1.225,Documentary
Scott y Milá,es,2,10.0,2/28/2019,6/10/2021,false,0.6,
Sandro de América,es,2,10.0,3/5/2018,3/27/2018,false,2.088,Drama
The Adventures of Agent Marlon,es,2,10.0,4/25/2017,5/7/2017,false,1.783,Action & Adventure, Crime, Drama
Luz María,es,2,10.0,4/6/1998,5/14/2018,false,2.991,
Inglés sin Barreras (2007),es,1,10.0,1/1/2007,4/1/2007,true,0.6,
Hipnotízame,es,1,10.0,3/23/2016,1/4/2019,false,3.541,Family
Mujer Comprada,es,1,10.0,8/24/2009,3/5/2010,false,2.194,Drama
Tabú de Jon Sistiaga,es,1,10.0,3/31/2016,3/31/2016,true,0.6,
La casita sobre la roca,es,1,10.0,5/5/2017,5/5/2017,true,0.929,Family, Animation, Kids
Amar otra vez,es,1,10.0,,,false,0.6,
La Casa Fuerte,es,1,10.0,6/11/2020,11/15/2020,true,1.41,Reality
El Libro de la Chacra,es,1,10.0,1/10/2019,11/7/2021,true,0.647,Comedy, Documentary
Imprescindibles,es,1,10.0,6/24/2011,12/26/2014,false,0.6,Documentary
Amor Sincero,es,1,10.0,2/24/2010,2/24/2010,true,1.133,
Guadalupe,es,1,10.0,5/31/1993,6/17/1994,false,7.467,Drama, Soap
CMFU Academy: King of Billiards,es,1,10.0,7/1/2019,9/16/2019,false,0.956,Comedy, Animation
Documentos TV,es,1,10.0,4/29/1986,7/13/2016,true,2.204,Documentary, News
Romeo y Julieta,es,1,10.0,,,false,1.204,Drama, Family
Aulaga. Senderos del Atlántico,es,1,10.0,10/21/2006,3/24/2007,true,0.6,
H8ters,es,1,10.0,4/13/2017,5/11/2017,true,0.826,Comedy
Reyes de la Canción,es,1,10.0,5/28/2021,5/28/2021,false,2.152,
Buen camino,es,1,10.0,7/13/2017,9/14/2017,true,0.631,
Ruta ibérica,es,1,10.0,4/11/2009,6/20/2009,false,0.6,
¡Allá tú! (2023),es,1,10.0,7/9/2023,7/16/2023,true,0.636,Talk
Mortadelo y Filemón. Cortos animados,es,1,10.0,1/1/1967,1/1/1971,true,1.168,
Nerfeadas,es,1,10.0,3/2/2020,1/18/2021,false,0.6,Documentary
XY The Magazine,es,1,10.0,9/9/2009,10/27/2010,true,1.522,
Sin Verguenza,es,1,10.0,4/9/2007,8/24/2007,false,7.662,Drama, Comedy
Mr. Trance,es,1,10.0,9/15/2013,3/9/2014,true,0.84,
El capo - El amo del túnel,es,1,10.0,7/14/2017,7/14/2017,false,3.852,Crime, Drama
Una vida Bárbara,es,1,10.0,4/12/2023,5/3/2023,false,1.402,Documentary
Enchufe.tv,es,1,10.0,,2/28/2016,true,1.571,Comedy
Ahí Andamos,es,1,10.0,9/3/2016,9/3/2016,true,0.6,Action & Adventure, Comedy
1812 (Napoleonic Wars in Russia),es,1,10.0,6/1/2012,6/4/2012,false,0.876,Documentary
La viuda de Blanco,es,1,10.0,2/25/1996,10/20/1996,false,1.779,Drama, Soap
El Laberinto del Tíbet,es,1,10.0,12/13/2000,1/17/2001,false,0.6,Documentary
Welcome to Reality,es,1,10.0,3/14/2011,8/28/2011,false,27.092,Drama, Soap
Nano,es,1,10.0,3/7/1994,3/7/1994,false,3.444,Drama
La traición,es,1,10.0,6/27/2008,6/27/2008,false,3.879,
Casa a solos,es,1,10.0,7/4/2023,7/11/2023,true,1.4,
Hermanos y Enemigos (Petrovic y Divac),es,1,10.0,12/10/2010,12/10/2010,true,0.6,
Llovizna,es,1,10.0,3/25/1997,9/10/1997,false,19.895,Soap, Family, Drama
La vida secreta de los niños,es,1,10.0,9/11/2016,7/18/2019,true,1.153,Documentary
