Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Under the Clouds,et,2,10.0,9/8/2010,4/28/2021,true,3.979,
Windward Land,et,1,10.0,10/9/2008,2/24/2013,false,1.171,Drama
Õnne 13,et,1,8.0,10/30/1993,5/18/2013,true,9.474,Drama, Comedy, Family
Statesmen,et,1,8.0,10/31/2010,10/13/2013,false,0.896,Comedy
Bachelor Party,et,2,7.5,8/30/2021,10/18/2021,true,0.0,Reality
The Class: Life After,et,4,7.2,11/6/2010,12/24/2010,false,4.667,Drama
Wikman's Boys,et,1,7.0,1/8/1995,3/26/1995,false,2.177,Drama
Revenge Office,et,1,6.0,4/30/2009,11/24/2011,true,5.974,Crime, Comedy
Kid Detectives and the Secret of the White Lady,et,0,0.0,3/20/2014,4/24/2014,false,0.6,
Wigla Show,et,0,0.0,,12/31/1997,true,0.6,
Ulmefilm.. kas sina oled valmis ärkama?,et,0,0.0,7/31/2012,7/31/2012,false,0.6,Documentary
Kliinikum,et,0,0.0,12/5/2015,4/30/2016,false,1.432,Documentary
EnsV (Eesti nüüd siis Vabariik),et,0,0.0,12/31/2019,12/31/2019,true,0.6,Comedy
Lotte's Stories,et,0,0.0,10/17/2017,11/21/2017,false,1.4,Kids, Family
Love,et,0,0.0,2/8/2022,12/12/2022,true,0.6,Drama
Tuta asjad,et,0,0.0,10/1/2021,1/28/2023,true,0.6,
Padjaklubi,et,0,0.0,3/10/2014,5/26/2014,true,1.891,Comedy
Wigla Show,et,0,0.0,,12/31/1997,true,0.6,
Süü,et,0,0.0,11/19/2021,11/19/2021,false,0.6,Drama
Pätu,et,0,0.0,3/4/1990,11/20/1990,false,2.965,
Eyewitness,et,0,0.0,,11/8/2023,true,2.98,
Impulse,et,0,0.0,10/3/2023,11/7/2023,true,2.949,Talk
Wigla Show,et,0,0.0,,12/31/1997,true,0.6,
Families At The Crossroads,et,0,0.0,,8/10/2023,true,0.6,
Süü,et,0,0.0,11/19/2021,11/19/2021,false,0.6,Drama
Free Throws,et,0,0.0,9/1/2022,2/20/2023,false,2.195,
Women's War,et,0,0.0,11/17/2020,1/12/2021,true,0.6,Drama
The Camp,et,0,0.0,10/27/2021,12/15/2021,true,0.621,Reality
Melchior, der Apotheker,et,0,0.0,5/5/2023,5/5/2023,false,1.588,
Legend eluajal,et,0,0.0,1/1/2023,3/3/2023,true,0.93,Comedy
Naised Vormis,et,0,0.0,10/5/2022,12/7/2022,true,1.59,Comedy
Alpine House,et,0,0.0,4/13/2012,5/11/2012,false,1.4,Crime, Drama, Mystery
Traitor,et,0,0.0,11/25/2019,11/5/2021,true,2.584,Action & Adventure, Drama, Crime, War & Politics, Mystery
Jürgensonid,et,0,0.0,9/1/2001,9/1/2001,false,0.962,Reality
Ühikarotid,et,0,0.0,3/8/2010,3/15/2010,true,0.6,
Crazy Radio,et,0,0.0,,,false,0.84,Comedy
Tüdrukute Õhtu,et,0,0.0,4/1/2022,4/1/2022,true,0.6,Reality
Black Widows,et,0,0.0,9/11/2015,11/27/2015,false,2.6,Drama
THE BEST PARTNER,et,0,0.0,12/19/2021,12/7/2022,true,0.6,
11,000 Years Later,et,0,0.0,11/28/2007,11/26/2008,true,0.6,Documentary
Beach House,et,0,0.0,9/4/2019,8/29/2022,true,0.6,Reality, Comedy, Drama
Musta kivi saladus,et,0,0.0,9/2/2022,10/7/2022,true,0.656,
Villa,et,0,0.0,10/3/2022,12/22/2022,true,0.6,
Mood Breaker,et,0,0.0,12/31/2008,12/31/2015,false,2.261,Comedy
Wigla Show,et,0,0.0,,12/31/1997,true,0.6,
Eyewitness,et,0,0.0,,11/8/2023,true,1.4,
Süü,et,0,0.0,11/19/2021,11/19/2021,false,0.988,Drama
The Bank,et,0,0.0,10/17/2018,12/19/2018,false,2.911,Drama
Süü,et,0,0.0,11/19/2021,11/19/2021,false,0.866,Drama
Families At The Crossroads,et,0,0.0,,8/10/2023,true,0.0,
