Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Sand Mouths,eu,2,9.5,11/4/2020,11/25/2020,false,1.787,Mystery, Crime
Altsasu,eu,1,8.0,12/9/2020,12/30/2020,false,0.755,Drama
Ihesaldia,eu,1,7.0,12/19/2019,1/16/2020,false,0.6,Drama
Go!azen,eu,2,6.0,11/13/2008,2/3/2023,true,0.816,
Alardea,eu,1,6.0,10/7/2020,10/28/2020,false,3.036,Drama
Irabazi arte!,eu,1,2.0,2/11/2022,3/31/2023,true,1.115,
Baskoniako Historia Bat,eu,0,0.0,6/5/2016,9/30/2020,true,0.6,Documentary, War & Politics, Family
Bi eta Bat,eu,0,0.0,10/16/1991,10/16/1991,false,1.39,Comedy
Euskadiko Guda Zibila,eu,0,0.0,6/16/2006,7/14/2006,true,0.6,Documentary
Deus ez da Perfektua,eu,0,0.0,,,true,0.6,
Show Me the Way, Ixabel,eu,0,0.0,4/15/2007,5/13/2007,false,0.623,Comedy
In the Land of the Wolves,eu,0,0.0,12/31/2017,12/31/2019,false,1.027,Action & Adventure, Sci-Fi & Fantasy
