Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Toini ja Heikki Haaman Show,fi,2,10.0,7/17/1995,7/17/1996,false,1.53,Comedy
Häjyt,fi,1,10.0,2/1/1978,2/1/1978,false,0.84,Drama, Crime
Rölli,fi,1,10.0,9/3/1986,12/23/2001,false,1.4,Kids
Sirkuspelle Hermanni,fi,1,10.0,8/29/1978,4/20/1988,false,1.942,
The Paradise,fi,3,9.3,2/9/2020,11/1/2022,true,3.511,Drama, Crime
Arman ja viimeinen ristiretki,fi,5,9.0,9/22/2013,11/12/2018,true,0.779,Reality
Pulkkinen,fi,2,9.0,9/6/1999,1/29/2001,false,1.858,Comedy
Mooseksen perintö,fi,2,9.0,12/12/2001,1/16/2002,false,2.274,
Mennen tullen,fi,2,9.0,12/22/2000,1/12/2001,false,0.751,Comedy, Crime, Mystery
Peräkamaripojat,fi,2,9.0,1/3/2001,2/7/2001,false,1.049,Comedy
Supernanny Finland,fi,2,9.0,3/5/2019,1/11/2023,true,1.297,Reality
Kuppilat kuntoon, Jyrki Sukula!,fi,1,9.0,,,true,0.6,
Team Whack,fi,1,9.0,3/4/2019,5/4/2020,true,1.4,Documentary
Mister8,fi,1,9.0,1/31/2021,1/31/2021,true,2.043,Comedy, Drama
Seven Brothers,fi,1,9.0,11/12/1989,12/21/1989,false,1.4,Drama
66th North Precinct,fi,1,9.0,3/7/2023,3/7/2023,true,3.51,Crime
Irtiottoja,fi,1,9.0,9/29/2003,12/15/2003,false,1.706,Drama
Isänmaan toivot,fi,4,8.8,9/14/1998,5/27/2002,false,2.02,Drama, Comedy
Invisible Heroes,fi,4,8.75,4/21/2019,4/21/2019,false,3.972,Drama, War & Politics
Ihmebantu,fi,7,8.6,6/6/2009,7/18/2009,false,3.118,Comedy
Mobile 101: The Nokia Story,fi,5,8.6,4/13/2022,5/12/2022,true,4.396,Drama
Studio Julmahuvi,fi,11,8.5,10/30/1998,12/18/1998,false,2.705,Comedy
The Voice of Finland,fi,2,8.5,,4/28/2023,true,4.089,
Untold Arctic Wars,fi,2,8.5,2/14/2022,2/14/2022,false,1.28,Documentary
Vain muutaman huijarin tähden,fi,3,8.3,2/25/1998,4/1/1998,false,1.798,Comedy
Kill Arman,fi,3,8.3,3/23/2009,11/22/2010,false,1.242,Documentary
Madventures,fi,12,8.25,10/13/2002,6/8/2022,false,4.947,Documentary
Kimmo,fi,6,8.2,9/6/2012,1/5/2017,false,11.302,Drama, Comedy
Munkkivuori,fi,6,8.2,10/16/2022,10/16/2022,true,1.399,Drama, Mystery
M/S Romantic,fi,8,8.1,2/24/2019,2/24/2019,false,1.904,Drama, Comedy
Kummeli,fi,11,8.091,6/7/1991,1/4/2004,false,5.15,Comedy
Docventures,fi,7,8.0,8/28/2013,9/29/2020,false,3.895,Documentary
Pirunpelto,fi,3,8.0,1/7/2009,3/6/2013,false,2.213,
First Five,fi,3,8.0,6/9/2023,6/9/2023,true,1.604,Documentary
Autovaras,fi,3,8.0,2/27/1991,3/13/1991,false,0.721,Drama
Harvoin tarjolla,fi,3,8.0,1/14/2008,3/31/2008,false,2.817,Drama
Turvetta ja timantteja,fi,2,8.0,12/13/2006,1/17/2007,false,0.935,Drama, Comedy
The Man Who Died,fi,2,8.0,6/19/2022,6/19/2022,false,2.984,Comedy, Crime, Mystery, Drama
Kekkonen,fi,2,8.0,12/26/2017,1/4/2018,false,1.244,Documentary
Jurismia!,fi,2,8.0,1/8/2002,3/19/2002,false,4.42,Comedy
Seitsemän,fi,1,8.0,1/8/2001,3/26/2001,false,2.384,Drama
Ihmisten puolue,fi,1,8.0,8/30/2008,5/29/2010,false,3.688,Comedy
Hotellit kuntoon, Jyrki Sukula!,fi,1,8.0,9/16/2014,11/26/2014,false,0.649,Reality
The Hired Hand,fi,1,8.0,4/23/2023,4/23/2023,true,2.348,Drama, Comedy
Latela,fi,1,8.0,3/25/2013,11/23/2022,true,1.675,Comedy, Reality
The Laws of Man,fi,1,8.0,12/17/2020,1/22/2023,true,1.743,Drama
Rosvopankki,fi,1,8.0,2/26/2023,3/19/2023,true,1.506,Crime, Drama
Kyllä isä osaa,fi,1,8.0,3/2/1994,6/2/1995,false,1.466,Comedy
Korpelan kujanjuoksu,fi,1,8.0,9/4/2016,9/30/2018,false,0.622,Comedy, Drama, Crime
Jopet-show,fi,1,8.0,1/26/2005,12/19/2011,false,4.0,Comedy
