Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Team Dronix,fr,3,10.0,10/19/2019,4/11/2020,true,2.58,Animation, Action & Adventure, Comedy
C Jamy,fr,3,10.0,2/22/2021,6/24/2022,false,21.113,Documentary, Family, Kids
Une espèce à part,fr,3,10.0,3/21/2019,3/21/2019,true,1.029,Documentary
Arsène Lupin Joue et Perd "813",fr,2,10.0,12/12/1980,12/27/1980,false,2.167,Drama, Mystery, Crime, Action & Adventure
Pixhunters,fr,2,10.0,9/23/2020,9/23/2020,true,0.6,Comedy, Sci-Fi & Fantasy
Passe-Partout,fr,2,10.0,2/25/2019,3/23/2022,true,78.896,Kids
Escale à Nanarland,fr,2,10.0,10/29/2010,12/21/2013,false,0.6,
About Last Night...,fr,2,10.0,9/15/2020,10/2/2023,true,22.838,Comedy
Message à caractère informatif,fr,2,10.0,9/4/1998,6/8/2018,true,1.668,Comedy
Le Gorille,fr,2,10.0,4/29/1990,6/23/1991,false,1.4,Crime, Action & Adventure, Comedy
Dogmatix and the Indomitables,fr,2,10.0,8/28/2021,12/29/2021,true,17.57,Animation, Comedy, Kids, Drama
La Maison des Maternelles,fr,2,10.0,,5/29/2023,true,0.6,Talk
Les Dossiers de l'Agence O,fr,2,10.0,3/11/1968,6/8/1968,false,4.123,Crime
Enquête exclusive,fr,2,10.0,9/11/2005,9/3/2023,true,8.009,Documentary
Résistances,fr,2,10.0,9/1/2022,9/1/2022,false,1.4,Documentary
What's up Bunny,fr,2,10.0,4/20/2008,12/11/2022,true,20.574,Animation, Comedy, Kids
Hitler Staline, le choc des tyrans,fr,2,10.0,6/20/2021,6/20/2021,false,1.787,Documentary, War & Politics
H6R3,fr,2,10.0,11/23/2022,12/28/2022,false,0.6,Documentary
La France de l'entre-deux guerres,fr,2,10.0,2/12/2019,2/12/2019,false,0.6,Documentary
52 minutes,fr,1,10.0,9/5/2020,9/30/2023,true,7.313,Comedy
Which Is Witch?,fr,1,10.0,10/1/2013,3/25/2014,false,5.16,Comedy
Le QG,fr,1,10.0,1/11/2020,1/12/2020,true,1.656,Talk
Je t'aime, je te trompe,fr,1,10.0,11/20/2018,11/27/2018,true,1.042,Drama
L'Âne Culotte,fr,1,10.0,11/27/1967,1/3/1968,false,5.274,Comedy
Asie Insolite Compile,fr,1,10.0,9/11/2017,9/27/2019,true,5.368,Documentary
Samedi soir en direct,fr,1,10.0,9/13/2003,1/3/2004,false,0.621,Comedy, Talk
Asie Insolite,fr,1,10.0,10/1/2013,6/30/2020,true,6.149,Documentary
Escort Boys,fr,1,10.0,9/7/2014,11/13/2016,true,4.54,Comedy
Kingdom of the Oceans,fr,1,10.0,9/11/2011,10/2/2011,false,1.4,Documentary
Docteur Claire Bellac,fr,1,10.0,10/8/2001,6/23/2003,false,1.491,Drama, Family
Le Long du 15e méridien Est,fr,1,10.0,10/15/2018,10/19/2018,false,0.6,Documentary
La fraternité,fr,1,10.0,2/8/2023,2/15/2023,true,0.774,Documentary, Crime
The Rise and Fall of the Maya,fr,1,10.0,1/4/2023,1/25/2023,false,2.388,Documentary
طوق النار,fr,1,10.0,7/7/2022,7/14/2022,true,0.6,War & Politics
Fargas,fr,1,10.0,9/18/2003,4/29/2004,false,1.019,Crime
Windeck,fr,1,10.0,1/1/2012,1/8/2012,true,5.316,
Un ours pas comme les autres,fr,1,10.0,3/10/1978,4/14/1978,false,0.692,Comedy
Concrete Feeling,fr,1,10.0,4/8/2019,4/8/2019,false,1.862,Documentary
Les 30 dernières minutes,fr,1,10.0,1/24/1998,1/24/1998,true,0.895,
Matière grise,fr,1,10.0,12/4/2019,12/18/2019,false,0.84,Documentary
Chine, l'empire du temps,fr,1,10.0,9/24/2017,10/1/2017,false,0.6,Documentary
Drugs and Brain,fr,1,10.0,10/11/2005,10/15/2005,true,0.824,Documentary
Brigade spéciale,fr,1,10.0,6/24/1999,1/24/2002,false,1.96,
Patrice Alègre : le prédateur invisible,fr,1,10.0,2/18/2021,3/4/2021,false,0.657,Documentary, Crime
Berlin 1933 - Le journal dʼune capitale,fr,1,10.0,1/24/2023,1/24/2023,false,0.946,Documentary, War & Politics
Turbo,fr,1,10.0,3/7/1987,10/1/2023,true,12.533,News, Talk
رجال الفرقان,fr,1,10.0,8/10/2014,8/10/2014,true,0.6,War & Politics
The secret files of Inspector Lavardin,fr,1,10.0,9/15/1988,2/1/1990,false,2.18,Crime, Mystery
Vidocq,fr,1,10.0,1/7/1967,4/1/1967,false,1.358,Crime, Mystery
Rocky Kwaterner,fr,1,10.0,1/1/2019,1/1/2019,true,1.631,Animation, Comedy
