Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
The Running Mate,ga,1,10.0,9/26/2007,10/17/2007,false,1.838,Drama, Comedy, War & Politics
Nuacht RTÉ,ga,1,10.0,,,false,0.6,News
Corp + Anam,ga,1,8.0,2/16/2011,11/27/2014,true,1.4,
Dominion Creek,ga,4,4.5,9/8/2015,2/22/2017,true,2.541,Drama, Western, Action & Adventure
An Bronntanas,ga,1,3.5,10/23/2014,11/20/2014,false,1.708,
Samhlú - Croí Cruthaitheach,ga,0,0.0,9/2/2021,9/2/2021,true,0.6,
Turas Teanga,ga,0,0.0,1/31/2004,4/10/2004,false,0.6,
No Béarla,ga,0,0.0,1/7/2007,1/28/2007,false,0.61,Documentary, Reality
Filíocht Anois,ga,0,0.0,1/27/2014,3/31/2014,true,0.6,Animation
Téacs Taistil,ga,0,0.0,4/13/2023,5/25/2023,true,0.6,
Cumasc: Seisiúin sa Black Gate,ga,0,0.0,2/11/2022,2/11/2022,true,1.136,
Grá ar an Trá,ga,0,0.0,9/24/2023,10/8/2023,true,2.621,Reality
Gradam Ceoil TG4,ga,0,0.0,,2/23/2020,true,1.631,
Headland of the Secrets,ga,0,0.0,,,true,0.6,Drama
Peataí!,ga,0,0.0,1/4/2021,1/4/2021,true,0.6,Documentary
Scúp,ga,0,0.0,2/27/2013,5/6/2014,false,1.4,
Edge,ga,0,0.0,,4/10/2023,true,0.6,
Hinterland,ga,0,0.0,8/14/2022,9/18/2022,true,0.6,Documentary, Family
Dublin Wives,ga,0,0.0,5/28/2012,1/9/2013,false,0.648,Reality
Heartlands,ga,0,0.0,8/11/2021,9/1/2021,true,0.6,
Nelly & Nora,ga,0,0.0,2/2/2015,7/21/2015,true,20.216,Animation, Kids
Aifric,ga,0,0.0,11/2/2006,1/25/2007,false,0.878,Family, Drama
Pins and Nettie,ga,0,0.0,,,true,0.6,Kids, Family
Nuacht TG4,ga,0,0.0,,,true,0.6,News
Taisce Shean Uladh - Treasures of Ancient Ulster,ga,0,0.0,3/13/2014,4/3/2014,true,0.6,Documentary
