Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Vitthal Teedi,gu,1,8.0,5/7/2021,5/7/2021,true,1.573,Drama
Tuition,gu,1,8.0,8/13/2021,8/20/2021,true,0.6,Drama
Muthiya,gu,0,0.0,2/5/2020,1/5/2021,true,9.147,
Clean Bold,gu,0,0.0,8/15/2022,8/15/2022,true,0.6,
Happily Never After,gu,0,0.0,,10/31/2021,true,1.366,
110,gu,0,0.0,,10/21/2021,true,0.6,
Prem Geet,gu,0,0.0,,,true,0.6,Drama
Bhamara,gu,0,0.0,11/19/2022,11/19/2022,true,1.233,Drama
Vaat Vaat Ma,gu,0,0.0,4/30/2021,7/21/2022,true,0.87,Drama, Comedy
Yamraj Calling,gu,0,0.0,11/18/2021,11/14/2022,true,1.998,Drama, Family
Reena's Beauty Studio,gu,0,0.0,,4/8/2022,true,0.6,
Chaskela,gu,0,0.0,6/10/2021,11/14/2021,true,1.4,Comedy
Ghaat,gu,0,0.0,3/19/2022,3/19/2022,true,1.96,
Room No.420,gu,0,0.0,12/1/2022,12/1/2022,true,0.652,Drama
Aazaad,gu,0,0.0,9/9/2022,9/9/2022,true,1.413,Mystery
Moh Maya Machine,gu,0,0.0,1/28/2022,1/28/2022,true,0.6,
Poori Paani,gu,0,0.0,9/23/2021,9/23/2021,false,0.6,
Kachori,gu,0,0.0,,,false,0.6,Drama
Hu Raju Ne Rukhsana,gu,0,0.0,2/11/2022,2/11/2022,true,0.6,
Goti Soda,gu,0,0.0,1/27/2022,2/9/2023,true,0.6,Comedy, Drama, Family
