Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
רוני ותום,he,2,10.0,2/12/2023,2/12/2023,true,0.6,
Unchained,he,2,10.0,10/30/2019,1/22/2020,false,3.286,Drama
Commandments,he,2,10.0,10/17/2017,1/20/2018,false,0.69,Drama
ג,he,2,10.0,10/28/2012,9/2/2020,true,0.6,
Your Family or Mine,he,2,10.0,8/4/2011,9/25/2020,true,7.403,Comedy, Family
טרנינג,he,1,10.0,4/29/2018,5/29/2018,true,0.6,Kids
מחוברים,he,1,10.0,8/29/2010,2/27/2023,true,0.639,
מי פה הבוס?,he,1,10.0,8/1/2021,9/1/2021,true,0.6,Comedy, Kids
Shorts (Ktzarim),he,1,10.0,12/1/2004,10/16/2009,false,2.622,Comedy
החולמים,he,1,10.0,1/23/2011,6/22/2012,false,1.21,Drama, Action & Adventure, Sci-Fi & Fantasy
התחנה,he,1,10.0,3/13/2019,7/22/2020,true,1.747,Drama, Kids
חתונה ממבט ראשון,he,1,10.0,10/30/2017,5/30/2020,true,2.347,Talk, Reality
חברות,he,1,10.0,4/24/2013,9/16/2018,true,2.284,Comedy
נויורק,he,1,10.0,5/20/2012,1/1/2014,true,2.091,
Tironoot,he,1,10.0,4/24/1998,2/4/2001,false,0.6,
Where Do You Live?,he,1,10.0,3/13/2015,2/18/2018,true,1.4,
Douze Points,he,1,10.0,5/22/2019,6/5/2019,true,0.6,
M.K. 22,he,1,10.0,3/21/2004,6/13/2004,false,0.663,Animation, Comedy
The Policeman's Daughter,he,1,10.0,10/18/2020,6/21/2022,true,1.411,Crime, Kids, Drama
Oboy,he,1,10.0,12/4/2016,12/31/2018,false,0.637,
משפחה שולטת,he,1,10.0,11/2/2014,1/1/2017,false,5.429,Comedy, Family
A Touch Away,he,1,10.0,1/23/2007,1/23/2007,false,3.328,Drama
Split,he,1,10.0,5/23/2009,5/8/2011,false,1.367,Sci-Fi & Fantasy, Action & Adventure, Drama
Spell Keepers,he,1,10.0,2/19/2017,5/27/2019,true,5.058,Action & Adventure, Sci-Fi & Fantasy, Drama
Sleeping Bears,he,1,10.0,2/12/2018,4/16/2018,true,1.157,Drama, Mystery
עם סגולה,he,1,10.0,4/9/2011,6/18/2011,true,0.6,
2025,he,1,10.0,2/10/2019,4/28/2019,false,0.975,
HaPijamot,he,1,10.0,7/1/2003,2/15/2015,false,4.453,Comedy
Shchuna,he,1,10.0,11/2/2014,6/27/2018,true,0.974,Drama
Ofira & Berkovic,he,1,10.0,11/10/2017,11/10/2017,true,1.162,
Summer Days,he,1,10.0,8/19/2012,10/24/2013,false,3.404,Drama
העיר הטובה,he,1,10.0,7/12/2022,9/6/2022,true,0.6,Drama
Pillar of Fire,he,2,9.5,11/10/1981,4/1/2023,false,1.177,Documentary, War & Politics
Matim leriga,he,2,9.5,7/19/2014,8/23/2017,false,2.754,Drama, Sci-Fi & Fantasy
PMTA,he,2,9.5,12/9/2018,7/26/2021,true,3.83,Drama
Your Honor,he,4,9.25,4/8/2017,9/22/2019,false,3.41,Crime, Drama
Inside the Mossad,he,6,9.0,6/4/2017,6/25/2017,false,1.515,Documentary
Sisters,he,3,9.0,3/10/2016,1/18/2019,false,3.918,Comedy, Drama
Stockholm,he,3,9.0,7/16/2018,6/14/2020,true,2.657,Drama
Galis,he,3,9.0,2/12/2012,7/17/2016,false,2.233,Drama, Action & Adventure
Traitor,he,2,9.0,9/15/2022,11/3/2022,true,0.84,
Checkout,he,2,9.0,2/21/2018,9/13/2023,true,7.113,Comedy
Nevsu,he,2,9.0,3/9/2017,5/7/2021,true,1.072,Comedy
פצועים בראש,he,2,9.0,6/12/2013,3/17/2016,true,0.916,
המרדף,he,1,9.0,5/18/2017,4/3/2022,true,0.689,Reality
The Conductor,he,1,9.0,10/13/2018,12/15/2018,false,2.189,Drama
דייט ראשון,he,1,9.0,9/17/2017,12/18/2017,true,0.6,
Game of Chefs,he,1,9.0,1/19/2014,10/2/2021,true,1.319,Reality
My Sister Skipped a Grade,he,1,9.0,11/26/2017,1/22/2020,true,1.741,Kids, Family
כל עוד בלבב,he,1,9.0,4/24/2022,5/1/2022,true,1.156,Drama
