Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Whichever Way the Ball Bounces,hr,2,10.0,9/15/2014,6/7/2016,true,15.896,Comedy, Drama
Slumbering Concrete,hr,1,10.0,5/30/2016,5/1/2019,true,1.4,Documentary
Duga mračna noć,hr,1,10.0,2/6/2005,2/6/2005,true,0.6,
Survivor Croatia,hr,1,10.0,5/12/2005,3/25/2022,true,6.868,Reality
Okomite Paralele,hr,1,10.0,1/23/2016,1/23/2016,true,0.6,Documentary, Mystery
Evening School,hr,1,10.0,,5/10/2005,false,0.903,Comedy
Operation Barbarossa,hr,1,10.0,6/3/1990,7/15/1990,false,1.4,Action & Adventure, Kids
The Law!,hr,1,10.0,1/5/2009,6/15/2009,false,3.108,
Big Brother,hr,1,10.0,9/18/2004,9/6/2020,true,1.573,Reality
On the Border,hr,2,9.0,9/9/2018,12/8/2020,true,16.71,Comedy
Celebrity Big Brother (Croatia),hr,1,9.0,3/7/2007,3/7/2007,false,0.622,Reality
Black-and-White World,hr,3,8.3,3/2/2015,3/26/2019,false,3.666,Comedy, Drama
Tri, dva, jedan - kuhaj!,hr,1,8.0,2/24/2014,11/4/2019,true,0.6,Reality
Hrvatski Idol,hr,1,8.0,,,false,0.6,
Guardian of the Castle,hr,1,8.0,9/18/2017,10/9/2017,false,0.6,Drama
Smoggies,hr,1,8.0,6/9/1982,11/1/1996,false,1.514,Family, Comedy
The Instructor,hr,1,8.0,9/10/2010,12/1/2010,false,0.6,Comedy
The Best Years,hr,1,8.0,9/14/2009,6/3/2011,false,14.18,Comedy, Action & Adventure, Drama, Reality, Family
The Paper,hr,8,7.6,10/16/2016,5/4/2020,true,3.081,Mystery, Drama
Success,hr,17,7.235,1/6/2019,1/6/2019,false,3.244,Drama, Crime
The Last Socialist Artefact,hr,5,7.0,12/27/2021,1/31/2022,false,2.353,Drama
Croatian Kings,hr,1,6.0,10/16/2011,10/16/2011,false,0.6,Documentary
Lucky Us,hr,2,5.5,11/9/2020,3/29/2021,true,4.969,Comedy
Godparents,hr,2,5.5,2/7/2022,12/15/2022,true,3.825,Comedy, Crime, Drama
Punks and Princesses,hr,1,5.0,4/15/2005,2/22/2010,false,1.405,Comedy
The General,hr,2,3.0,12/9/2019,1/27/2020,false,3.224,War & Politics, Drama, Action & Adventure
The Republic,hr,1,3.0,4/18/2016,5/23/2017,false,0.6,Documentary, War & Politics
Nad lipom 35,hr,1,1.0,,,false,0.87,
Zločini komunizma u Hrvatskoj,hr,0,0.0,3/17/2013,3/17/2013,false,0.6,Documentary
Pustovol,hr,0,0.0,,6/20/1996,false,0.6,
Speedy Gonzales,hr,0,0.0,4/23/1980,4/23/1980,true,0.6,
Director of the Universe,hr,0,0.0,11/24/2021,12/16/2021,true,1.238,Comedy
Osjećaji,hr,0,0.0,1/16/2022,2/20/2022,false,0.84,
Tito – the Last Witnesses of the Testament,hr,0,0.0,1/2/2012,3/26/2012,false,1.093,Documentary
Luka and Friends,hr,0,0.0,10/8/2016,1/14/2017,true,0.6,Kids
Ruža vjetrova,hr,0,0.0,8/29/2011,5/23/2013,false,5.9,Drama
Absurdistan,hr,0,0.0,,4/25/2022,false,0.6,Documentary
Lara's Choice,hr,0,0.0,9/4/2011,7/3/2013,false,11.731,Drama
Ours and Yours,hr,0,0.0,4/16/2000,7/13/2002,true,2.293,Comedy, Drama, Family
A strana,hr,0,0.0,3/25/2017,1/6/2018,true,0.848,
The Diary of the Great Perica,hr,0,0.0,3/8/2021,4/12/2021,false,0.816,Comedy, Drama
Godina Oluje,hr,0,0.0,8/4/2015,8/7/2015,true,1.345,Documentary
Balkanika,hr,0,0.0,3/22/2022,4/19/2022,true,0.6,
Ludi Bar,hr,0,0.0,1/1/2021,1/1/2021,true,0.6,
VATICAN SECRET FILES EXPOSED: THE POPE AND THE DEVIL,hr,0,0.0,,,true,0.6,Documentary, War & Politics
Lovac sakupljač,hr,0,0.0,11/27/2022,12/3/2022,true,0.6,Documentary
State of the Nation,hr,0,0.0,5/20/2022,5/20/2022,true,0.6,News
Dvornikovi,hr,0,0.0,1/1/2000,1/1/2000,true,0.6,
Dora,hr,0,0.0,2/28/1993,2/11/2023,true,1.532,
Metropolitans,hr,0,0.0,9/26/2022,10/10/2022,true,2.39,Comedy, Crime, Drama, Family
