Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Cseppben az élet,hu,1,10.0,3/23/2019,4/13/2019,true,0.717,
Kék menet,hu,1,10.0,9/10/2016,11/19/2017,true,0.6,Documentary
Közös Többszörös,hu,1,10.0,,7/9/2023,true,0.6,
Suli-Buli,hu,1,10.0,1/1/1980,2/5/1980,false,0.631,Comedy, Kids, Family, Animation
12 hónap az erdőn,hu,1,10.0,3/15/1988,3/15/1988,false,0.6,Documentary
Mazsola és Tádé,hu,1,10.0,1/7/1969,3/5/1973,false,0.6,Kids
Forbidden Zones,hu,1,10.0,9/26/2021,10/31/2021,true,0.6,
The History of Hungary,hu,1,10.0,4/26/2009,10/31/2010,false,4.094,Documentary
Bogaras szülők,hu,1,10.0,10/9/2018,12/11/2018,false,0.63,Comedy
TIMEOUT Podcast,hu,1,10.0,6/19/2019,5/12/2020,true,0.654,Talk
Mirr Murr a kandúr,hu,1,10.0,8/11/1973,11/22/1975,false,0.956,Kids
Másfélmillió lépés Magyarországon,hu,1,10.0,5/12/1981,8/5/1981,false,1.12,Documentary
Háború a nemzet ellen,hu,1,10.0,5/4/2009,5/25/2009,false,1.206,Documentary
Bogyó és Babóca,hu,1,10.0,11/25/2010,8/28/2014,true,2.406,Animation, Family
Éjjel-Nappal Budapest,hu,1,10.0,6/1/2016,6/1/2016,true,0.626,
Mint oldott kéve 1983,hu,1,10.0,,,true,0.6,
Indonézia 4 arca,hu,1,10.0,12/11/2018,1/16/2019,false,0.6,Documentary
Mire megvénülünk,hu,1,10.0,5/11/1979,6/15/1979,false,0.6,
LSB, the Series,hu,1,10.0,7/5/2013,7/5/2013,true,1.374,Comedy
Száz vasutat, ezeret...,hu,1,10.0,10/1/1996,11/5/1996,false,0.623,Documentary
Comedy Club,hu,2,9.5,3/25/2016,5/13/2022,true,1.4,Comedy
In Treatment,hu,6,9.25,10/22/2012,12/29/2017,false,10.733,Drama
JÓLVANEZÍGY,hu,2,9.0,11/2/2022,5/17/2023,true,3.142,Talk, News, War & Politics, Documentary
A 78-as körzet,hu,2,9.0,6/1/1982,7/5/1982,false,0.6,
Vastyúk is talál szeget,hu,2,9.0,11/23/1991,12/30/1996,true,0.6,
Totalcar,hu,1,9.0,10/9/2011,6/19/2021,true,38.052,
X-Faktor,hu,1,9.0,,,true,0.6,
Showder Klub,hu,1,9.0,4/7/2008,6/11/2023,true,10.922,Comedy
One Summer Adventure,hu,4,8.9,4/26/2015,6/15/2019,true,1.601,Comedy, Drama
Toldi,hu,4,8.8,9/19/2021,10/24/2021,true,0.679,Animation, Action & Adventure, Family
Fapad,hu,2,8.8,10/5/2014,6/3/2015,false,4.398,Comedy
Bátrak földje,hu,3,8.7,1/1/2020,4/21/2020,false,6.859,Drama
Our Little Village,hu,16,8.5,2/2/2017,9/30/2023,true,34.368,Family, Comedy
Cuki, a kiskukac kalandjai,hu,2,8.5,7/12/2011,7/15/2011,true,0.6,
Szomszédok,hu,9,8.444,5/7/1987,12/30/1999,false,37.895,Family, Drama, Comedy
The King,hu,5,8.4,11/16/2022,1/18/2023,false,1.181,Drama, Documentary, Crime
200 First Dates,hu,5,8.4,10/1/2018,12/18/2019,true,31.947,Comedy
Golden Life,hu,26,8.154,11/8/2015,12/2/2018,false,5.788,Crime, Drama
The Mézga Family,hu,6,8.0,1/11/1970,9/7/1980,false,2.618,Sci-Fi & Fantasy, Animation, Comedy
Ázsia Expressz,hu,2,8.0,11/7/2017,11/11/2022,true,11.287,Reality
Pepe,hu,2,8.0,4/10/2022,6/4/2023,true,2.619,Comedy
Linda,hu,2,8.0,11/2/1984,3/24/1990,true,1.946,
Cápák között,hu,2,8.0,2/18/2019,10/1/2023,true,6.065,Reality, Talk, Drama
Cadillac Drive,hu,1,8.0,3/6/2006,3/6/2006,true,1.372,
Sándor Mátyás,hu,1,8.0,1/3/1979,2/7/1979,false,1.265,Drama
Klipperek,hu,1,8.0,6/11/2006,6/11/2006,false,0.6,
Leó és Fred,hu,1,8.0,11/1/1986,11/8/1986,false,0.6,Kids, Animation
Kerekek és lépések,hu,1,8.0,11/5/1993,5/6/1994,false,1.278,Documentary
Krisztofóró,hu,1,8.0,,,true,1.96,Comedy
Zsákbamacska,hu,1,8.0,3/13/2023,4/21/2023,true,1.4,
