Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
The Reaping,it,9,10.0,2/4/2018,2/4/2018,true,1.54,Drama, Crime, Mystery
Freaks!,it,3,10.0,4/8/2011,2/10/2013,false,5.884,Sci-Fi & Fantasy, Comedy, Drama
Micromostri con Barbascura X,it,2,10.0,4/3/2021,4/17/2021,true,0.741,Documentary
Intelligence – Servizi & segreti,it,2,10.0,9/21/2009,10/26/2009,false,1.4,
Maria Corleone,it,2,10.0,9/13/2023,9/27/2023,true,25.974,Drama, Crime
Mistero,it,2,10.0,,12/14/2015,false,0.927,Documentary
Cattivik,it,2,10.0,12/1/2008,4/19/2009,false,13.109,Animation, Comedy
Måneskin On The Road - The Series,it,1,10.0,8/10/2022,5/23/2023,true,1.4,Documentary, Reality
Belve,it,1,10.0,3/14/2018,3/21/2023,true,5.309,Talk
Uno bianca,it,1,10.0,2/5/2001,2/6/2001,false,2.087,Drama
Mai dire gol - France 98,it,1,10.0,6/7/1998,7/12/1998,false,0.889,Talk
Le serie di RaiCultura.it,it,1,10.0,,,true,0.623,Documentary
Non smettere di sognare,it,1,10.0,3/16/2011,5/4/2011,false,2.426,Drama
Le ali della vita,it,1,10.0,,,false,0.6,
Grand Hotel,it,1,10.0,9/1/2015,10/6/2015,false,2.34,Crime, Drama, Mystery
Codice rosso,it,1,10.0,,,false,0.6,Drama
Compagni di scuola,it,1,10.0,9/25/2001,12/18/2001,false,0.742,
Caduta Libera,it,1,10.0,5/4/2015,9/9/2018,true,1.4,Talk
Vade Retro,it,1,10.0,1/28/2012,3/26/2014,false,0.6,
Mixer,it,1,10.0,4/21/1980,2/14/1995,false,0.6,Talk
Travel Companions,it,1,10.0,5/3/2010,6/21/2010,true,0.6,
Un posto al sole,it,1,10.0,10/21/1996,7/13/2020,true,6.98,Soap
Dov'è Anna?,it,1,10.0,1/13/1976,2/24/1976,false,1.629,Drama
Mai Dire mundial,it,1,10.0,5/9/1990,6/6/1990,false,0.84,Comedy
Indagine sulla parapsicologia,it,1,10.0,4/1/1978,4/29/1978,false,0.6,Documentary
The Philosophical Cafe,it,1,10.0,1/1/2009,1/1/2009,true,0.6,Documentary
Storie Vere,it,1,10.0,11/15/2011,5/10/2013,false,0.6,Talk
Mai dire banzai,it,1,10.0,7/1/1989,8/4/1991,false,1.37,
Naked Attraction Italia - I Casting,it,1,10.0,3/1/2021,3/1/2021,true,1.422,
Puffins – The Series,it,1,10.0,11/27/2020,11/27/2020,true,3.244,Animation, Family, Kids, Comedy
quasi quasi cambio i miei,it,1,10.0,2/7/2021,2/7/2021,true,0.6,
Dirty Hands,it,1,10.0,11/14/1978,11/19/1978,false,1.242,Drama
The Charterhouse of Parma,it,1,10.0,9/12/1982,10/17/1982,false,5.193,
Roberto Benigni - Tutto Dante,it,1,10.0,3/27/2008,6/10/2008,false,0.976,
Radio2 Speciale Sanremo con Valerio Lundini,it,1,10.0,2/6/2023,2/12/2023,false,0.6,Comedy
Odio il mio migliore amico,it,1,10.0,1/29/2020,11/4/2020,true,0.6,Comedy
Cascina Vianello,it,1,10.0,9/17/1996,10/15/1996,false,0.6,Comedy
INTRALCI,it,1,10.0,12/28/2014,12/30/2014,true,1.495,
Tiki Taka - Il calcio è il nostro gioco,it,1,10.0,9/16/2013,5/19/2014,true,0.6,Talk
Tartarino sulle Alpi,it,1,10.0,9/6/1968,9/6/1968,false,3.141,Comedy, Action & Adventure
RAILWAY RELAY,it,1,10.0,,1/13/2015,true,0.6,Music
Piacere di mangiarti,it,1,10.0,2/13/2022,4/17/2022,true,0.6,Documentary
2016 - L'anno della trap,it,1,10.0,9/16/2022,9/30/2022,false,0.84,Documentary
Italia Uno on stage,it,1,10.0,9/7/2022,9/29/2022,true,0.672,
Il pianeta dei dinosauri,it,1,10.0,9/12/1993,10/3/1993,false,0.956,Documentary
La macchina meravigliosa,it,1,10.0,10/25/1990,12/13/1990,false,0.6,Documentary
Superquark musica,it,1,10.0,7/4/2018,8/1/2018,false,0.6,
Cinderella,it,1,10.0,10/30/2011,10/31/2011,false,6.779,Drama, Soap
Mai dire pupa,it,1,10.0,4/26/2010,6/7/2010,false,0.6,Comedy
Mai dire reality,it,1,10.0,10/3/2006,11/21/2006,false,0.874,Comedy
