Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Busty Princess Hypnosis,ja,6,10.0,4/3/2020,5/29/2020,false,0.0,Crime
Tensou Sentai Goseiger,ja,5,10.0,2/14/2010,2/6/2011,false,18.845,Action & Adventure, Sci-Fi & Fantasy, Kids
港時間,ja,4,10.0,,1/28/2022,true,0.6,
Go! Greenman,ja,4,10.0,11/12/1973,11/12/1973,false,0.6,
Oide yo! Mizuryuu Kei Land,ja,4,10.0,8/25/2017,9/29/2017,false,0.0,Animation
Hime-sama Love Life!,ja,4,10.0,5/31/2019,6/26/2020,false,0.0,Animation
Aoi: Tokugawa Three Generations,ja,4,10.0,1/9/2000,12/10/2000,false,4.006,Drama, War & Politics
バカリズムの大人のたしなみズム,ja,4,10.0,4/7/2018,4/7/2018,true,1.071,
Patlabor: The New Files,ja,3,10.0,11/22/1990,4/23/1992,false,6.405,Animation
Neo Ultra Q,ja,3,10.0,1/12/2013,3/30/2013,false,2.612,Mystery, Sci-Fi & Fantasy
Pathways of Japan,ja,3,10.0,,2/8/2022,true,0.6,
Shingo Mama Drama Special: OH-HA Saves the World Vol. 1,ja,3,10.0,1/8/2001,1/8/2001,false,0.703,Comedy, Family, Kids
一志相伝～受け継がれる職人の心～,ja,3,10.0,4/12/2010,4/12/2010,true,0.718,
Kyoto Romance: An Eternal Story,ja,3,10.0,4/8/2018,4/8/2018,true,0.6,
Boku to Joi no Shinsatsu Nisshi The Animation,ja,3,10.0,12/20/2019,12/27/2019,false,0.0,Animation
Weekend Gokuraku Travellers,ja,3,10.0,1/13/2021,1/13/2021,true,3.196,
Live On Cardliver Kakeru,ja,3,10.0,10/5/2008,9/27/2009,false,0.998,Animation
New Atashinchi,ja,3,10.0,10/6/2015,10/6/2015,false,1.383,Animation
Zyuden Sentai Kyoryuger,ja,3,10.0,2/17/2013,2/9/2014,false,9.135,Sci-Fi & Fantasy, Action & Adventure, Comedy
ＮＨＫスペシャル　激流中国,ja,3,10.0,4/1/2007,7/20/2008,false,1.944,Documentary
Watashi ga Toriko ni Natte Yaru,ja,3,10.0,9/18/2015,11/13/2015,false,0.0,Animation
Taiyo Sentai Sun Vulcan,ja,3,10.0,2/7/1981,1/30/1982,false,8.304,Sci-Fi & Fantasy, Action & Adventure
PriPara,ja,3,10.0,7/5/2014,3/27/2018,false,8.479,Animation, Comedy
Quiz,ja,3,10.0,4/14/2000,6/23/2000,false,1.032,Crime, Mystery, Action & Adventure
Denshi Sentai Denjiman,ja,3,10.0,2/2/1980,1/31/1981,false,6.58,Sci-Fi & Fantasy, Action & Adventure
Teenage Mutant Ninja Turtles: SuperMan Legend,ja,3,10.0,5/21/1996,5/21/1996,false,5.001,Sci-Fi & Fantasy, Action & Adventure, Comedy
Ichigo Chocola Flavor,ja,3,10.0,7/14/2017,8/25/2017,false,0.0,Animation
Battle Fever J,ja,3,10.0,2/3/1979,1/26/1980,false,66.007,Action & Adventure, Sci-Fi & Fantasy
Shadow Skill,ja,2,10.0,7/2/1998,12/24/1998,false,4.062,Animation, Action & Adventure, Sci-Fi & Fantasy
Yama Hime no Mi,ja,2,10.0,10/26/2007,10/15/2010,false,0.0,Animation
Electroid Zaborger 7,ja,2,10.0,4/6/1974,6/29/1975,false,3.447,
Zone Fighter,ja,2,10.0,4/2/1973,9/24/1973,false,1.749,
風景の足跡,ja,2,10.0,4/4/2017,4/4/2017,true,0.6,
Secret Journey,ja,2,10.0,1/29/2016,4/1/2016,false,0.0,Animation
美しい日本に出会う旅,ja,2,10.0,10/3/2012,10/13/2021,true,1.113,
Craving Fish! Exploring 3,000 harbors for local catch.,ja,2,10.0,10/14/2020,10/14/2020,true,0.6,Documentary
Uchuu Sentai Kyuranger: High School Wars,ja,2,10.0,9/9/2017,1/1/2018,false,1.982,Action & Adventure, Comedy, Sci-Fi & Fantasy
Mom's Friend Caught Me Stroking Myself. The Animation,ja,2,10.0,10/30/2020,10/30/2020,false,0.0,Animation
バナナマン日村が歩く!ウォーキングのひむ太郎,ja,2,10.0,10/5/2021,10/11/2022,true,0.6,
Kagirohi: Shaku Kei - Another,ja,2,10.0,10/27/2017,2/23/2018,false,0.0,Animation
The Legend of Snow White,ja,2,10.0,4/6/1994,4/5/1995,false,8.667,Animation, Family, Kids
Jetter Mars,ja,2,10.0,2/3/1977,8/4/1977,false,2.979,Sci-Fi & Fantasy, Animation
ハゲタカ,ja,2,10.0,2/17/2007,3/24/2007,false,3.484,Drama
Saint Slut Academy,ja,2,10.0,2/22/2013,3/27/2015,false,0.0,Animation
Spec saga "The Romance of Satori",ja,2,10.0,9/28/2018,11/2/2018,false,2.785,Drama, Comedy, Mystery
Daitetsujin 17,ja,2,10.0,3/18/1977,11/11/1977,false,8.995,Action & Adventure, Drama, Sci-Fi & Fantasy
Mon Colle Knights,ja,2,10.0,7/21/2001,2/13/2006,false,12.312,Animation, Kids, Sci-Fi & Fantasy
Legends Revived Dragon King Legend,ja,2,10.0,4/4/2004,3/27/2005,false,3.759,Animation
STARLESS 21st Century nymphomaniacs.,ja,2,10.0,7/20/2012,4/19/2013,false,0.0,Animation, Drama, Mystery
Iroha ni Chidori,ja,2,10.0,1/10/2014,1/10/2014,true,0.6,
