Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Brothers,kk,1,10.0,7/13/2009,8/17/2009,false,0.6,
Kara Shanyrak,kk,0,0.0,8/1/2014,6/24/2016,true,1.96,Drama
Loving Heart,kk,0,0.0,8/1/2012,1/16/2013,true,3.562,Drama
Astana - My Love,kk,0,0.0,7/6/2010,9/21/2010,true,1.343,Drama
Return,kk,0,0.0,8/1/2018,12/12/2018,true,1.646,Drama
Bauyrzhan Momyshuly,kk,0,0.0,8/1/2013,8/22/2013,true,0.6,Drama
Debt,kk,0,0.0,11/7/2012,1/9/2013,true,0.844,
Girlfriends,kk,0,0.0,8/1/2012,8/14/2013,true,0.6,Drama
Live Broadcast,kk,0,0.0,9/1/2012,2/23/2013,true,0.6,Drama
Price of Freedom,kk,0,0.0,8/1/2012,9/19/2012,true,0.6,Drama
Bachelor,kk,0,0.0,8/1/2014,10/3/2014,true,0.6,Drama
Brothers,kk,0,0.0,8/1/2009,9/5/2009,true,0.6,Drama
Special Purpose Department,kk,0,0.0,8/1/2013,1/9/2014,true,0.6,Drama
My Darling,kk,0,0.0,8/1/2010,5/29/2011,true,1.96,
Against All Odds,kk,0,0.0,8/1/2013,12/12/2013,true,1.176,Drama
Bolashak,kk,0,0.0,8/1/2011,3/26/2012,true,1.4,Drama
Father,kk,0,0.0,8/2/2015,10/18/2015,true,0.798,Drama
Cinderella Zaure,kk,0,0.0,8/1/2016,11/14/2016,true,0.627,Drama
Tractor Driver's Love,kk,0,0.0,8/1/2013,11/14/2013,true,0.6,Drama
Love is Always in My Heart,kk,0,0.0,1/1/2014,6/11/2014,true,1.094,Drama
Qazaqstan дауысы,kk,0,0.0,10/27/2013,10/27/2013,true,0.6,
The Night Witches,kk,0,0.0,6/24/2021,9/9/2021,false,1.112,Drama
Kelinzhan,kk,0,0.0,1/14/2019,10/1/2023,true,0.6,Comedy
Swallow's Nest,kk,0,0.0,10/29/2018,11/19/2019,false,0.6,Drama
Other People's Children,kk,0,0.0,9/19/2016,12/5/2016,false,0.6,Drama
Qazaqstan дауысы,kk,0,0.0,10/27/2013,10/27/2013,true,1.234,
Kto vozmyot million?,kk,0,0.0,5/17/2001,5/17/2001,false,0.6,
Secret of the Palace,kk,0,0.0,2/7/2022,2/7/2022,true,0.6,
Kazakh Khanate: The Golden Throne,kk,0,0.0,3/21/2019,3/21/2019,true,0.6,
Vuzery,kk,0,0.0,2/1/2013,3/28/2015,true,0.6,Comedy
Qazaqstan дауысы,kk,0,0.0,10/27/2013,10/27/2013,true,0.6,
