Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Bring The Soul: Docu-Series,ko,7,10.0,8/27/2019,10/1/2019,false,2.556,Documentary
Stray Kids,ko,4,10.0,10/17/2017,12/19/2017,false,5.138,Documentary
Break the Silence: Docu-Series,ko,4,10.0,5/12/2020,5/28/2020,false,2.348,Documentary
Jun and Jun,ko,4,10.0,7/20/2023,9/7/2023,false,12.425,Drama
Power Rangers Dino Force Brave,ko,3,10.0,4/1/2017,6/17/2017,false,11.023,Action & Adventure, Drama, Sci-Fi & Fantasy, Family, Comedy
Channel Soshi,ko,3,10.0,7/21/2015,9/8/2015,false,2.212,Reality
We’ll Show You, EXO!,ko,3,10.0,12/27/2018,12/27/2018,false,1.065,
Bon Appetit,ko,2,10.0,9/27/2023,9/27/2023,false,9.049,Drama
It's Okay to Be Sensitive,ko,2,10.0,7/12/2018,12/14/2020,true,3.426,Comedy, Drama
NCT LIFE,ko,2,10.0,4/16/2016,6/6/2020,true,5.78,Reality
LE SSERAFIM's DAY OFF,ko,2,10.0,7/13/2022,9/6/2023,true,3.229,Reality
A Breeze of Love,ko,2,10.0,11/10/2023,11/10/2023,false,28.576,Drama
문제적 탐정사무소,ko,2,10.0,5/27/2022,5/27/2022,true,0.6,
Jung Hae In's Travel Log,ko,2,10.0,11/26/2019,1/21/2020,false,1.584,Documentary, Reality
TIME TO TWICE,ko,2,10.0,4/3/2020,7/14/2023,true,9.685,Reality
Mr. Q,ko,2,10.0,5/20/1998,7/16/1998,false,4.285,
Ki Fighter Taerang,ko,2,10.0,8/21/2002,2/12/2003,false,2.418,Animation, Action & Adventure, Sci-Fi & Fantasy
IZ*ONE 랜선집들이,ko,1,10.0,6/25/2020,6/26/2020,false,0.6,Reality
은비까비의 옛날옛적에,ko,1,10.0,4/5/1991,6/28/1991,false,4.791,
Clean Cam,ko,1,10.0,1/8/2020,8/6/2022,true,1.891,
팔로우미:취향에 진심,ko,1,10.0,7/30/2021,9/17/2021,true,0.6,
A Long, Long Time Ago,ko,1,10.0,1/5/1990,3/30/1990,false,0.873,
비밀:리에 선넘비,ko,1,10.0,1/6/2022,1/27/2022,false,0.936,Reality
Twinkling Watermelon,ko,1,10.0,9/25/2023,10/3/2023,true,58.602,Sci-Fi & Fantasy, Drama
Sleeping Only Relationship,ko,1,10.0,10/14/2022,11/4/2022,false,3.699,Reality
예나는동물탐정,ko,1,10.0,8/24/2021,12/14/2021,false,1.533,Reality
Pajama Friends,ko,1,10.0,10/23/2018,1/15/2019,false,1.855,
Factory Girl,ko,1,10.0,10/8/2008,12/17/2008,false,4.634,Reality
IZ*ONE Eating Trip,ko,1,10.0,5/27/2020,4/23/2021,false,3.43,
Teenie Scouts BigFive,ko,1,10.0,1/1/2019,1/1/2019,false,0.6,Kids, Animation
Aerover: Return of the Space Drone,ko,1,10.0,1/18/2018,1/18/2018,false,0.6,Kids, Animation
Magic Adventures: The Crystal of Dark,ko,1,10.0,,1/1/2017,true,0.6,Kids, Animation
Stray Kids: Finding SKZ,ko,1,10.0,3/20/2019,10/27/2022,false,1.625,Reality, Comedy
China's Dragon Emperor,ko,1,10.0,1/1/2018,1/8/2018,true,0.6,Documentary, Drama
Animal Rescue,ko,1,10.0,10/14/2018,10/14/2018,false,0.6,Kids, Animation
Seoul 1945,ko,1,10.0,1/7/2006,9/10/2006,false,1.542,
삼청동 외할머니,ko,1,10.0,11/14/2018,11/14/2018,true,0.65,
Sharp,ko,1,10.0,11/29/2003,3/4/2007,true,13.249,
What’s My Color?,ko,1,10.0,4/17/2022,5/15/2022,true,1.4,Reality
Metalions,ko,1,10.0,1/1/2018,1/1/2018,false,0.6,Kids, Animation
Super 10,ko,1,10.0,11/6/2021,11/6/2021,false,0.6,Kids, Animation
LE SSERAFIM Company,ko,1,10.0,7/19/2022,1/23/2023,true,0.753,Comedy
Conversation with Hee Yeol,ko,1,10.0,9/8/2018,8/19/2021,true,1.915,Talk
IVE ON,ko,1,10.0,12/10/2021,8/24/2023,true,6.544,Reality
Oh My Girl Cast,ko,1,10.0,8/21/2015,8/21/2015,false,0.902,Reality
Stray Kids: Two Kids Room,ko,1,10.0,8/11/2018,6/20/2022,true,19.333,Reality
Thousand Years of Love,ko,1,10.0,3/22/2003,5/25/2003,false,5.24,Drama, Sci-Fi & Fantasy
다이노 파워즈,ko,1,10.0,6/2/2022,9/28/2023,true,17.668,Kids, Animation
Cheongdamdong Scandal,ko,1,10.0,7/21/2014,1/1/2015,false,3.316,Drama, Mystery
マクロス ダイナマイト7 OVA,ko,1,10.0,12/18/1997,7/25/1998,false,1.233,Animation, Sci-Fi & Fantasy
