Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
The Uninvited Guests,lv,1,10.0,1/26/2023,3/9/2023,true,2.022,Crime
Anna no Zaļkalniem,lv,1,10.0,10/27/2022,12/15/2022,true,1.4,
Big Fools,lv,2,9.5,1/1/2020,4/1/2021,true,0.911,Comedy
Virsnīši Āfrikā,lv,1,9.0,3/5/2020,3/5/2020,false,0.6,Reality
Dream About America,lv,1,9.0,10/19/2017,12/29/2017,false,0.6,Reality
Sapnis par Eiropu,lv,1,9.0,10/17/2018,12/27/2018,false,1.217,Reality
Sweetheart Monika,lv,1,9.0,11/6/1999,7/15/2015,false,3.305,Comedy
FATI,lv,1,9.0,12/29/2022,1/5/2023,false,0.719,Comedy, Crime
Emily. Queen of the Press,lv,2,8.0,9/23/2021,10/21/2021,false,1.933,Drama
Emī un Rū,lv,1,8.0,8/26/2020,11/17/2022,true,1.05,Family, Kids, Crime
Našķoties,lv,1,8.0,3/27/2020,11/12/2020,false,0.682,Reality
Mazo ģēniju akadēmija,lv,1,8.0,5/12/2020,12/3/2020,true,0.68,Kids
Agency,lv,1,7.0,11/27/2020,11/27/2020,false,0.938,Mystery, Comedy, Crime, Drama
Zītaru dzimta,lv,1,7.0,5/21/1990,5/29/1990,false,0.957,Drama
Grēcīgā Amerika,lv,1,7.0,9/2/2019,9/2/2019,false,0.6,Reality
Perfektās kāzas,lv,1,7.0,11/4/2021,11/4/2021,true,1.414,Comedy
Tunnel,lv,2,6.0,12/7/2020,4/17/2023,true,9.976,Drama, Crime
The Revengers,lv,1,6.0,9/17/2020,9/17/2020,true,0.812,Crime, Comedy
Terapeite bez grāda,lv,1,5.0,2/3/2020,4/6/2020,false,2.156,Comedy
Suns, kurš prata dziedāt,lv,1,5.0,1/1/1991,1/1/1991,false,1.49,Kids, Family
UgunsGrēks,lv,1,3.0,,,false,2.324,
Divorce Formula,lv,0,0.0,9/27/2016,12/6/2016,false,1.145,Drama
Saldais Pārītis. Ir bērni,lv,0,0.0,3/5/2018,1/8/2019,true,0.746,Comedy
Karmas Latvieši,lv,0,0.0,8/30/2022,10/11/2022,true,0.6,Documentary
Lost Without Trace,lv,0,0.0,10/29/2020,2/17/2022,true,2.108,Crime
Uzticības persona,lv,0,0.0,10/12/2021,10/12/2021,true,0.6,Crime, Comedy
Dzelzs nervi,lv,0,0.0,3/6/2023,3/29/2023,true,1.488,Drama
Blonde And More Blonder,lv,0,0.0,8/4/2017,10/6/2017,true,0.6,Comedy, Reality
Adreses,lv,0,0.0,9/3/2015,11/7/2019,false,1.52,
Tarakāni tavā galvā,lv,0,0.0,9/29/2022,11/17/2022,true,1.27,Drama
Mutiny,lv,0,0.0,4/11/2024,,true,14.857,Drama
The Masked Singer Latvia,lv,0,0.0,9/13/2020,3/31/2024,true,50.542,Reality
Baiļu ilūzija,lv,0,0.0,8/19/2021,8/19/2021,true,0.614,Reality, Mystery
The Illegal Trip,lv,0,0.0,10/28/2021,10/28/2021,true,0.955,Documentary
Archie & Nellie, or How to Improve the Quality of Your Life and Live up to 100 Years,lv,0,0.0,12/27/2021,12/27/2021,true,4.493,Comedy
Likteņa Līdumnieki,lv,0,0.0,1/1/2003,5/11/2008,false,1.489,Drama
Ričija Rū pasakas,lv,0,0.0,8/25/2022,9/7/2023,true,2.037,Animation, Kids
Avārijas brigāde,lv,0,0.0,1/10/1994,1/10/1994,false,0.6,
Ukulele,lv,0,0.0,4/15/2021,4/21/2022,true,1.259,Kids
Mazā Mula lielajā mākslas pasaulē,lv,0,0.0,9/9/2021,11/11/2021,true,0.6,Kids
Crime Solving For Beginners,lv,0,0.0,4/22/2022,5/13/2022,true,2.169,Crime
Markuss,lv,0,0.0,10/7/2019,10/10/2019,false,0.89,Crime, Drama, Mystery
Stay Negative,lv,0,0.0,1/28/2021,2/14/2021,false,0.6,Comedy
Kivičs.Tieši un atklāti,lv,0,0.0,5/3/2023,6/19/2023,true,1.627,Reality, Talk
Red Forest,lv,0,0.0,3/2/2019,5/11/2019,false,0.913,Drama, War & Politics
Pilna pastkaste,lv,0,0.0,10/4/2023,10/4/2023,false,0.958,Comedy
Pansija pilī,lv,0,0.0,1/22/2024,,true,2.39,Comedy
Saplēstā Krūze,lv,0,0.0,2/13/2016,2/13/2016,true,0.6,
TV Viedspēle Ciemos,lv,0,0.0,10/3/2014,11/21/2014,false,0.882,Reality
