Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Lal Salam,ml,1,10.0,8/18/2017,11/11/2017,true,5.216,Talk
Scoot,ml,1,10.0,2/15/2020,1/17/2021,false,1.149,Comedy
Oru Chiri Iru Chiri Bumper Chiri,ml,1,10.0,5/4/2021,5/4/2021,true,1.595,Comedy, Drama, Family, Talk
Naagini,ml,1,10.0,10/2/2021,12/17/2023,true,5.016,Drama
Sancharam,ml,2,9.5,9/2/2001,1/10/2019,true,1.52,Documentary
Thera Para,ml,2,7.5,7/21/2018,3/23/2019,false,2.305,Comedy
Kerala Crime Files: Shiju, Parayil Veedu, Neendakara,ml,1,7.0,6/23/2023,6/23/2023,false,1.112,Crime, Mystery, Drama
Plus Two Class,ml,1,7.0,12/7/2019,4/7/2020,false,0.646,Comedy
Uppum Mulakum,ml,1,7.0,12/14/2015,9/11/2017,true,2.989,Comedy, Drama, Family
M.E.N.A.K.A,ml,1,7.0,9/1/2019,6/17/2022,true,3.174,Crime, Mystery
Bharati Apartments,ml,1,6.0,8/29/2022,10/15/2022,true,0.6,Comedy
Bigg Boss,ml,4,3.0,6/24/2018,4/17/2023,true,0.6,Reality
Erivum Puliyum,ml,1,2.0,1/17/2022,3/18/2022,true,1.412,Comedy, Drama
Ullam,ml,0,0.0,,8/7/2020,true,0.6,
Samarthya Shastram,ml,0,0.0,11/16/2022,12/10/2022,false,1.4,Mystery, Comedy
Jai Mahendran,ml,0,0.0,,,true,1.96,
Kerala Crime Files,ml,0,0.0,,,true,1.973,
Marimayam,ml,0,0.0,11/5/2011,11/30/2013,true,7.904,Comedy
Masterpeace,ml,0,0.0,10/25/2023,10/25/2023,true,9.192,Comedy
Jai Mahendran,ml,0,0.0,,,true,0.6,
Priyapettavan Piyush,ml,0,0.0,6/30/2023,7/16/2023,false,1.127,Drama
Average Ambili,ml,0,0.0,7/19/2021,9/12/2021,false,0.6,
Rock Paper Scissors,ml,0,0.0,10/5/2019,3/21/2021,false,0.631,Comedy
Better Half,ml,0,0.0,8/21/2021,10/5/2021,false,0.626,Comedy
Santhwanam,ml,0,0.0,9/21/2020,9/21/2020,true,1.356,Drama, Soap
Doosra,ml,0,0.0,6/22/2020,7/11/2020,false,0.605,Comedy
Insomnia Nights,ml,0,0.0,6/10/2021,7/3/2021,false,0.6,Comedy
Kalakkachi,ml,0,0.0,12/25/2021,1/1/2022,false,0.666,Drama
DJ,ml,0,0.0,11/30/2020,12/24/2020,false,0.6,Comedy
Circus,ml,0,0.0,6/25/2022,7/12/2022,false,2.386,Comedy
Adhantari,ml,0,0.0,8/25/2021,8/25/2021,false,0.6,
Sebastiante Velliyazhcha,ml,0,0.0,5/21/2022,6/24/2022,false,1.426,Drama
Master Peace,ml,0,0.0,10/25/2023,,false,3.559,Drama, Comedy
Jai Mahendran,ml,0,0.0,,,true,0.0,
Masterpeace,ml,0,0.0,10/25/2023,,true,0.0,Comedy
Pharma,ml,0,0.0,3/1/2024,,true,0.6,Drama, Family
Thenks!,ml,0,0.0,5/21/2023,5/29/2023,false,0.6,Comedy
Jai Mahendran,ml,0,0.0,,,true,0.84,
