Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Chithi,mr,1,10.0,1/12/2021,1/26/2021,false,0.0,
Rang Maza Vegla,mr,1,10.0,10/30/2019,10/30/2019,true,0.6,
Pet Puraan,mr,1,7.0,5/6/2022,5/6/2022,true,1.4,Family, Comedy
Julun Yeti Reshimgaathi,mr,2,6.0,11/25/2013,9/26/2015,false,1.4,Drama, Family, Soap
Bigg Boss,mr,1,2.0,4/15/2018,7/21/2018,true,2.052,Reality
Gud Boy,mr,1,1.0,3/3/2021,3/3/2021,true,1.47,Comedy
Yogyogeshwar Jai Shankar,mr,0,0.0,,10/12/2022,true,0.6,
RaanBaazaar,mr,0,0.0,5/20/2022,6/10/2022,true,1.764,Drama, Mystery, War & Politics, Crime
Athang,mr,0,0.0,12/26/2022,1/30/2023,true,1.191,
B.E. Rojgaar,mr,0,0.0,5/21/2022,6/24/2022,true,1.743,Drama
Adhantari,mr,0,0.0,8/25/2021,8/25/2021,true,0.84,
Phulala Sugandh Matichaa,mr,0,0.0,11/9/2020,11/9/2020,true,0.6,
Nave Lakshya,mr,0,0.0,3/7/2021,3/7/2021,true,1.359,
Sahakutumb Sahapari,mr,0,0.0,2/24/2020,2/24/2020,true,0.6,
Sukh Mhanje Nakki Kay Asta,mr,0,0.0,8/17/2020,8/17/2020,true,0.6,
Mulgi Zali Ho,mr,0,0.0,6/8/2020,6/8/2020,true,1.143,
Swabhimaan- Shodh Astitvacha,mr,0,0.0,11/23/2020,11/23/2020,true,0.6,
Tuzech Mi Geet Gaat Aahe,mr,0,0.0,1/3/2022,1/3/2022,true,0.6,
Me Honar Superstar,mr,0,0.0,4/18/2022,4/18/2022,true,1.375,
Muramba,mr,0,0.0,11/16/2020,11/16/2020,true,0.6,
Lagnachi Bedi,mr,0,0.0,12/21/2020,12/21/2020,true,0.6,Drama, Soap
Aboli,mr,0,0.0,6/15/2020,6/15/2020,true,1.105,
Pinkicha Vijay Aso,mr,0,0.0,11/23/2020,11/23/2020,true,0.6,
Tuzya Ishqacha Naadkhula,mr,0,0.0,12/21/2020,12/21/2020,true,0.6,
Aai Kuthe Kay Karte!,mr,0,0.0,12/23/2019,12/23/2019,true,0.6,
Thipkyanchi Rangoli,mr,0,0.0,7/12/2021,7/12/2021,true,1.4,
Sahkutumb Sahaparivar,mr,0,0.0,2/24/2020,2/24/2020,true,0.6,Drama, Soap
Chinchpeti,mr,0,0.0,12/1/2020,12/15/2020,false,2.872,
Tuzhat Jeev Rangala,mr,0,0.0,10/3/2016,10/3/2016,false,0.846,Comedy, Drama, Family
Tula Pahate Re,mr,0,0.0,8/13/2018,7/20/2019,false,0.902,Drama, Mystery
Rang Maza Vegla,mr,0,0.0,7/4/2022,7/4/2022,true,0.6,
Padded Ki Pushup,mr,0,0.0,12/19/2018,1/16/2019,true,1.4,
Shantit Kranti,mr,0,0.0,8/13/2021,8/13/2021,true,1.472,Drama
Horn Ok Please,mr,0,0.0,6/15/2018,6/15/2018,true,1.4,
Bhootatlela,mr,0,0.0,6/3/2020,6/3/2020,true,0.605,Comedy
Aani Kay Hava,mr,0,0.0,7/16/2019,8/6/2021,true,1.121,Comedy
Damini,mr,0,0.0,,,false,0.6,Drama
