Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Min Imissu,mt,1,10.0,10/10/2017,1/7/2022,true,1.058,Comedy
The X Factor Malta,mt,1,5.0,10/7/2018,10/7/2018,true,0.6,
Tomorrow Rises Again,mt,0,0.0,1/1/2004,4/19/2006,true,0.6,
The Silver Cross,mt,0,0.0,4/3/2002,9/25/2002,false,1.4,
Il Misteru Tal Bombli tal Fuhhar,mt,0,0.0,3/2/2002,8/17/2002,false,0.6,
Merjen,mt,0,0.0,8/16/2022,8/16/2022,false,0.6,Drama
Alfred the Pastor,mt,0,0.0,4/4/2007,10/31/2007,false,0.6,Comedy
Dun Benit,mt,0,0.0,1/6/2010,7/28/2010,false,0.843,Comedy
Noli,mt,0,0.0,1/5/2022,3/16/2023,true,0.6,Crime, Action & Adventure, Drama
The Eight Note,mt,0,0.0,9/9/2009,12/2/2009,false,0.6,
Il Harba Ta Julian,mt,0,0.0,5/5/2002,8/18/2002,false,0.6,
Prima Facie,mt,0,0.0,1/23/2013,7/17/2013,false,0.6,Drama, Crime
The Lawyer Gawdenz,mt,0,0.0,6/4/2006,3/4/2007,false,0.664,Comedy
Shadows,mt,0,0.0,10/4/2009,2/28/2010,false,0.666,Crime, Drama
Il- Principal,mt,0,0.0,9/1/2010,11/21/2010,false,0.6,Comedy
Qeghdin Sew,mt,0,0.0,3/1/2011,11/23/2016,false,1.4,Comedy
Simpatici,mt,0,0.0,10/9/1999,3/18/2016,false,1.783,Comedy, Drama
Deceduti,mt,0,0.0,9/1/2010,2/9/2012,false,1.4,Comedy
Liquorish,mt,0,0.0,4/5/2017,7/10/2023,true,1.481,Action & Adventure
Random Devils,mt,0,0.0,3/9/2008,8/31/2008,true,0.6,Comedy
