Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
မီးခြစ်ဆံပုံပြင်,my,1,10.0,3/11/2023,4/29/2023,false,0.6,
ရှိတ် (Shake it),my,0,0.0,8/26/2023,9/9/2023,true,0.972,
လောင်,my,0,0.0,8/25/2023,8/25/2023,true,0.6,
ပျော်ရာမှာနေ,my,0,0.0,7/23/2022,9/3/2022,true,0.6,
ညဝှက်ပန်း,my,0,0.0,9/16/2022,11/4/2022,true,0.6,
လူပျောက်ကြော်ငြာ,my,0,0.0,5/26/2023,6/16/2023,true,0.6,
အမှတ်တရ‌နွေ,my,0,0.0,5/18/2023,6/22/2023,true,0.6,
မုန်တိုင်းအသင်္ချေ,my,0,0.0,10/15/2022,12/3/2022,true,0.6,
နွေဥသြ,my,0,0.0,4/3/2023,6/5/2023,true,0.6,
အမှား - MISTAKE,my,0,0.0,7/3/2023,7/31/2023,true,0.709,
ဤမြေကိုသက်သေတည်၍,my,0,0.0,9/23/2023,9/23/2023,true,1.96,
ဒီလိုရာသီဥတုမျိုး - Be My Weather,my,0,0.0,9/27/2023,9/27/2023,true,1.96,
သင်္ကြန်မာယာ,my,0,0.0,4/6/2022,5/25/2022,true,0.6,
သူတစ်ယောက်သာ,my,0,0.0,5/25/2022,7/13/2022,true,0.6,
ဗလာစာအုပ်,my,0,0.0,6/2/2022,8/4/2022,true,0.6,
အဇ္ဇျတမီးအိမ်,my,0,0.0,4/13/2023,6/15/2023,true,0.6,
ပင်လယ်ကြီးရဲ့အပြုံး,my,0,0.0,11/9/2022,3/22/2023,true,0.6,
အိမ်မက်ငိုတော,my,0,0.0,5/10/2023,5/24/2023,true,0.6,
မိန်းမတစ်ယောက်ရဲ့ဖွင့်ဟဝန်ခံချက်,my,0,0.0,5/27/2022,6/17/2022,true,0.6,
အလင်းမဲ့ည အတောက်ပဆုံးနေ့,my,0,0.0,1/28/2023,4/1/2023,true,0.6,
အဆိပ်လိုအချစ်,my,0,0.0,7/25/2023,8/29/2023,true,0.65,
အသည်းကွဲပီယဆေး,my,0,0.0,12/29/2022,3/9/2023,true,0.6,
ရန်ကုန်ညများ,my,0,0.0,3/1/2023,5/3/2023,true,0.6,
တစ်ယောက်တစ်ပေါက်တစ်မိုးအောက်,my,0,0.0,5/10/2023,5/31/2023,true,2.198,
ဝင်္ဂီတ,my,0,0.0,12/23/2022,2/24/2023,true,0.6,
တမြေ့မြေ့မိုး,my,0,0.0,1/31/2023,3/7/2023,true,0.6,
လွမ်းလို့မကျန်ရစ်စေလို,my,0,0.0,3/10/2023,7/21/2023,true,0.6,
ချစ်မိတော့လည်းဇွတ်,my,0,0.0,1/3/2023,3/7/2023,true,0.6,
ချိုခါးဆိမ့်သက် အချစ်တစ်ခွက်,my,0,0.0,9/12/2022,10/2/2023,true,7.419,
အလွမ်းသစ်ပင်,my,0,0.0,1/10/2023,2/28/2023,true,0.6,
အချစ်ဆုံးသူငယ်ချင်း သူတို့နှစ်ယောက်,my,0,0.0,11/25/2022,2/17/2023,true,0.6,
ပန်းနုရောင်အိပ်မက်များ,my,0,0.0,8/2/2023,8/16/2023,true,0.6,
အမုန်း,my,0,0.0,3/15/2023,3/22/2023,true,0.6,
ကျွန်မခင်ပွန်း၏ လျှို့ဝှက်ချက်,my,0,0.0,8/9/2023,9/27/2023,true,3.767,
အမေ့သားပူတူတူး,my,0,0.0,10/21/2023,10/28/2023,true,1.4,
တွယ်တာနှောင်ကြိုး,my,0,0.0,7/21/2023,9/8/2023,true,0.904,
တာတီး,my,0,0.0,10/16/2023,10/30/2023,true,1.4,
ဂမ္ဘီရဘသိုက်,my,0,0.0,10/13/2022,7/18/2023,true,0.6,
MY DEAR YOU,my,0,0.0,,,true,0.0,Drama
ရင်ခုန်သံအလွဲများ,my,0,0.0,12/4/2022,12/18/2022,true,0.6,
MY DEAR YOU,my,0,0.0,11/25/2023,,true,2.744,Drama
လူးလူးစိန်,my,0,0.0,7/31/2023,9/4/2023,true,0.608,
အမေ့သားပူတူတူး,my,0,0.0,10/21/2023,11/11/2023,true,10.661,
တာတီး,my,0,0.0,10/16/2023,11/6/2023,true,2.375,
ရှင်နဲ့ကျမ,my,0,0.0,1/18/2024,2/1/2024,true,0.6,
ရေသေအိုင်,my,0,0.0,1/13/2024,3/16/2024,true,1.68,
ပိုင်ရှင်ရှိသည် မကျူးကျော်ရ,my,0,0.0,1/26/2024,2/2/2024,true,0.6,
ကုထုံးမဲ့ချစ်ခြင်း,my,0,0.0,2/2/2024,2/2/2024,true,1.023,
OMG,my,0,0.0,10/7/2023,10/28/2023,true,1.4,
လူးလူးစိန်,my,0,0.0,7/31/2023,9/4/2023,true,0.6,
