Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
TV 2 Nøttene,nb,1,10.0,4/4/2004,4/12/2004,false,2.099,Comedy
TV2 hjelper deg,nb,1,9.0,,5/12/2022,false,1.856,News, Reality
Hagetid,nb,1,8.0,3/28/2017,5/9/2017,true,0.6,
Level Up Norge,nb,2,7.0,2/15/2016,2/15/2016,true,1.526,
Ja, vi elsker camping,nb,1,7.0,3/7/2017,3/15/2021,true,5.74,Reality
Fredrikssons fabrikk,nb,3,6.667,9/15/1990,10/8/1993,false,1.352,Comedy
Meglerne,nb,2,6.0,9/4/2014,6/1/2016,true,1.516,Comedy, Drama
Gift ved første blikk,nb,1,6.0,10/1/2014,5/9/2023,true,1.684,Reality
Luksusfellen,nb,1,6.0,1/30/2008,9/27/2023,true,22.389,Reality
Jenter,nb,1,6.0,2/8/2013,6/29/2013,false,3.002,Drama
VGS,nb,0,0.0,11/12/2022,10/2/2023,true,16.733,Drama
Far og sønn,nb,0,0.0,11/12/2002,8/16/2004,false,0.6,
Kortfilm For Bokorm,nb,0,0.0,1/1/2011,2/12/2011,false,0.6,
Shameless,nb,0,0.0,9/9/2020,9/9/2020,true,1.15,
Menstruation,nb,0,0.0,8/28/2020,8/28/2020,true,0.6,
Epleslang,nb,0,0.0,5/1/2018,5/1/2018,true,0.892,Comedy, Drama
Eliteserien - Highlights,nb,0,0.0,4/10/2023,6/11/2023,true,1.4,
Hjemme hos oss,nb,0,0.0,9/7/1979,11/8/1979,true,0.6,
Lương Sinh, Liệu Đôi Ta Có Thể Ngừng Đau Thương?,nb,0,0.0,9/17/2018,9/17/2018,true,0.6,
Håndballeventyret,nb,0,0.0,5/23/2016,5/23/2016,true,0.6,
Edels jul,nb,0,0.0,11/30/2015,12/14/2015,false,0.6,
Dødens tjern,nb,0,0.0,1/31/2017,1/31/2017,true,0.6,
En kveld hos Kloppen,nb,0,0.0,4/11/2014,8/28/2021,true,0.66,
A Normal Day,nb,0,0.0,9/16/2015,11/24/2015,false,1.137,Comedy
Phù Dao Hoàng Hậu,nb,0,0.0,6/18/2018,6/18/2018,true,0.6,
Ta Ở Đại Lý Tự Làm Thú Cưng,nb,0,0.0,9/25/2018,9/25/2018,true,0.6,
Niên Đại Cam Hồng,nb,0,0.0,,,true,0.877,
Tình Thiên Thu - Tam Sinh Tam Thế,nb,0,0.0,1/30/2017,1/30/2017,true,0.6,
Fingrene av fatet,nb,0,0.0,8/17/2015,9/10/2018,true,0.6,
Vidkun Quisling et liv - en rettssak,nb,0,0.0,2/28/1988,3/20/1988,true,1.474,
Det store spillet,nb,0,0.0,3/19/2012,3/19/2012,true,0.6,
Jaget,nb,0,0.0,9/7/2014,9/7/2014,true,0.6,
CÂU CHUYỆN KHỞI NGHIỆP,nb,0,0.0,10/9/2018,10/9/2018,true,0.6,
Sverige mot Norge,nb,0,0.0,11/1/2019,11/1/2019,true,0.6,
Barnehageliv,nb,0,0.0,4/13/2019,4/13/2019,true,0.6,
Song Thế Sủng Phi 2,nb,0,0.0,,,true,0.6,
Oiii-Gården,nb,0,0.0,12/1/2019,7/1/2022,true,0.6,
Minibarna Mini,nb,0,0.0,12/25/2022,7/2/2023,true,0.6,
Klart eg kan,nb,0,0.0,12/22/2011,3/22/2012,true,0.6,
Schmokk,nb,0,0.0,9/19/2011,10/24/2011,true,1.343,Comedy
Subway stockholm,nb,0,0.0,7/20/2016,7/20/2016,true,0.6,
Taxi,nb,0,0.0,10/17/1969,12/13/1969,true,0.6,Crime, Mystery
Honningfellen,nb,0,0.0,4/19/2008,5/3/2008,true,1.221,Crime
Koht og kidsa,nb,0,0.0,9/13/2016,9/13/2016,true,0.6,
Ikke tenk på meg,nb,0,0.0,3/6/2024,3/13/2024,true,1.494,
Øisteins kruseduller,nb,0,0.0,4/9/2010,7/2/2010,true,0.6,
Kontorsjef Tangen,nb,0,0.0,11/27/1966,4/28/1967,true,1.134,Comedy
Solens sønn og månens datter,nb,0,0.0,4/18/1993,5/9/1993,true,0.6,Drama
Rocky,nb,0,0.0,9/1/2008,11/24/2008,false,0.6,
Brannbamsen Bjørnis,nb,0,0.0,7/22/2023,9/30/2023,true,7.842,
