Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
The Masked Singer,nl,2,10.0,9/18/2020,4/28/2023,true,16.907,Family, Reality
WACHTEN OP DE BEL,nl,2,10.0,12/14/2020,12/18/2020,false,0.6,Comedy, Family
En Nou Wij FF,nl,2,10.0,12/7/2013,12/7/2013,false,0.6,News, Reality
Jabaloe,nl,1,10.0,2/21/2012,10/18/2013,false,0.683,Kids, Comedy
Strafrechters,nl,1,10.0,1/5/2021,1/26/2021,true,1.458,
Dit zijn wij,nl,1,10.0,11/14/2019,3/4/2020,false,4.187,Drama
Onze man bij de Taliban,nl,1,10.0,1/22/2023,2/12/2023,true,1.4,Documentary
The Scheldepeleton,nl,1,10.0,8/30/2021,10/4/2021,false,0.6,Documentary, Reality
Ewout&,nl,1,10.0,7/12/2019,8/23/2019,false,0.924,Documentary
Uncle Martin,nl,1,10.0,9/27/2022,11/15/2022,false,0.6,Documentary, Reality, Family
Hacked,nl,1,10.0,1/3/2022,2/22/2023,true,2.661,Drama
Five Days Inside,nl,1,10.0,2/27/2018,9/27/2023,true,6.918,Documentary
Brandpunt,nl,1,10.0,10/5/1959,4/13/2014,true,1.4,Documentary
Het pleintje (1986 - 1987),nl,1,10.0,1/5/1986,1/5/1986,false,0.672,Drama
Don't Worry Be Happy,nl,1,10.0,4/11/2019,3/24/2022,true,1.4,Reality
The Passion Nederland,nl,1,10.0,,5/18/2023,true,1.063,
DNA  Unknown,nl,1,10.0,11/5/2009,10/12/2021,true,14.644,
Força Koeman,nl,1,10.0,2/17/2021,3/3/2022,true,0.624,Documentary
Cryptokoorts,nl,1,10.0,10/21/2021,10/21/2021,true,0.6,Documentary
Jeux Olympiques TOKYO 2020,nl,1,10.0,7/23/2021,8/8/2021,true,1.396,
F16,nl,1,10.0,3/20/2018,4/17/2018,false,0.628,Reality, Documentary
Vermist,nl,1,10.0,3/25/2008,4/7/2016,false,8.516,Drama, Crime
Alfa Papa Tango,nl,1,10.0,2/25/1990,2/23/1992,false,1.291,Drama
GameKeepers,nl,1,10.0,9/8/2021,9/27/2023,true,24.956,Sci-Fi & Fantasy, Kids
Maigret,nl,1,10.0,10/23/1964,3/2/1969,false,2.32,Mystery, Drama, Crime
Utopia 2,nl,1,10.0,6/4/2018,1/18/2019,true,3.013,Reality
Say Yes To The Dress Benelux,nl,1,10.0,,12/27/2022,true,2.119,
Graf Zonder Naam,nl,1,10.0,11/29/2015,9/28/2016,true,0.6,
Moord of zelfmoord,nl,1,10.0,1/8/2017,2/15/2018,true,0.6,
MARSOF: Special Forces van Nederland,nl,1,10.0,10/26/2020,11/23/2020,true,0.84,
Amika,nl,1,10.0,11/10/2008,11/4/2011,false,22.786,Kids, Soap
Ninja Nanny,nl,1,10.0,1/13/2019,1/9/2022,true,4.203,Family, Drama
Het Leven.doc,nl,1,10.0,12/23/2020,12/30/2020,false,2.322,Talk
Ciske de Rat,nl,1,10.0,1/6/2001,2/10/2001,false,1.471,Drama
Hallo K3,nl,1,10.0,10/6/2010,11/20/2012,false,2.5,Comedy
De Oude Egyptenaren,nl,1,10.0,1/1/1997,1/29/1997,false,1.121,Documentary, Mystery
Murky Skies,nl,1,10.0,1/5/2023,1/19/2023,false,0.6,Documentary
Season of Sex,nl,1,10.0,12/12/2022,12/12/2022,true,7.76,Drama
#LikeMe,nl,3,9.7,1/13/2019,4/5/2023,false,8.221,Drama, Family, Comedy
Oogappels,nl,3,9.667,1/24/2019,9/27/2023,true,31.093,Drama
Prinsessia,nl,2,9.5,4/5/2014,10/6/2015,false,1.208,
De Pfaffs,nl,2,9.5,,1/1/2012,false,6.776,
Buck,nl,2,9.5,12/10/2018,1/6/2019,false,2.51,Comedy, Family, Kids
The Voice Kids,nl,2,9.5,1/27/2012,6/4/2021,true,2.59,Reality, Kids, Family
Spoorloos,nl,1,9.5,,10/4/2010,true,13.418,Family, Reality
Road abusers,nl,1,9.5,,11/1/2015,false,4.467,Action & Adventure, Reality
Zembla,nl,3,9.3,9/7/1995,6/29/2023,true,3.204,Documentary
The Masked Singer Netherlands,nl,3,9.3,9/27/2019,12/30/2022,true,4.345,
In De Gloria,nl,11,9.2,2/11/2000,4/27/2001,false,1.798,Comedy
The Island,nl,13,9.1,1/31/2004,2/26/2005,false,1.914,Comedy
