Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Olje - Historien om det norske oljeeventyret,no,2,10.0,1/4/2009,2/1/2009,false,1.4,Documentary
Harald Eia presenterer - Sånn er Norge,no,2,10.0,1/29/2020,10/26/2020,true,0.733,Comedy, Documentary
Monsen and the dogs,no,1,10.0,12/30/2012,12/2/2018,false,1.466,Documentary
SK 917 har nettopp landet,no,1,10.0,9/30/1983,10/21/1983,false,1.388,Crime, Drama
Hjem,no,1,10.0,10/28/2012,12/16/2012,true,1.545,Drama
Hjem til jul 2020,no,1,10.0,12/5/2020,12/19/2020,true,0.6,News
Jørgine – Alene med Flokken,no,1,10.0,2/22/2023,3/22/2023,true,0.6,Reality
Life on the Line,no,1,10.0,1/3/2016,2/21/2016,false,0.685,
The Oslo Killing,no,1,10.0,3/13/2019,4/17/2019,true,0.6,
De siste dødsdømte,no,1,10.0,3/7/2023,4/25/2023,true,0.84,Documentary
Tjukken & Lillemor,no,1,10.0,1/11/2015,5/14/2018,false,0.878,Documentary
The 7 Deadly Sins,no,1,10.0,11/1/2007,12/20/2007,false,1.763,Comedy, Documentary
Petter – Der ingen vil bo,no,1,10.0,8/31/2023,8/31/2023,true,1.029,Documentary
Eventyrlige Nordmenn,no,1,10.0,12/29/2008,6/1/2016,true,0.876,Documentary
LEGO Masters Norway,no,1,10.0,10/15/2021,12/20/2021,true,1.894,Documentary
Evig Heder,no,1,10.0,3/29/1995,5/7/1995,false,0.6,Documentary, War & Politics
Lothepus Camping,no,1,10.0,4/18/2022,5/17/2023,true,2.451,Reality
Naked Attraction Norge,no,1,10.0,4/22/2021,5/30/2023,true,2.863,Reality
Praktisk info med Jon Almaas,no,1,10.0,9/6/2017,5/15/2023,true,2.833,Comedy, Talk
På tykk is - med drager over Grønland,no,1,10.0,12/28/2022,12/28/2022,true,1.721,Documentary
Celebrity Task Force,no,5,9.6,3/7/2020,4/29/2023,true,21.363,Reality, Family
Junior Eurovision Song Contest,no,2,9.5,11/15/2003,12/11/2022,true,3.069,Reality
Hit for hit,no,2,9.5,1/14/2018,2/19/2018,true,1.4,Comedy
R.I.P. Henry,no,14,9.4,1/15/2023,2/26/2023,true,3.582,Drama
Ida Takes Charge,no,6,9.3,1/30/2022,1/30/2022,true,4.017,Drama, Comedy
Across Canada with Lars Monsen,no,6,9.0,1/6/2005,2/16/2005,false,1.051,Documentary
Med Monsen på villspor,no,3,9.0,3/22/2014,4/18/2022,true,2.943,Documentary, Reality
På tur med Dag Otto,no,2,9.0,2/24/2014,12/21/2018,true,1.23,Reality, Comedy
Farmen Kjendis,no,2,9.0,1/2/2017,2/19/2023,true,20.354,Reality
Ran,no,2,9.0,2/14/2005,3/4/2005,false,1.516,Drama, Crime
Typisk deg,no,1,9.0,3/5/2013,3/9/2017,true,1.194,Documentary
Nattskiftet,no,1,9.0,9/20/2012,12/6/2012,false,0.67,Comedy
Urix,no,1,9.0,,1/20/2021,true,1.4,Documentary, News, War & Politics
Boys Will Be Boys,no,1,9.0,3/4/2006,4/15/2006,false,1.512,Drama
Folkeopplysningen,no,1,9.0,8/27/2012,9/28/2022,true,3.041,Documentary
Struggle for Life,no,1,9.0,10/10/2014,4/29/2015,false,1.66,Drama
Helene sjekker ut,no,1,9.0,9/1/2021,3/27/2023,true,0.6,Documentary
It could have been worse,no,1,9.0,9/17/2018,11/4/2019,true,3.261,Comedy
Mysteriet Marianne,no,1,9.0,9/1/2020,9/15/2020,true,0.6,Documentary, Crime
Jakt: Lasse Kjus,no,1,9.0,8/30/2020,10/4/2020,true,0.6,Reality
Nårje,no,1,9.0,3/8/2012,11/7/2013,false,1.96,Comedy
Dyrepasserne,no,1,9.0,3/11/2011,5/12/2023,true,1.885,Documentary, Drama
Ikke gjør dette hjemme,no,1,9.0,1/6/2011,11/15/2017,true,2.352,Documentary
Petter uteligger,no,1,9.0,12/14/2015,12/28/2015,false,0.625,Documentary
Torsdagsklubben,no,1,9.0,1/31/2002,12/4/2008,false,9.135,Comedy, Talk
Pørni,no,19,8.8,5/2/2021,12/11/2022,true,7.726,Drama, Comedy
Uti vår hage,no,5,8.8,9/11/2003,3/6/2008,false,1.099,Comedy
Neste sommer,no,5,8.8,3/9/2014,2/12/2023,true,10.663,Comedy
Fenris,no,12,8.75,9/25/2022,9/25/2022,true,2.109,Drama, Crime
Side by Side,no,3,8.7,9/7/2013,9/30/2023,true,13.743,Comedy
