Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Gangs of Puri,or,1,9.0,6/21/2022,6/23/2022,true,0.696,Crime, Action & Adventure, Drama
72 Hours: Life or Death Stare,or,0,0.0,3/27/2020,5/8/2020,false,0.854,Drama
Chumbak,or,0,0.0,2/14/2020,3/27/2020,false,0.6,Drama
Raktatirtha,or,0,0.0,1/26/2023,3/16/2023,false,0.702,Drama, Reality
Chumbak,or,0,0.0,2/14/2020,2/14/2020,true,0.0,
Mo Jiban Sathi,or,0,0.0,1/16/2023,4/17/2023,true,0.6,Soap, Drama
Ete Bhala Paye Tate,or,0,0.0,8/2/2021,12/20/2021,false,0.6,Drama
Suhaga Sindura,or,0,0.0,6/5/2022,5/1/2023,true,0.6,Drama, Soap
Ichha,or,0,0.0,7/24/2021,9/4/2021,false,1.366,Drama
Expose,or,0,0.0,4/24/2022,4/24/2022,true,0.626,
Men for Sale,or,0,0.0,1/22/2022,1/22/2022,true,0.6,Drama
E Mana Manena,or,0,0.0,12/30/2021,12/30/2021,true,0.6,
Love You Lovely,or,0,0.0,3/10/2022,3/10/2022,true,0.6,Drama
Rasabali,or,0,0.0,11/6/2019,9/8/2020,true,0.0,
