Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Ramnik Shabads,pa,1,10.0,1/1/2023,2/19/2023,true,0.6,
Ramnik Shabads,pa,1,10.0,1/1/2023,2/19/2023,true,0.6,
Ramnik Shabads,pa,1,10.0,1/1/2023,2/19/2023,true,0.6,
Ramnik Shabads,pa,1,10.0,1/1/2023,2/19/2023,true,0.6,
Zila Sangrur,pa,1,9.0,10/22/2021,10/22/2021,false,3.869,Crime
500 Meter,pa,1,7.0,5/18/2023,5/18/2023,true,0.6,Drama, Crime
Outlaw,pa,1,7.0,7/28/2023,7/28/2023,false,3.144,Drama, Crime
Shahi Majra,pa,0,0.0,8/12/2022,8/12/2022,true,1.647,Crime, Drama
Yaar Chale Bahar,pa,0,0.0,6/26/2022,7/30/2022,false,0.688,Comedy
Range,pa,0,0.0,8/23/2021,8/29/2021,true,0.6,Crime
Eho Hamara Jeevna,pa,0,0.0,1/1/1996,1/1/1996,true,0.6,Drama
Jubliee,pa,0,0.0,10/15/2022,10/15/2022,true,0.894,Drama
London in Haryana,pa,0,0.0,8/28/2021,8/28/2021,true,0.6,
Dil Diyaan Gallaan,pa,0,0.0,12/12/2022,12/13/2022,true,0.934,Drama
The Gangland In Motherland,pa,0,0.0,12/19/2018,12/19/2018,true,0.6,Crime, Action & Adventure
And They Occupied Me,pa,0,0.0,6/10/2022,6/10/2022,true,1.383,Drama
Yaar Jigree Kasooti Degree,pa,0,0.0,9/15/2018,12/30/2018,true,0.851,
Patange,pa,0,0.0,9/29/2023,9/29/2023,false,0.708,Drama, Action & Adventure
Shikaari,pa,0,0.0,10/15/2021,1/14/2023,true,1.012,
Patange,pa,0,0.0,9/29/2023,9/29/2023,true,1.96,Drama, Action & Adventure, Reality
Mrs & Mr Kohli,pa,0,0.0,7/8/2020,7/8/2020,false,0.6,Family, Comedy, Drama
Chole Bhatoore,pa,0,0.0,1/8/2019,1/22/2019,false,0.686,
Chandigarh Wale,pa,0,0.0,12/17/2021,12/17/2021,true,1.171,Comedy, Drama
Khich Jatta Khich,pa,0,0.0,8/29/2021,8/29/2021,true,0.6,Drama
Vardaat,pa,0,0.0,1/9/2020,1/9/2020,true,0.624,
Patange,pa,0,0.0,9/29/2023,9/29/2023,false,1.188,Drama, Action & Adventure
