Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Milionerzy,pl,1,10.0,9/3/1999,2/27/2017,true,0.976,Talk
Na krawędzi,pl,1,10.0,2/28/2013,11/20/2014,false,3.12,Crime
Hijacking Baltazar Gąbka,pl,1,10.0,5/1/1969,7/1/1970,true,1.12,Animation, Family
Kanapowcy,pl,1,10.0,3/7/2020,5/10/2022,true,0.907,Reality
Sąsiedzi,pl,1,10.0,4/12/2003,4/12/2008,false,0.6,
1000 złych uczynków,pl,1,10.0,3/2/2009,5/18/2009,true,0.6,
U Pana Boga w ogródku - 4 pory roku,pl,2,9.5,,,false,0.6,Comedy, Crime, Family
Our Century,pl,3,9.0,3/3/2019,5/28/2023,true,2.126,Drama
Crack / System,pl,2,9.0,1/15/2021,9/2/2021,true,3.33,Crime
Szkoła,pl,2,9.0,9/1/2014,5/30/2019,true,4.036,Documentary, Drama
Bolek i Lolek wyruszają w świat,pl,1,9.0,3/25/1968,7/23/1970,false,0.631,Animation, Kids, Family
Zdrady,pl,1,9.0,2/28/2013,5/21/2020,true,0.989,
Zima w Wiklinowej Zatoce,pl,1,9.0,7/10/1998,8/21/1998,true,0.6,Animation, Family
Sonda,pl,1,9.0,,9/22/1990,false,1.736,
Ciężarówką przez Indonezję,pl,1,9.0,8/20/2019,10/15/2019,false,0.6,Documentary, Reality
Dziewczyna i chłopak,pl,1,9.0,9/2/1978,9/2/1978,false,0.6,Family, Kids
Barefoot Around the World,pl,3,8.7,1/7/2007,9/16/2007,true,2.127,Documentary
A Minute of Silence,pl,3,8.7,9/9/2022,10/7/2022,false,1.104,Drama, Comedy
Hitchhiker's Guide to Kolyma,pl,1,8.5,2/16/2015,5/19/2015,true,0.6,Documentary
Dekalog,pl,72,8.479,12/10/1989,7/6/1990,false,14.966,Drama
The Convict,pl,11,8.455,8/31/2021,12/30/2022,true,2.047,Drama, Crime
Kuchenne rewolucje,pl,3,8.3,1/7/2010,9/28/2023,true,21.336,Reality
Alternatywy 4,pl,18,8.278,9/30/1986,11/25/1986,false,3.461,Comedy
Ekstradycja,pl,8,8.2,11/9/1995,6/10/1999,false,2.936,Drama
Artists,pl,4,8.2,9/2/2016,10/21/2016,false,2.292,Drama
Converts,pl,9,8.0,3/16/2007,6/8/2007,false,3.172,Crime, Drama
Infamy,pl,7,8.0,9/6/2023,9/6/2023,true,32.048,Drama
Clouds of War,pl,6,8.0,12/23/1973,2/18/1974,false,2.612,Drama, Action & Adventure
Przygody pana Michała,pl,4,8.0,11/14/1969,2/6/1970,false,1.912,Action & Adventure, Drama
Days of Honor - Powstanie,pl,4,8.0,9/7/2014,11/23/2014,false,1.592,Drama
Diagnosis,pl,4,8.0,9/5/2017,5/21/2019,false,4.112,Drama
Enchanted Pencil,pl,3,8.0,,,false,1.106,Animation
Królestwo kobiet,pl,2,8.0,10/18/2020,12/6/2020,true,2.342,Comedy
Nauka Jazdy,pl,2,8.0,3/4/2001,4/13/2022,false,0.706,Reality
Ziemia obiecana,pl,2,8.0,5/21/1978,6/11/1978,false,2.411,
Bolek i Lolek w Europie,pl,1,8.0,1/1/1983,5/31/1986,false,0.6,
Zabawy Bolka i Lolka,pl,1,8.0,6/1/1975,8/31/1976,false,0.6,Animation, Kids, Family
Pogranicze w ogniu,pl,1,8.0,8/31/1992,2/8/1993,false,3.459,
Czas,pl,1,8.0,7/13/2011,9/18/2023,true,3.765,Mystery, Animation, Action & Adventure, Drama
25 Years Of Innocence. The Case of Tomek Komenda,pl,1,8.0,1/23/2021,2/6/2021,false,0.6,Drama
Inde : New-Dehli, la planète des singes,pl,1,8.0,5/6/2023,5/6/2023,true,0.6,
Nights and Days,pl,1,8.0,2/26/1978,2/26/1978,false,3.468,Drama
Backdoor. Wyjście awaryjne,pl,1,8.0,12/17/2021,12/17/2021,true,1.263,Comedy
Tajna historia XX wieku,pl,1,8.0,1/2/2014,1/2/2020,true,4.569,Documentary, War & Politics
Głęboka woda,pl,1,8.0,6/14/2011,6/9/2013,true,4.71,Drama
Hotel pod żyrafą i nosorożcem,pl,1,8.0,,,false,0.0,
Policjantki i policjanci,pl,1,8.0,9/29/2014,5/22/2019,true,10.744,
Ukraine. The Birth of a Nation,pl,1,8.0,10/22/2008,10/22/2008,false,0.6,Documentary
Nad Niemnem,pl,1,8.0,3/13/1988,4/3/1988,false,0.777,Drama, War & Politics
Powrót do Wiklinowej Zatoki,pl,1,8.0,6/13/1995,7/25/1995,true,0.6,Animation, Kids
