Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Até o Fim - Flamengo Campeão da Libertadores 2019,pt,4,10.0,11/29/2019,12/27/2019,false,0.895,Documentary
The Slave Mother,pt,3,10.0,5/31/2016,1/6/2017,false,2.146,Drama, Soap
Rest Home,pt,3,10.0,3/8/2022,3/25/2022,true,0.6,Mystery
Conexão Models,pt,3,10.0,3/20/2016,4/1/2018,false,0.704,Reality
Fazendas Históricas,pt,3,10.0,2/5/2020,4/8/2020,true,0.84,Documentary
Destino: São Paulo,pt,2,10.0,11/25/2012,12/30/2012,false,0.6,Drama
Tunadas,pt,2,10.0,10/16/2019,12/18/2019,true,0.916,Action & Adventure, Documentary, Reality
Transplantes,pt,2,10.0,11/13/2019,1/29/2020,true,1.26,Documentary, Drama, Family
Eu, a Vó e a Boi,pt,2,10.0,11/29/2019,11/29/2019,false,1.302,Comedy
O Fura-Vidas,pt,2,10.0,4/4/1999,1/31/2001,false,3.769,Comedy
Os C&D,pt,2,10.0,11/20/2013,2/12/2014,false,0.92,Comedy
À Brasileira,pt,2,10.0,10/8/2019,2/18/2020,true,1.4,Reality
Mister Brau,pt,2,10.0,9/22/2015,6/12/2018,false,2.836,Comedy
DH - Divisão de Homicídios,pt,2,10.0,3/26/2015,4/9/2017,true,1.74,Crime, Documentary, Mystery, Reality
Guardian Angels,pt,2,10.0,8/4/2015,11/17/2015,false,1.4,Action & Adventure, Reality
Another Power,pt,2,10.0,4/14/2009,3/10/2010,false,10.169,Soap, Drama
Crimes Perversos,pt,2,10.0,12/1/2019,5/17/2020,true,4.707,Crime, Documentary
Douglas Ferregui's Like Me,pt,2,10.0,2/18/2018,5/2/2018,true,0.6,
Scared Sims,pt,2,10.0,11/24/2018,10/9/2020,false,1.4,Mystery, Animation
VALE DICERE,pt,2,10.0,,10/31/2023,true,1.532,
asfolhas,pt,2,10.0,9/13/2023,9/13/2023,false,1.614,Comedy
VALE DICERE,pt,2,10.0,,10/31/2023,true,13.693,
Amoreal.com,pt,2,10.0,6/13/2020,6/27/2020,true,0.712,Drama
Força de Elite,pt,2,10.0,2/4/2014,2/25/2014,true,0.99,Action & Adventure, Drama, Crime
Terra Brasil - Trilhas,pt,2,10.0,4/6/2020,8/17/2020,true,2.36,Action & Adventure, Documentary, Reality
Sou Corinthians,pt,2,10.0,1/13/2023,1/13/2023,false,2.223,Documentary
Beyond the Island,pt,2,10.0,9/6/2018,11/8/2018,false,1.011,Comedy
Club D30,pt,2,10.0,3/8/2021,10/9/2021,true,0.6,
A Guerra do Brasil,pt,2,10.0,6/3/2019,7/1/2019,true,0.6,Documentary
Boo! A Call for Adventure,pt,2,10.0,3/9/2015,4/11/2015,false,6.868,Kids
Mundo Ripilica: As Aventuras de Lilica, a Coala,pt,2,10.0,11/19/2017,11/10/2018,true,1.815,Animation, Kids
Los Supergenios de la Mesa Cuadrada,pt,2,10.0,11/8/1968,12/31/1970,false,4.292,Comedy
Frágil,pt,2,10.0,5/7/2019,6/11/2019,false,0.635,
Os Hermanos Perdidos no Brasil,pt,2,10.0,7/18/2013,10/3/2013,true,1.024,Comedy, Action & Adventure, Reality
Os Sonhos Não Têm Teto,pt,2,10.0,2/6/2021,3/6/2021,true,1.4,Documentary
VALE DICERE,pt,2,10.0,,10/31/2023,true,2.779,
Extremos da Cidade,pt,2,10.0,11/7/2014,11/28/2014,false,0.6,Documentary
RACCORD,pt,2,10.0,9/13/2023,9/13/2023,false,2.199,Comedy
VALE DICERE,pt,2,10.0,,,true,4.672,
Chacrinha: A Minissérie,pt,1,10.0,1/14/2020,1/17/2020,false,1.792,Drama
Patrulha Salvadora,pt,1,10.0,1/11/2014,7/5/2014,false,8.76,Action & Adventure, Family, Kids
A Mim, Nunca.,pt,1,10.0,1/17/2022,1/17/2022,false,1.601,
5Starz,pt,1,10.0,12/20/2021,12/20/2021,false,1.96,
Mulheres em Ação,pt,1,10.0,10/9/2019,1/15/2020,true,0.6,Documentary, Reality, Crime
Mandacaru,pt,1,10.0,1/1/1990,1/1/1990,true,0.6,
A História do Cristianismo Como Você Nunca Viu,pt,1,10.0,2/3/2020,11/27/2020,false,0.6,
Topíssima,pt,1,10.0,5/21/2019,12/9/2019,false,16.596,Action & Adventure, Comedy, Crime, Drama, Soap
Vítimas Digitais,pt,1,10.0,11/4/2019,12/16/2019,false,0.984,Drama, Crime
O Enigma,pt,1,10.0,11/18/2018,2/10/2019,false,0.897,Mystery, Action & Adventure
O Dono do Lar,pt,1,10.0,7/10/2019,7/21/2023,true,6.895,Comedy
