Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Asia Express,ro,3,10.0,2/12/2018,11/28/2021,true,10.123,Reality
Poftiți la Nea Mărin,ro,2,10.0,7/8/2018,8/28/2018,false,0.745,Comedy
Temptation Island (RO),ro,2,10.0,4/26/2015,6/23/2023,true,11.804,Reality, Drama
În puii mei!,ro,2,10.0,11/7/2009,4/1/2018,false,2.784,Comedy
Pariu cu viața,ro,2,10.0,9/12/2011,9/26/2011,false,1.943,Comedy, Drama
Vacanta Mare: Spectacole,ro,1,10.0,4/8/1992,4/8/1992,true,0.624,
Show de seara cu Viorel Dragu,ro,1,10.0,4/3/2017,12/25/2017,true,0.6,Comedy
Jump off the fix,ro,1,10.0,9/16/2023,11/4/2023,true,2.633,Comedy
Bravo, România,ro,1,10.0,4/5/2016,4/5/2016,true,0.676,
Poftiti La Circ,ro,1,10.0,12/28/2020,2/24/2021,true,1.558,Comedy
Iadul bucatarilor,ro,1,10.0,9/22/2014,9/22/2014,true,0.6,
Next Star Romania,ro,1,10.0,5/28/2013,5/22/2021,true,0.983,Kids
Ferma Vedetelor,ro,1,10.0,3/9/2015,3/9/2015,true,0.6,
Românii au artiști,ro,1,10.0,4/10/2013,4/10/2013,true,0.874,
Liber ca pasărea cerului,ro,1,10.0,4/21/2019,6/9/2019,true,0.705,
Te cunosc de undeva,ro,1,10.0,,9/10/2022,true,0.6,Reality
Poftiti Pe La Noi,ro,1,10.0,7/21/2014,1/11/2023,true,1.041,Reality
Ai noștri,ro,1,10.0,3/2/2017,3/2/2017,true,0.6,
Move that bus! (RO),ro,1,10.0,10/29/2014,12/8/2021,true,3.17,Reality
Moștenirea,ro,1,10.0,10/4/2010,3/30/2011,false,11.01,Comedy, Drama
Files from the history of Bucharest,ro,1,10.0,11/11/2012,2/19/2018,true,0.6,Documentary, Comedy
Atletico textila,ro,3,9.8,3/10/2016,6/2/2016,false,1.326,Comedy
I'm a Celebrity: Get Me Out of Here!,ro,2,9.8,2/16/2015,11/24/2022,true,6.913,Reality
RObotzi,ro,1,9.5,1/27/2011,5/1/2023,true,1.087,Animation, Comedy
Las Fierbinţi,ro,11,9.3,3/1/2012,9/12/2023,true,74.623,Comedy
iUmor,ro,7,9.3,4/3/2016,9/30/2023,true,15.305,Comedy
Full Sail,ro,10,9.2,3/1/1977,5/17/1977,false,1.641,Action & Adventure
Inimă de țigan,ro,2,9.0,10/1/2007,3/24/2008,false,8.407,Comedy, Drama, Family
Deschide Ochii,ro,2,9.0,12/18/2015,12/18/2015,true,0.6,
Romania's Enigmas,ro,1,9.0,10/29/2023,11/12/2023,true,5.379,Documentary
Romania's Got Talent,ro,6,8.8,2/18/2011,1/20/2023,true,11.809,Reality
Băieți de oraș,ro,7,8.6,10/5/2016,7/22/2018,false,1.937,Comedy
America Express,ro,6,8.5,1/15/2023,3/26/2023,true,4.947,Reality
Fructul oprit,ro,5,8.5,1/15/2018,5/29/2019,false,12.188,Drama
Good Cops,ro,4,8.5,4/24/2005,1/2/2006,false,1.039,Crime, Drama, Comedy
Triplusec,ro,2,8.5,9/13/2018,9/13/2018,true,0.6,Comedy
L-a Seral,ro,1,8.5,8/29/2019,12/19/2019,true,0.675,Comedy
Shadows,ro,34,8.4,12/28/2014,11/20/2019,true,6.282,Crime, Drama
Vlad,ro,8,8.4,2/25/2019,12/6/2021,false,4.105,Drama, Mystery, Action & Adventure
The Freckled Boy,ro,6,8.0,12/23/1973,2/21/1974,false,1.646,Family, Action & Adventure
Lia – Soția Soțului Meu,ro,4,8.0,1/12/2023,3/30/2023,true,3.079,Drama
Vocea Romaniei Junior,ro,1,8.0,2/26/2017,7/20/2018,true,2.176,Kids
Imperiul Leilor,ro,1,8.0,2/12/2020,11/14/2023,true,4.997,Reality
Secretul Mariei,ro,1,8.0,9/26/2005,9/26/2005,false,1.582,Action & Adventure, Crime, Drama, Mystery, Soap
Lasă-mă, îmi place ! Camera 609,ro,1,8.0,8/25/2023,9/1/2023,true,3.75,Comedy
The Silent Valley,ro,10,7.8,10/23/2016,11/13/2016,false,2.731,Crime, Drama
Chefi la cutite,ro,5,7.5,3/7/2016,10/2/2023,true,65.855,Reality, Family
Groapa,ro,2,7.5,9/16/2023,9/30/2023,true,20.403,Action & Adventure, Drama
Sacrificiul,ro,7,7.429,9/11/2019,4/1/2020,false,9.422,Drama
La Bloc,ro,7,7.3,4/1/2002,5/1/2005,false,38.265,Comedy
