Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Our Little Clinic,sl,1,10.0,9/13/2004,12/10/2007,false,6.108,Family, Comedy
Yes, Chef!,sl,2,9.0,6/17/2021,8/17/2023,true,1.934,Comedy
Cases of Inspector Vrenko,sl,1,8.0,1/10/2021,2/12/2023,true,1.729,Crime, Drama
The Lake,sl,1,8.0,12/22/2019,1/26/2020,false,3.241,Crime
Poseta,sl,1,8.0,10/2/2023,10/2/2023,true,2.285,Crime, Mystery
Lenin's Park,sl,1,7.0,1/9/2022,1/23/2022,false,0.944,Crime
Valley of Roses,sl,1,7.0,1/30/2022,2/13/2022,true,2.158,Crime
Revolutionary Parties of Our Youth,sl,1,7.0,6/10/2017,6/10/2017,true,0.6,
After Breaking News Already,sl,0,0.0,11/20/2016,3/26/2017,true,2.843,Drama
Behind the Nine Mountains,sl,0,0.0,11/18/2021,12/1/2022,true,1.272,Comedy
In Therapy,sl,0,0.0,9/26/2011,11/25/2011,true,5.379,Drama
Yes, Dear,sl,0,0.0,3/6/2016,2/5/2017,true,11.651,Comedy
All My Brother's Girlfriends,sl,0,0.0,1/28/2021,6/25/2023,true,0.625,Comedy
Studio city,sl,0,0.0,,11/28/2016,true,0.6,News
Mom's Day,sl,0,0.0,3/19/2014,6/11/2014,true,1.169,Comedy
Our Daily Bread,sl,0,0.0,10/12/2014,2/8/2015,true,3.345,Drama, Comedy
Truplo,sl,0,0.0,8/24/2018,8/24/2018,true,0.84,
Têlenovela,sl,0,0.0,3/25/2021,3/25/2021,true,1.849,Drama
Inhumanum - Umori na Slovenskem,sl,0,0.0,1/19/2023,3/16/2023,true,0.6,Crime, Documentary
Straight Ten,sl,0,0.0,9/12/2012,6/3/2013,false,0.757,Comedy, Family
Dualizem,sl,0,0.0,1/31/2018,2/28/2018,true,0.6,
In the Name of the People,sl,0,0.0,2/2/2020,4/9/2023,true,1.019,Crime, Drama
Mali oglasi,sl,0,0.0,,,true,0.6,
Nasa krajevna skupnost,sl,0,0.0,1/9/1980,3/5/1980,false,0.6,
Swingers,sl,0,0.0,10/7/2008,10/7/2008,true,1.972,Comedy
Fatal Wine,sl,0,0.0,9/2/2015,1/23/2017,true,10.918,Drama, Soap
Bojan the Bear,sl,0,0.0,1/2/1978,1/2/1978,false,1.4,Animation, Kids
Slovenski Top Model,sl,0,0.0,,,false,0.6,
Odprava zelenega zmaja,sl,0,0.0,,,true,0.6,
Slovenski vodni krog,sl,0,0.0,,10/19/2015,true,0.6,
Telenovela: Patriot TV,sl,0,0.0,,4/10/2022,true,0.6,Drama
V Dvoje,sl,0,0.0,12/1/2015,1/31/2020,true,1.353,
A Day of Love,sl,0,0.0,10/31/2009,12/8/2010,true,0.6,Comedy
Chocolate Dreams,sl,0,0.0,4/3/2004,5/8/2004,true,1.36,Comedy, Drama
Rasmus and the Vagabond,sl,0,0.0,,,true,0.6,Family
The Hardheaded,sl,0,0.0,9/19/2011,12/5/2011,true,1.297,Family, Comedy
Mr Professor,sl,0,0.0,1/13/2022,3/30/2023,true,1.06,Comedy
Trigrad,sl,0,0.0,5/1/2022,6/19/2022,true,0.69,Drama, Mystery
Aritmični koncert,sl,0,0.0,,12/8/2015,true,0.876,
Ax in Honey,sl,0,0.0,8/2/2021,6/3/2022,true,10.178,Comedy, Family
Team Bled,sl,0,0.0,1/6/2019,5/5/2019,false,0.907,Crime, Drama
Artificial Paradise,sl,0,0.0,,9/19/2016,true,0.6,Comedy, Drama
Na brazdah ljubezni,sl,0,0.0,1/8/2023,3/19/2023,true,0.6,
Pogled na...,sl,0,0.0,,12/13/2015,true,0.6,
Pisave,sl,0,0.0,,12/12/2016,true,0.6,
Dekameron,sl,0,0.0,12/16/1971,3/30/1972,false,0.75,Comedy
Nova dvajseta,sl,0,0.0,10/4/2013,10/4/2013,true,1.352,
Skecoholiki,sl,0,0.0,10/10/2016,10/10/2016,true,0.6,
The Finest Story,sl,0,0.0,3/11/2015,3/11/2015,true,1.322,Comedy, Drama
Peta hiša na levi,sl,0,0.0,1/1/1999,4/16/1999,true,0.6,
