Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Portokalli,sq,1,10.0,12/31/2003,12/31/2003,false,0.991,Comedy
Milenium,sq,1,10.0,3/3/2014,3/31/2014,false,0.6,Drama
Sweetie,sq,1,10.0,5/9/2021,9/19/2021,true,4.56,Crime, Drama
iStar,sq,1,10.0,2/10/2019,1/5/2020,false,1.4,Drama
Love Season,sq,1,10.0,3/5/2014,3/5/2014,false,1.176,Drama, Soap
Skanderbeg,sq,1,8.0,1/8/2017,1/8/2017,false,0.6,Comedy
What's Up with the House?,sq,3,7.0,,10/29/2018,true,0.6,Comedy
Familja Kuqézi,sq,3,7.0,1/11/2019,8/16/2021,true,1.714,Comedy, Family
X Factor,sq,1,7.0,1/8/2012,,true,5.476,
A Modern Family,sq,2,5.5,12/31/2001,6/24/2002,false,4.023,Comedy
#Love #Likes #Tirana,sq,2,5.5,3/12/2019,3/12/2019,true,0.669,Comedy, Soap
Oh How Great It Is!,sq,2,5.5,10/29/2013,10/29/2013,true,1.024,Comedy
Our Cafe,sq,2,5.5,12/31/2004,12/26/2005,true,3.141,Comedy
Ekspertiza,sq,0,0.0,12/11/2018,12/14/2018,true,0.6,
Top Story,sq,0,0.0,1/13/2019,1/13/2019,true,0.6,Reality
Albania's Next Top Model,sq,0,0.0,,,true,0.6,
Rrugës për…,sq,0,0.0,3/9/2023,4/20/2023,true,0.6,Documentary, Reality
Asenshu Anime Recap,sq,0,0.0,10/2/2018,12/19/2019,true,0.978,Animation, Talk
Festival of Song,sq,0,0.0,12/21/1962,12/22/2022,true,1.527,Reality
Dancing with the Stars,sq,0,0.0,,,false,0.6,
