Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Min sanning,sv,3,10.0,4/3/2012,2/28/2021,true,3.108,
Fatal Experiments: The Downfall of a Supersurgeon,sv,3,10.0,1/13/2016,1/27/2016,false,1.008,Documentary
Vänligen: Lars Lerin,sv,3,10.0,1/13/2016,2/15/2017,false,1.644,Reality, Talk
Silbersky,sv,3,10.0,2/19/2019,3/5/2019,false,0.746,Documentary
Tomtens Minnesluckor,sv,3,10.0,12/1/2019,12/24/2019,false,3.503,
Trazan Apansson,sv,2,10.0,,,false,1.186,
Good Morning Children,sv,2,10.0,11/7/2005,11/21/2005,false,0.84,Drama
Sorgen Mitt I Bygden,sv,2,10.0,5/28/2019,6/11/2019,false,0.672,Documentary
Dokument inifrån: Roy måste leva,sv,2,10.0,12/13/2017,12/20/2017,false,0.908,Documentary
Hemma hos arkitekten,sv,2,10.0,10/3/2018,4/1/2020,false,0.779,Documentary
Astrid,sv,2,10.0,12/25/2014,1/1/2015,false,1.4,Documentary
Husdrömmar,sv,2,10.0,1/27/2014,4/3/2023,true,2.758,Reality
Jills veranda,sv,2,10.0,1/22/2014,4/12/2023,true,2.208,Documentary, Soap
Who Do You Think You Are?,sv,2,10.0,3/24/2009,10/20/2021,true,3.381,Documentary, Reality
Leif GW Persson - Min klassresa,sv,2,10.0,12/29/2015,1/3/2016,false,1.4,Documentary
Anders och Måns,sv,2,10.0,10/17/2003,12/22/2004,false,1.474,Comedy, Documentary
Kvartersdoktorn,sv,2,10.0,3/23/2010,5/4/2010,false,0.6,
August Strindberg: Ett liv,sv,1,10.0,2/18/1985,3/25/1985,false,1.898,Drama
Face to Face,sv,1,10.0,4/28/1976,5/19/1976,false,3.024,Drama
Stjärnor hos Babben,sv,1,10.0,2/21/2014,5/1/2015,false,1.96,Family, Talk
Ronny och Ragge,sv,1,10.0,1/1/1991,1/1/1993,true,1.004,Comedy
Klippans karaokecup,sv,1,10.0,3/3/2015,6/1/2016,false,0.7,
Annika - Ett Brott, Ett Straff, Ett Liv,sv,1,10.0,9/30/1999,10/7/1999,false,0.642,Documentary
Vad blir det för mat?,sv,1,10.0,1/25/2007,3/19/2009,true,3.578,
Tillsammans med Strömstedts,sv,1,10.0,3/9/2017,4/4/2022,true,2.47,Reality
ÅTERBLICKAR FRÅN FÖRR,sv,1,10.0,12/30/2019,12/31/2019,false,0.633,Reality, Documentary, Talk
Grogg,sv,1,10.0,2/24/2000,4/27/2000,false,1.63,Comedy
Moraeus med mera,sv,1,10.0,9/4/2011,12/23/2017,false,2.183,Family, Reality, Talk
Fråga Anders och Måns,sv,1,10.0,10/19/2006,12/7/2006,false,0.827,Comedy, Documentary
Rädda Joppe - död eller levande,sv,1,10.0,2/23/1985,4/27/1985,false,2.266,Kids, Drama, Family
Vägen ut med Lars Lerin,sv,1,10.0,1/11/2022,1/11/2022,false,0.9,
Skandal!,sv,1,10.0,9/17/2014,10/22/2014,false,0.6,
Ursäkta röran! (vi bygger om),sv,1,10.0,3/21/2002,4/11/2002,false,0.961,Comedy
Gösta Berlings saga,sv,1,10.0,3/10/1986,4/14/1986,false,2.365,Drama
36 dagar på gatan,sv,1,10.0,11/30/2018,11/30/2018,false,0.6,Documentary, Reality
Sagan om Björn Borg,sv,1,10.0,1/5/1998,1/12/1998,false,0.6,
Bernts berättelser,sv,1,10.0,11/10/2019,1/2/2020,false,4.918,News
Pip-Larssons,sv,1,10.0,9/26/1998,12/12/1998,false,1.705,Drama
Geografens Testamente,sv,1,10.0,1/18/2011,6/26/2023,true,1.698,Action & Adventure
I Huvudet på Gunde Svan,sv,1,10.0,10/24/2013,1/28/2019,true,1.334,
En stark resa med Morgan & Ola-Conny,sv,1,10.0,4/2/2012,10/6/2017,false,1.111,Comedy, Reality, Documentary
Mini-Serie: Året 2017,sv,1,10.0,12/23/2017,12/23/2017,false,0.6,Documentary, Reality, Talk
Svenska hemligheter,sv,1,10.0,9/25/2010,10/12/2015,false,0.6,Documentary, War & Politics
En ö i havet,sv,1,10.0,10/11/2003,11/29/2003,false,1.553,Drama
Tsunami,sv,1,10.0,2/17/2020,3/2/2020,false,2.69,Drama
En ängels tålamod,sv,1,10.0,2/18/2001,11/26/2001,false,1.228,Comedy
Tillbaka till vintergatan,sv,2,9.5,3/17/2003,3/17/2003,true,0.6,
Ett herrans liv,sv,2,9.5,4/13/2006,2/26/2007,false,7.193,Comedy, Talk
Babel,sv,1,9.5,3/16/2014,5/10/2015,true,4.344,Talk
Från A till Ö,sv,6,9.3,11/22/1974,6/5/1975,false,5.81,Family, Kids, Drama, Comedy
