Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
The Fierce Wife 2018,th,3,10.0,5/28/2018,8/28/2018,false,2.903,Soap, Drama
The Cupid Coach,th,2,10.0,1/12/2021,3/30/2021,false,1.284,Comedy, Drama
House of the Dark Shadows,th,2,10.0,4/29/2021,6/15/2021,false,1.24,Mystery, Drama
Love Poison,th,2,10.0,11/20/2019,3/30/2021,false,1.04,Comedy, Family
What If,th,2,10.0,8/22/2022,9/12/2022,false,1.576,Drama
My Beloved (?) In-law,th,2,10.0,2/14/2022,4/19/2022,false,3.119,Comedy, Family
Princess Hours,th,2,10.0,4/1/2017,7/3/2017,false,1.265,Comedy, Drama
Slam Dance the Series,th,2,10.0,5/13/2017,7/29/2017,false,3.555,Drama, Family, News
ใต้ปีกปักษา,th,1,10.0,8/4/2018,8/19/2018,false,0.6,
Top Secret Together The Series,th,1,10.0,5/14/2021,8/20/2021,false,2.171,Drama, Comedy
ความรักครั้งสุดท้าย,th,1,10.0,11/27/2017,5/21/2018,false,0.84,
Paragit Ruk Series,th,1,10.0,7/1/2017,10/1/2017,false,2.146,
You Are My Heartbeat,th,1,10.0,3/2/2022,5/5/2022,false,2.423,Drama
Why You… Y Me?,th,1,10.0,10/19/2022,12/19/2022,false,1.911,Comedy
The Curse of Saree,th,1,10.0,2/2/2022,5/5/2022,false,5.338,Drama, Mystery
Love Advisor,th,1,10.0,8/28/2021,8/28/2021,false,0.6,Drama
Absolute Zero,th,1,10.0,9/27/2023,9/27/2023,true,26.734,Drama
The Next Iron Chef Thailand,th,1,10.0,6/23/2019,10/25/2020,true,0.6,Reality
Iron Chef Thailand,th,1,10.0,,3/12/2022,true,1.626,Reality
Bang Rak Soi 9/1,th,1,10.0,10/4/2016,5/27/2018,true,33.635,
Plerng Nang,th,1,10.0,10/10/2021,10/10/2021,false,1.422,
Night Dream,th,1,10.0,,,true,0.6,Drama
Night Dream,th,1,10.0,,,true,2.744,Drama
On Cloud Nine,th,1,10.0,8/6/2022,9/10/2022,false,1.248,Drama
Coin Digger,th,1,10.0,11/2/2023,11/9/2023,true,34.682,Drama
Bang Ruk Soi 9,th,1,10.0,4/5/2003,6/7/2003,false,0.6,
ดวงใจพิสุทธิ์,th,1,10.0,9/15/2016,10/26/2016,false,0.6,Drama, Family
Self,th,1,10.0,10/13/2022,11/17/2022,false,1.298,Drama, Sci-Fi & Fantasy
Saneha Stories 3: Saneha Maya,th,1,10.0,12/28/2020,4/10/2021,false,1.563,Drama
You Never Eat Alone,th,1,10.0,12/22/2020,3/9/2021,false,2.824,Drama, Comedy
Art of The Devil,th,1,10.0,7/12/2020,8/30/2020,false,2.953,Mystery, Crime
Love in Translation,th,1,10.0,8/19/2023,9/30/2023,true,21.359,Drama
Skinship,th,1,10.0,10/10/2020,5/8/2021,false,1.401,Comedy
Playboyy The Series,th,1,10.0,,,true,2.979,
A Bond of Love,th,1,10.0,4/30/2018,6/12/2018,false,0.733,Family, Comedy
Brothers: The Series,th,1,10.0,2/5/2021,4/30/2021,true,0.65,Comedy
55:15 Never Too Late,th,1,10.0,12/6/2021,1/24/2022,false,5.414,Drama, Sci-Fi & Fantasy, Comedy
MoviePaPai,th,1,10.0,8/1/2010,11/28/2021,true,0.658,
True Horror Stories,th,1,10.0,4/18/2023,4/18/2023,true,1.4,
World of Himmapan,th,1,10.0,2/26/2021,4/3/2021,false,1.01,Drama, Action & Adventure
Dare to Love,th,1,10.0,7/9/2021,10/22/2021,false,8.74,Drama, Comedy
The Debut,th,1,10.0,3/16/2021,4/18/2021,false,3.461,Drama, Mystery
Tie Me (K)not,th,1,10.0,3/21/2022,5/3/2022,false,2.075,Drama
Theptida Pla Rah,th,1,10.0,1/25/2021,2/8/2021,false,0.833,Comedy
Bangkok Vampire,th,1,10.0,3/31/2019,7/14/2019,false,1.573,Action & Adventure, Sci-Fi & Fantasy, Crime
When I Marry A Stranger,th,1,10.0,8/17/2018,11/30/2018,false,3.269,
My Life is to Kill,th,1,10.0,3/27/2017,3/27/2017,false,0.6,
Twenty Hacker,th,1,10.0,6/10/2023,6/10/2023,true,0.795,
The Yearbook,th,1,10.0,7/15/2021,9/2/2021,false,2.069,Drama
Deja Vu,th,1,10.0,2/19/2020,5/7/2020,true,1.388,Drama
