Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Штурм,uk,2,10.0,10/1/2023,10/22/2023,true,1.254,War & Politics
Untouched,uk,1,10.0,1/1/2010,4/16/2010,false,0.872,Comedy
Ukraine's Got Talent,uk,1,10.0,4/3/2009,6/9/2013,true,0.6,Reality
Клуб поганого дня,uk,1,10.0,5/22/2020,5/22/2020,true,0.6,Animation, Comedy, Sci-Fi & Fantasy
Snowdrop,uk,1,10.0,2/2/2015,5/13/2015,false,1.939,Drama, Mystery
Полкан,uk,1,10.0,10/24/2022,2/6/2023,true,0.605,Mystery, Comedy
Зв'язок,uk,1,10.0,10/16/2023,10/16/2023,true,0.785,
Ботоферма,uk,1,10.0,10/5/2023,10/5/2023,true,0.706,Drama, Crime
Одна родина. Весілля,uk,1,10.0,10/2/2023,10/2/2023,true,1.142,Comedy, Family
A Crime with Many Unknowns,uk,1,10.0,1/29/1993,1/29/1993,false,0.874,Drama, Crime
Flash,uk,1,10.0,11/25/2020,6/18/2021,false,1.157,Documentary
Зв'язок,uk,1,10.0,10/16/2023,10/16/2023,true,1.392,
Штурм,uk,1,10.0,10/1/2023,10/1/2023,true,1.176,
Once Upon a Time Near Poltava,uk,2,9.5,10/27/2014,3/2/2023,false,2.82,Comedy
World Inside Out,uk,4,9.0,12/12/2010,5/18/2023,true,5.041,Action & Adventure, Documentary
I Am Hope,uk,1,9.0,2/24/2023,2/24/2023,false,1.536,Drama, War & Politics
Останній москаль,uk,3,8.0,4/14/2015,5/6/2016,false,0.84,Comedy
There Will Be People,uk,2,8.0,9/14/2020,9/19/2020,false,1.832,Drama, War & Politics
Червоний ренесанс,uk,1,8.0,8/24/2004,8/24/2004,false,0.882,Documentary
Гетьман,uk,1,8.0,8/24/2016,8/24/2016,false,0.6,Drama
Heads and Tails,uk,1,8.0,2/13/2011,6/22/2015,true,1.243,Reality
X-Factor,uk,1,8.0,9/4/2010,,true,0.6,
To Catch the Kaidash,uk,5,7.9,3/2/2020,3/11/2020,false,1.4,Drama, Comedy
Early Swallows,uk,10,7.75,11/19/2019,12/17/2020,true,16.435,Drama
Козаки. Абсолютно брехлива історія,uk,2,7.5,11/17/2020,11/26/2020,false,1.176,Comedy, Action & Adventure
Хазяїн,uk,5,7.4,,,true,0.6,
Servant of the People,uk,60,7.308,11/16/2015,3/28/2019,false,15.504,Comedy
Село на мільйон,uk,2,7.0,11/28/2016,12/7/2017,false,1.7,Comedy
The Bachelorette,uk,1,7.0,10/23/2020,12/10/2021,true,1.031,Reality
Vidbir,uk,1,7.0,2/6/2016,12/17/2022,true,1.099,Reality
Леся + Рома,uk,1,7.0,1/14/2005,9/7/2005,false,1.763,Comedy
Віталька,uk,1,7.0,10/29/2012,10/29/2012,true,1.24,Comedy
Patron the Dog,uk,1,7.0,1/7/2023,8/16/2023,true,0.814,Animation, Kids, Family
The New One,uk,1,7.0,11/26/2019,4/7/2020,false,0.6,Crime, Drama
Hide and Seek,uk,5,6.4,10/29/2019,10/31/2019,false,3.706,Crime, Mystery, Drama
#@)₴?$0  with Michael Shchur,uk,2,5.5,11/6/2016,12/19/2021,true,0.946,News, Talk
School,uk,2,5.5,1/15/2018,3/14/2019,false,2.944,Drama
The Bachelor,uk,1,5.0,3/17/2011,1/13/2023,true,1.909,Reality
Sex, Insta & ZNO,uk,5,3.0,11/25/2020,12/16/2020,false,2.374,Drama, Comedy
Bucket,uk,2,2.0,4/8/2015,12/31/2018,true,0.84,
Виходьте без дзвінка,uk,1,2.0,12/3/2018,3/18/2021,false,5.631,Drama, Crime
My favorite Strashko,uk,2,1.5,8/30/2021,10/13/2021,true,1.686,Drama, Comedy
Супермодель по-українськи,uk,0,0.0,,9/21/2018,true,0.6,
Прокурори,uk,0,0.0,12/8/2015,12/8/2016,false,0.6,Mystery, Crime
Eskimo Girl,uk,0,0.0,11/12/2012,11/12/2012,false,1.016,Animation, Kids
Kyiv Day and Night,uk,0,0.0,3/8/2016,1/8/2019,false,7.194,
SV-show,uk,0,0.0,11/4/1997,11/4/1997,true,0.841,
To See the Rainbow...,uk,0,0.0,2/27/2016,3/19/2016,false,0.846,Drama
Сліпа,uk,0,0.0,2/24/2020,5/12/2023,true,1.003,Drama
Roxelana,uk,0,0.0,5/12/1997,1/24/2003,false,0.6,Drama
