Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Aise Jalay Jiya,ur,3,10.0,11/6/2013,12/31/2014,false,3.045,Drama, Crime
Bay Dardi,ur,3,10.0,3/26/2018,8/27/2018,false,3.317,Drama
Ranjha Ranjha Kardi,ur,3,10.0,11/3/2018,6/1/2019,true,3.416,Drama, Family
Udaari,ur,2,10.0,4/10/2016,9/25/2016,false,3.202,Crime, Drama, Family
Ishq Tamasha,ur,2,10.0,2/25/2018,9/16/2018,false,9.114,Soap
Kaisi Teri Khudgharzi,ur,2,10.0,5/11/2022,12/14/2022,false,10.056,Drama
Gul-e-Rana,ur,2,10.0,11/7/2015,11/15/2018,false,5.657,Drama
Ye Dil Mera,ur,2,10.0,10/30/2019,6/10/2020,false,13.399,Drama, Mystery, Family
Chupke Chupke,ur,2,10.0,4/14/2021,5/13/2021,false,15.126,Comedy, Family, Drama
Croron Mein Khel,ur,2,10.0,12/6/2018,3/28/2019,true,2.29,Reality, Family
Ishq Hamari Galiyon Mein,ur,2,10.0,8/13/2013,7/29/2014,false,2.349,Drama
Aseer Zadi,ur,2,10.0,8/19/2013,1/27/2014,false,3.877,Drama
Meri Guriya,ur,2,10.0,6/27/2018,10/3/2018,false,6.38,Drama, Reality, Crime
Dil Mom Ka Diya,ur,2,10.0,8/28/2018,3/12/2019,false,7.86,Drama
Aisi Hai Tanhai,ur,2,10.0,11/8/2017,6/27/2018,false,7.403,Drama, Family
Moorat,ur,2,10.0,8/2/2004,3/14/2005,false,0.994,Drama
Ek Tamanna Lahasil Si,ur,2,10.0,10/3/2012,3/6/2013,false,7.259,Drama
Aunn Zara,ur,2,10.0,6/18/2013,11/12/2013,true,2.36,Drama
Qurban,ur,1,10.0,11/20/2017,3/19/2018,false,1.4,Drama
Meri Zaat Zarra-e-Benishan,ur,1,10.0,11/28/2009,4/10/2010,false,7.728,Drama
Jal Pari,ur,1,10.0,10/13/2011,2/2/2012,false,2.544,Drama
Hum Tehray Gunahgaar,ur,1,10.0,1/13/2014,3/2/2015,false,29.212,Drama, Family, Soap
Aks,ur,1,10.0,4/11/2011,10/3/2011,true,1.195,Drama
Aik Thi Misaal,ur,1,10.0,9/14/2015,5/16/2016,false,10.556,Drama
Akhri Barish,ur,1,10.0,4/3/2011,11/6/2011,true,0.701,Drama
Aik Pal,ur,1,10.0,11/24/2014,4/20/2015,true,4.519,Drama
Alif Noon,ur,1,10.0,1/1/1965,1/7/1966,true,1.573,Comedy
Izteraab,ur,1,10.0,4/2/2014,8/20/2014,false,4.936,Drama
Jaan'nisar,ur,1,10.0,10/21/2016,1/13/2017,false,0.697,Action & Adventure, Drama
Ishq Ibadat,ur,1,10.0,7/21/2015,6/21/2016,false,11.809,Drama
Kahi Unkahi,ur,1,10.0,11/6/2012,4/9/2013,false,3.944,Drama
Kahani Raima Aur Manahil Ki,ur,1,10.0,2/25/2014,7/8/2014,false,1.797,Drama, Comedy
BFFS,ur,1,10.0,7/19/2019,7/26/2019,true,1.052,Drama, Comedy
Ishq Nachaya,ur,1,10.0,7/21/2016,1/12/2017,false,0.77,Drama, Family
Jhoot,ur,1,10.0,5/13/2016,9/30/2016,false,1.4,Drama
Jugnoo,ur,1,10.0,4/17/2015,8/14/2015,false,1.022,Family, Drama
Jalebiyan,ur,1,10.0,8/31/2013,4/19/2014,false,1.4,Drama, Comedy
Kabhi Kabhi,ur,1,10.0,9/20/2013,3/28/2014,false,16.162,Drama
Dil Lagi,ur,1,10.0,1/16/2016,7/2/2016,false,6.994,Drama
Dil-e-Beqarar,ur,1,10.0,4/13/2016,7/27/2016,false,0.876,Drama
O Rangreza,ur,1,10.0,7/28/2017,3/2/2018,false,1.842,Drama
Ishq Gumshuda,ur,1,10.0,6/25/2010,11/19/2010,false,2.585,Drama
Doraha,ur,1,10.0,10/17/2008,1/16/2009,false,2.602,Drama
Jab We Wed,ur,1,10.0,7/29/2014,12/30/2014,false,8.842,Comedy
Kaafir,ur,1,10.0,1/1/2011,5/28/2011,false,0.873,Drama
Ishq Mein Teray,ur,1,10.0,11/27/2013,3/26/2014,false,0.64,Drama
Jhooti,ur,1,10.0,2/1/2020,7/25/2020,true,2.825,Comedy, Family
Aangan,ur,1,10.0,12/20/2018,8/22/2019,true,9.645,Drama
Ishq Ibadat,ur,1,10.0,10/2/2011,2/12/2012,false,3.424,Drama
Haiwan,ur,1,10.0,10/10/2018,4/3/2019,false,1.835,Drama
