Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Miraculous Chibi,xx,2,10.0,8/31/2018,10/26/2018,false,3.17,Animation, Kids, Comedy
The Airplane in Japan,xx,4,8.8,4/9/2018,4/9/2018,true,0.6,
Mighty Little Bheem: Diwali,xx,16,8.6,10/18/2019,10/18/2019,false,0.925,Comedy, Animation, Kids
Mighty Little Bheem,xx,13,8.4,4/12/2019,9/25/2020,true,9.367,Animation, Kids, Comedy, Family
Mig Said Series: Can We Be Friends,xx,2,7.0,8/1/2010,8/1/2010,false,0.84,Animation, Comedy
SAV des émissions,xx,12,6.917,12/2/2005,5/2/2011,false,86.667,Comedy
The Odyssey of Klassik,xx,1,6.5,4/18/2019,4/29/2019,false,0.6,Animation
Mighty Little Bheem: Kite Festival,xx,2,6.0,1/8/2021,1/8/2021,false,2.079,Animation, Comedy, Kids
Harry & Bunnie,xx,1,4.0,5/20/2016,1/1/2018,false,1.183,Animation
Hullabalooba,xx,1,2.0,1/1/2015,3/26/2015,true,0.6,Animation, Kids
布布猫和薯条兔,xx,0,0.0,5/4/2021,12/7/2021,true,0.6,Animation
Мёр,xx,0,0.0,,11/23/1984,false,0.6,
Rattic,xx,0,0.0,1/1/2020,3/4/2020,true,0.6,Animation, Comedy
Anniversary concert of the Karajan Academy with Kirill Petrenko,xx,0,0.0,5/7/2022,5/7/2022,false,0.6,
MuMuHug,xx,0,0.0,1/1/2006,3/19/2009,true,0.6,Animation
The Pink Panther Show,xx,0,0.0,6/9/1969,1/12/1970,false,1.4,
五星红旗迎风飘扬2,xx,0,0.0,,10/17/2012,true,0.6,
Minions & Gru's Diary,xx,0,0.0,5/17/2017,8/2/2017,false,0.889,Animation, Kids
DIID,xx,0,0.0,12/4/2021,12/17/2021,false,0.6,Animation
Rhapsody and The Two Pigeons,xx,0,0.0,9/30/2016,9/30/2016,false,0.937,Documentary
Little Furry,xx,0,0.0,,,false,0.6,Animation
麦克斯和波波狗,xx,0,0.0,6/1/2019,9/4/2019,false,0.6,Animation
도기코기,xx,0,0.0,2/8/2019,3/22/2019,false,0.6,Animation
Mr Carton,xx,0,0.0,2/22/2017,3/7/2017,false,1.347,Animation
젤리고,xx,0,0.0,1/18/2019,3/6/2021,true,1.229,Animation
Кроха Антоха,xx,0,0.0,1/1/2001,1/1/2001,false,0.6,Animation
Barababor,xx,0,0.0,1/1/2019,1/22/2019,false,0.6,Animation
五星红旗迎风飘扬2,xx,0,0.0,,10/17/2012,true,0.6,
