Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Legend of Awakening,zh,5,10.0,4/23/2020,5/28/2020,false,2.146,Drama
Beauties in the Closet,zh,3,10.0,2/8/2018,9/27/2018,false,3.583,Sci-Fi & Fantasy
疯味英雄.Beyond.the.worlds,zh,3,10.0,9/16/2015,10/8/2016,false,0.6,Animation, Sci-Fi & Fantasy, Action & Adventure
Qin's Moon: The Great Wall,zh,3,10.0,9/30/2012,12/23/2012,false,1.4,Animation, Action & Adventure
Goodbye, My Love,zh,3,10.0,8/19/2020,8/26/2020,false,1.677,Mystery, Drama
The Way We Were,zh,3,10.0,7/19/2014,11/1/2014,false,3.229,Drama, Comedy
Marriage Cuisine,zh,3,10.0,9/8/2014,9/21/2014,true,1.698,Comedy, Drama
Stay by My Side,zh,3,10.0,7/7/2023,9/1/2023,false,6.93,Drama, Sci-Fi & Fantasy
Genghis Khan,zh,3,10.0,6/17/2004,12/18/2005,false,8.569,Drama
秦时明月之诸子百家,zh,3,10.0,6/23/2010,7/26/2010,false,1.303,Animation
My Roommate is a Fairy Fox,zh,3,10.0,12/3/2016,5/27/2017,false,3.302,Drama
Dong bei yi jia ren,zh,3,10.0,2/12/2002,2/12/2002,false,7.27,Comedy, Family, Drama
Dorm Zero,zh,3,10.0,9/28/2018,12/28/2018,false,1.216,Animation, Kids, Comedy
周杰伦,zh,3,10.0,11/7/2000,10/21/2022,true,19.68,
The King of Land Battle,zh,2,10.0,8/26/2019,9/24/2019,true,2.827,Drama, War & Politics
Shi Cha Hai,zh,2,10.0,7/10/2020,12/4/2020,true,2.614,Drama
Moon Man,zh,2,10.0,9/10/2022,10/29/2022,true,1.476,Comedy, Sci-Fi & Fantasy, Animation
马大帅,zh,2,10.0,1/24/2004,1/29/2006,false,6.091,Comedy
Thousand Years For You,zh,2,10.0,9/15/2022,10/6/2022,false,5.283,Drama
Forest Evolutionism,zh,2,10.0,7/15/2023,10/3/2023,true,27.532,Reality
The Demon Hunter,zh,2,10.0,6/22/2023,9/28/2023,true,29.855,Animation, Action & Adventure, Sci-Fi & Fantasy
A Bite of China,zh,2,10.0,4/30/2016,5/13/2022,false,1.807,Documentary
The Saint With His The Art Of War Sun Tzu,zh,2,10.0,12/1/2009,9/7/2010,false,2.547,
Ten Thousand Worlds,zh,2,10.0,4/6/2021,9/5/2023,true,8.002,Animation, Drama
火麟飞,zh,2,10.0,4/1/2011,4/1/2011,false,0.6,
Against The Sky Supreme,zh,2,10.0,7/16/2021,10/2/2023,true,17.007,Animation, Action & Adventure
Wonderful Fate,zh,2,10.0,4/30/2021,4/30/2021,false,1.88,Drama
宇宙与人,zh,2,10.0,4/10/2000,4/10/2000,true,0.6,
Kiseki: Dear to Me,zh,2,10.0,8/22/2023,9/27/2023,true,42.448,Drama, Crime
Spy Game,zh,2,10.0,9/20/2023,10/3/2023,true,1057.581,Drama
Danger of Her,zh,2,10.0,3/2/2020,6/1/2020,false,1.216,
The Orphan of Zhao,zh,2,10.0,3/17/2013,3/17/2013,true,2.116,
The Warring States Period,zh,2,10.0,12/11/2019,1/15/2020,true,4.223,Documentary
Amazing China,zh,2,10.0,9/19/2017,10/24/2017,false,0.6,Documentary
Thirteen Talks,zh,2,10.0,5/17/2016,9/27/2023,true,15.359,Talk
Super Seminary,zh,2,10.0,12/6/2013,7/18/2019,false,3.624,Animation, Drama, Action & Adventure
HIStory3: Trapped,zh,2,10.0,4/16/2019,6/12/2019,false,1.788,Crime, Drama
Confucius,zh,2,10.0,9/26/2010,5/22/2011,false,3.843,Drama
Palace: Devious Women,zh,2,10.0,10/11/2021,10/11/2021,true,0.6,Drama
Youth,zh,2,10.0,7/13/2018,8/7/2018,false,2.986,Comedy, Drama
My Mowgli Boy,zh,2,10.0,8/29/2019,10/10/2019,false,1.216,Comedy
Power Racer,zh,2,10.0,11/10/2020,4/19/2022,false,3.245,Animation
Mechamato The Animated Series,zh,2,10.0,12/4/2021,2/26/2022,true,2.092,Kids, Animation, Action & Adventure
后厨,zh,2,10.0,7/5/2012,2/7/2013,false,1.524,Drama
Fruit Tales,zh,2,10.0,1/6/2018,10/10/2019,false,0.912,Documentary
Miss Lucky Go!,zh,2,10.0,9/13/2023,9/13/2023,false,4.034,Drama
精灵梦叶罗丽X光浮尘,zh,1,10.0,12/22/2022,5/11/2023,true,6.29,Animation
The War Has No Distance,zh,1,10.0,8/28/2022,9/6/2022,true,3.18,Drama
Tombs of Fallen Immortals,zh,1,10.0,7/20/2022,11/5/2022,true,0.718,Animation, Sci-Fi & Fantasy, Action & Adventure
清华·访谈录,zh,1,10.0,4/12/2022,6/6/2022,false,0.6,
