Name,Original_Language,Vote_Count,Vote_Average
Scooby-Doo!: Behind the Scenes,en,34,10.0,1/1/1998,2/19/1998,false,5.165,Family, Animation, Action & Adventure, Kids, Comedy, Mystery
Tyler Perry's Zatima,en,19,10.0,9/21/2022,9/7/2023,true,9.992,Comedy, Drama
Delirium,en,11,10.0,6/20/2014,6/20/2014,true,6.278,Drama, Action & Adventure
Dog's Most Wanted,en,11,10.0,9/4/2019,11/6/2019,true,0.947,
The Reaping,it,9,10.0,2/4/2018,2/4/2018,true,1.54,Drama, Crime, Mystery
LOL: Last One Laughing Colombia,es,9,10.0,8/10/2023,8/24/2023,true,45.015,Reality, Comedy
Driven,en,9,10.0,,,false,0.86,
Dateline on ID,en,9,10.0,,8/29/2017,true,1.524,Crime, Drama
Steel Buddies,de,8,10.0,9/22/2014,12/13/2022,true,28.232,Reality
Teen Choice Awards,en,8,10.0,8/1/1999,8/11/2019,true,0.6,Comedy, Family, Kids
Ghost Hunters: TAPS Returns,en,7,10.0,10/31/2021,5/25/2023,true,2.148,Mystery, Drama
Bring The Soul: Docu-Series,ko,7,10.0,8/27/2019,10/1/2019,false,2.556,Documentary
Scooby Doo! Mystery Cases,en,6,10.0,1/25/2018,2/1/2020,true,2.81,Kids, Family, Animation
Lost village,ar,6,10.0,8/7/2008,9/9/2010,false,1.448,Comedy, Family
Busty Princess Hypnosis,ja,6,10.0,4/3/2020,5/29/2020,false,0.0,Crime
Sweet Home Sextuplets,en,5,10.0,9/18/2018,10/27/2020,true,1.621,Reality
Al Kherbah,ar,5,10.0,8/1/2011,8/30/2011,false,1.721,Comedy, Drama
Tensou Sentai Goseiger,ja,5,10.0,2/14/2010,2/6/2011,false,18.845,Action & Adventure, Sci-Fi & Fantasy, Kids
Scott the Woz,en,5,10.0,12/7/2021,2/8/2022,false,2.353,Comedy
Slunečná,cs,5,10.0,1/11/2020,2/22/2022,false,12.167,
Legend of Awakening,zh,5,10.0,4/23/2020,5/28/2020,false,2.146,Drama
The Wonderland Murders,en,5,10.0,6/5/2018,8/21/2019,true,2.03,Crime, Documentary
Zoom,en,5,10.0,1/4/1999,1/4/1999,false,14.843,
The History of Rock 'n' Roll,en,5,10.0,3/8/1995,5/8/1995,false,2.607,Documentary
Young MacGyver,en,5,10.0,1/1/2003,1/1/2003,true,7.186,Action & Adventure
Cuts,en,5,10.0,2/14/2005,5/11/2006,false,7.423,Comedy
The Heights,en,5,10.0,2/22/2019,10/1/2020,true,18.041,Drama
港時間,ja,4,10.0,,1/28/2022,true,0.6,
Sevdam Alabora,tr,4,10.0,2/10/2015,2/10/2015,false,7.835,Drama, Family
Curiosity Shop,en,4,10.0,9/11/1971,9/11/1971,false,1.604,Kids, Family, Comedy
Stray Kids,ko,4,10.0,10/17/2017,12/19/2017,false,5.138,Documentary
Art Attack: Challenge Mode,es,4,10.0,7/24/2023,7/26/2023,true,8.191,Reality
Akkara Kazhchakal,en,4,10.0,,,false,7.328,Comedy
Break the Silence: Docu-Series,ko,4,10.0,5/12/2020,5/28/2020,false,2.348,Documentary
Go! Greenman,ja,4,10.0,11/12/1973,11/12/1973,false,0.6,
Binny and the Ghost,de,4,10.0,3/23/2013,5/15/2016,false,4.22,Sci-Fi & Fantasy, Comedy
Jun and Jun,ko,4,10.0,7/20/2023,9/7/2023,false,12.425,Drama
Oide yo! Mizuryuu Kei Land,ja,4,10.0,8/25/2017,9/29/2017,false,0.0,Animation
In Touch with Dr. Charles Stanley,en,4,10.0,,,false,0.6,
Hime-sama Love Life!,ja,4,10.0,5/31/2019,6/26/2020,false,0.0,Animation
My Crazy Ex,en,4,10.0,4/1/2015,10/2/2017,true,6.7,Drama, Comedy
90 Day Fiancé: Love in Paradise,en,4,10.0,7/18/2021,7/3/2023,true,3.534,Reality
Aoi: Tokugawa Three Generations,ja,4,10.0,1/9/2000,12/10/2000,false,4.006,Drama, War & Politics
Hitman's Curse,ru,4,10.0,6/15/2022,7/27/2022,true,3.037,Action & Adventure, Drama
Rock Me Baby,en,4,10.0,9/16/2003,5/25/2004,false,33.556,Comedy
Bodyguards,ru,4,10.0,8/21/2023,9/13/2023,true,21.668,Comedy
Até o Fim - Flamengo Campeão da Libertadores 2019,pt,4,10.0,11/29/2019,12/27/2019,false,0.895,Documentary
Radio Disney Music Awards,en,4,10.0,4/27/2013,6/16/2019,false,7.039,Kids, Family
バカリズムの大人のたしなみズム,ja,4,10.0,4/7/2018,4/7/2018,true,1.071,
USA High,en,4,10.0,8/4/1997,6/10/1999,false,14.168,Drama, Mystery
