Name,Original_Language,First_Air_Date,Last_Air_Date,Vote_Average
Dog's Most Wanted,en,9/4/2019,11/6/2019,10.0
Steel Buddies,de,9/22/2014,12/13/2022,10.0
Bring The Soul: Docu-Series,ko,8/27/2019,10/1/2019,10.0
Sweet Home Sextuplets,en,9/18/2018,10/27/2020,10.0
My Crazy Ex,en,4/1/2015,10/2/2017,10.0
Min sanning,sv,4/3/2012,2/28/2021,10.0
疯味英雄.Beyond.the.worlds,zh,9/16/2015,10/8/2016,10.0
The Slave Mother,pt,5/31/2016,1/6/2017,10.0
Talk,ru,9/27/2020,1/30/2022,10.0
Qin's Moon: The Great Wall,zh,9/30/2012,12/23/2012,10.0
The Way We Were,zh,7/19/2014,11/1/2014,10.0
These Woods Are Haunted,en,7/8/2018,11/12/2021,10.0
Adventures from the Book of Virtues,en,9/2/1996,12/17/2000,10.0
Watashi ga Toriko ni Natte Yaru,ja,9/18/2015,11/13/2015,10.0
Dance Plus,hi,7/26/2015,10/15/2021,10.0
Genghis Khan,zh,6/17/2004,12/18/2005,10.0
Family Time,en,6/18/2012,12/30/2019,10.0
iHeartRadio Music Festival,en,9/23/2011,10/8/2022,10.0
Freaks!,it,4/8/2011,2/10/2013,10.0
Dorm Zero,zh,9/28/2018,12/28/2018,10.0
sMothered,en,6/9/2019,10/24/2022,10.0
Animal Crackers,en,9/7/1997,2/6/2003,10.0
Shadow Skill,ja,7/2/1998,12/24/1998,10.0
Shi Cha Hai,zh,7/10/2020,12/4/2020,10.0
Kaisi Teri Khudgharzi,ur,5/11/2022,12/14/2022,10.0
O Fura-Vidas,pt,4/4/1999,1/31/2001,10.0
Uchuu Sentai Kyuranger: High School Wars,ja,9/9/2017,1/1/2018,10.0
Moon Man,zh,9/10/2022,10/29/2022,10.0
It's Okay to Be Sensitive,ko,7/12/2018,12/14/2020,10.0
Spec saga "The Romance of Satori",ja,9/28/2018,11/2/2018,10.0
Intelligence – Servizi & segreti,it,9/21/2009,10/26/2009,10.0
Breaking News: No Laugh Newsroom,en,7/7/2018,10/2/2023,10.0
Aghazadeh,fa,6/26/2020,1/8/2021,10.0
Oliver's Twist,en,5/14/2002,10/22/2008,10.0
Guardian Angels,pt,8/4/2015,11/17/2015,10.0
Daitetsujin 17,ja,3/18/1977,11/11/1977,10.0
The Tiny Chef Show,en,9/9/2022,10/28/2022,10.0
Mon Colle Knights,ja,7/21/2001,2/13/2006,10.0
Thousand Years For You,zh,9/15/2022,10/6/2022,10.0
Blood-Stained Intrigue,cn,8/11/1986,10/3/1986,10.0
توب شيف,ar,9/21/2016,12/7/2022,10.0
Im Namen des Gesetzes,de,9/13/1994,10/30/2008,10.0
Forest Evolutionism,zh,7/15/2023,10/3/2023,10.0
Глухарь. Возвращение,ru,9/20/2010,10/28/2011,10.0
Miraculous Chibi,xx,8/31/2018,10/26/2018,10.0
Карпов,ru,9/24/2012,10/30/2014,10.0
The Anna Nicole Show,en,8/4/2002,10/17/2004,10.0
Kidsongs,en,4/4/1994,11/3/1998,10.0
About Last Night...,fr,9/15/2020,10/2/2023,10.0
Die Kirche bleibt im Dorf,de,4/15/2013,1/1/2018,10.0
