Genre,Top_Show_Name,Original_Language,Vote_Average,Popularity
,Dog's Most Wanted,en,10.0,0.947
Sci-Fi & Fantasy,Tensou Sentai Goseiger,ja,10.0,18.845
Romance,Akiba Girls,ja,10.0,0.0
Talk,Talk,ru,10.0,1.908
Soap,The Slave Mother,pt,10.0,2.146
History,Μηχανή του Χρόνου,el,9.5,6.363
Kids,Scooby-Doo!: Behind the Scenes,en,10.0,5.165
Western,Stolen Women: Captured Hearts,en,10.0,0.894
Documentary,Bring The Soul: Docu-Series,ko,10.0,2.556
Reality,LOL: Last One Laughing Colombia,es,10.0,45.015
Drama,Tyler Perry's Zatima,en,10.0,9.992
War & Politics,Aoi: Tokugawa Three Generations,ja,10.0,4.006
Music,Billboard Music Awards,en,10.0,60.092
Crime,The Reaping,it,10.0,1.54
News,Nick News with Linda Ellerbee,en,10.0,3.631
Family,Scooby-Doo!: Behind the Scenes,en,10.0,5.165
Animation,Scooby-Doo!: Behind the Scenes,en,10.0,5.165
Comedy,Scooby-Doo!: Behind the Scenes,en,10.0,5.165
Mystery,Scooby-Doo!: Behind the Scenes,en,10.0,5.165
Musical,Galavant,en,7.268,13.784
Action & Adventure,Scooby-Doo!: Behind the Scenes,en,10.0,5.165
